"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","Rank","Recommended_CI","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Fe","PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,13221.1935545148,13237.3701936463,3039.5371344986,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,3,"Bootstrap predictive CI",19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,0.620406049892652,0.337748209687493,0.64694194242091,0.543569465589582,3,0.699120601523333,0.799925726049831,FALSE,0.816857594681814,0.810962502257023,0.594544161267853,0.592775633540416,NA,3,"OLS_weighted",FALSE,"Acceptable 3","Low confidence","Acceptable","Low confidence"
"Fe","PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,13221.1935545148,13237.3701936463,3039.5371344986,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,4,"Bootstrap predictive CI",19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,0.620406049892652,0.337748209687493,0.64694194242091,0.543569465589582,4,0.699120601523333,0.799925726049831,FALSE,0.816857594681814,0.810962502257023,0.594544161267853,0.592775633540416,NA,4,"OLS_weighted",FALSE,"Acceptable 4","Low confidence","Acceptable","Low confidence"
"Fe","RF",0.804830268303868,0.504024490900157,0.516653413340178,18096.0902367463,18402.8283616123,18739.015104616,5977.56672536049,NA,NA,21584.5758201723,5.37531438799356,972.721742160119,1,"Bootstrap predictive CI",19334.069276334,44723.4588347852,1.06841140950291,0.383480442399461,1.48246654516615,0.50395274903745,0,1,0.50158109961498,5,0.710374639202109,0.812023147201884,FALSE,1,1,0.50158109961498,0.50158109961498,NA,5,"OLS_weighted",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,19046.317786508,19195.0538472246,19032.0453789033,3839.29278988615,503.727552589756,514.500513531289,21584.5758201723,6.52672883183217,1243.10151437439,5,"Log-normal % CI",16489.7914089335,50727.5899499971,0.865773195310985,0.344535473675517,5.55041643777789,0.437589437736436,0.984275483924837,0.0686124277743193,0.490902148604321,6,0.648924983895774,0.748028324500089,FALSE,0,0,0.470318420272025,0.470318420272025,NA,6,"OLS_weighted",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Fe","WLS_weighted",0.711404682307114,0.612900601250386,NA,19121.2837499281,NA,19032.0453789033,3839.29278988615,491.44106706079,502.214028002323,21584.5758201723,6.53047909518848,1248.71143802073,7,"Log-normal % CI",16225.1661371414,181108.83229552,0.848539582872014,0.0919576206545299,5.61540489327032,0.00718974203791843,1,0.0640488464068557,0.322090550737224,7,0.648924983895774,0.748028324500089,FALSE,0,0,0.302875896815167,0.302875896815167,NA,7,"OLS_weighted",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Fe","WLS",0.711426381771426,0.612877558837851,NA,19118.97376675,NA,19032.0453789033,3839.29278988615,491.391320242748,502.164281184281,21584.5758201723,6.53030010588338,1248.52636413389,6,"Log-normal % CI",16230.5950256377,190028.62119965,0.84892605762473,0.0877383574304587,5.61386747112591,0,0.999628007481625,0.0642662348068121,0.319168272686531,8,0.648924983895774,0.748028324500089,FALSE,0,0,0.299888402244487,0.299888402244487,NA,8,"OLS_weighted",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Mn","PLS_LOO",0.652472643614871,0.567888873609633,0.583845224423336,106.37886834467,110.834481748237,115.218080815767,17.1968720536606,NA,NA,197.778804797106,11.7476873475235,12.4970568569655,3,"Bootstrap predictive CI",153.648507852804,417.173075343394,1.44435178004506,0.355430420726812,3.3737841569136,0.90614383647643,1,0.418512119600656,0.788011170470769,1,0.539072108274129,0.69356193052242,FALSE,0,0,0.662457534590572,0.662457534590572,NA,1,"PLS_LOO",TRUE,"Preferred 1","High confidence","Stable","High confidence"
"Mn","PLS_kfold",0.652472643614871,0.567888873609633,0.583845224423336,106.37886834467,110.834481748237,115.218080815767,17.1968720536606,NA,NA,197.778804797106,11.7476873475235,12.4970568569655,4,"Bootstrap predictive CI",153.648507852804,417.173075343394,1.44435178004506,0.355430420726812,3.3737841569136,0.90614383647643,1,0.418512119600656,0.788011170470769,2,0.539072108274129,0.69356193052242,FALSE,0,0,0.662457534590572,0.662457534590572,NA,2,"PLS_LOO",FALSE,"Acceptable 2","High confidence","Stable","High confidence"
"Mn","RF",0.695402031688882,0.531658011483224,0.538666849894129,99.7219305020332,102.927338779937,105.166193483709,9.77922319009077,NA,NA,197.778804797106,10.9833740052673,10.952832592311,1,"Bootstrap predictive CI",157.747426685665,391.575028230825,1.5818729730914,0.339796916004088,2.91466201133733,0.85254825541204,0.358347448350591,1,0.748523536669993,3,0.599777425746592,0.731648306759209,FALSE,1,1,0.748523536669993,0.748523536669993,NA,3,"PLS_LOO",FALSE,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Mn","Bayes",0.675458563365959,0.54878715622519,0.563291283780317,106.167683499791,110.897640094422,119.634213222486,19.8309945023845,454.927144861597,483.655040705684,197.778804797106,11.3525920752897,12.0527840235159,2,"Bootstrap predictive CI",154.258493992566,399.642585261461,1.45297032870525,0.37990694015858,2.70644362850449,0.990055493180809,0.0673489462475985,0.729861392319056,0.63518529884232,4,0.56678874453006,0.701730294854846,FALSE,0.456576745002671,0.214469454422294,0.553199904647404,0.480567717473291,NA,4,"PLS_LOO",FALSE,"Acceptable 4","Moderate confidence","Acceptable","Moderate confidence"
