"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","RMSEP_ppm","RMSEP_source","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank","Recommended_CI"
"Ca","RF",0.736190158651039,0.365492700892084,0.371218256028587,4459.98875484185,4627.87384517854,4819.36681179678,448.170273276823,NA,NA,NA,NA,13400.3536152465,3.95269801698006,176.289887070168,NA,1,"Bootstrap predictive CI"
"Fe","RF",0.804830268303868,0.504024490900157,0.516653413340178,18096.0902367463,18402.8283616123,18739.015104616,5977.56672536049,NA,NA,NA,NA,21584.5758201723,5.37531438799356,972.721742160119,NA,1,"Bootstrap predictive CI"
"Mn","RF",0.695402031688882,0.531658011483224,0.538666849894129,99.7219305020332,102.927338779937,105.166193483709,9.77922319009077,NA,NA,NA,NA,197.778804797106,10.9833740052673,10.952832592311,NA,1,"Bootstrap predictive CI"
"Sr","RF",0.729746042675407,0.321684267928995,0.327736832283875,43.2809202105204,43.42723944403,45.5540344833063,4.32598648223321,NA,NA,NA,NA,163.852330174044,6.550734887129,2.83521833970103,NA,1,"Bootstrap predictive CI"
"Ti","Bayes",0.769067236846491,0.591446999353038,0.623668660505259,1783.30513592537,2175.20269035076,2160.24662753634,678.539986335789,NA,NA,495.052856787575,523.780752631662,3392.06646739343,8.13964971656281,145.1547914418,NA,1,"Bootstrap predictive CI"
"Zr","RF",0.75905219351808,0.645084038006683,0.656891235581288,44.9179713993108,44.6204542098743,48.4089445661169,11.1589070694166,NA,NA,NA,NA,65.4747233406631,19.6097535948531,8.80830351121143,NA,1,"Bootstrap predictive CI"
