"Element","Model","R2","RMSE","RMSEP","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","R2_s","SNR_CI_s","SNR_smooth_s","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model"
"Ca","Bayes",0.71849446314204,0.377551919451181,0.391342413156401,5139.59940097741,5274.72624707994,627.262333363349,11346.9447772753,18368.730735261,2.30616333946446,0.416180627939233,4.17432514192196,0.869313882576547,0.890932690589969,0.953499813904513,0.903217185180305,1,1,"Preferred 1","Stable","High confidence",FALSE,0.613083144710092,0.742700175210974,0.928467060280823,0.909657677485031,TRUE
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,0.391014570914877,5182.9958349032,5386.18247930186,671.781235198483,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,0.840487672215607,0.854111366902733,0.84142317037354,0.846217799537837,2,2,"Acceptable 2","Stable","High confidence",FALSE,0.601465171694946,0.743667346736352,0.84617393661387,0.864275444977219,FALSE
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,0.391014570914877,5182.9958349032,5386.18247930186,671.781235198483,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,0.840487672215607,0.854111366902733,0.84142317037354,0.846217799537837,3,3,"Acceptable 3","Stable","High confidence",FALSE,0.601465171694946,0.743667346736352,0.84617393661387,0.864275444977219,FALSE
"Ca","RF",0.736190158651039,0.365492700892084,0.371218256028587,4627.87384517854,4819.36681179678,448.170273276823,11055.1865615906,17229.020072962,2.47874763127797,0.459245197854281,3.56962584896658,1,1,0,0.7,4,4,"Acceptable 4","Acceptable","Moderate confidence",FALSE,0.61786017239114,0.753372661364978,0.7,0.7,FALSE
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,NA,5697.48877526591,562.540331846359,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,0,0.97457027240985,0.991676823324065,0.68733115596116,5,5,"Unstable","Acceptable","Moderate confidence",FALSE,0.515172267630545,0.655655208695775,0.68733115596116,0.68733115596116,FALSE
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5658.0460435519,5697.48877526591,562.540331846359,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,0.0337179973747555,0.767105247941848,0.996764427933645,0.615986826769259,6,6,"Unstable","Acceptable","Moderate confidence",FALSE,0.515172267630545,0.655655208695775,0.605871427556832,0.605871427556832,FALSE
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,NA,5697.48877526591,562.540331846359,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,0.0291595384003362,0.00551907858518885,0.999949447120527,0.310940327090334,7,7,"Unstable","Marginal","Low confidence",FALSE,0.515172267630545,0.655655208695775,0.302192465570234,0.302192465570234,FALSE
"Ca","WLS",0.604685117514639,0.447409080513934,NA,NA,5697.48877526591,562.540331846359,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,0.0288099589537006,0,1,0.30864298768611,8,8,"Unstable","Marginal","Low confidence",FALSE,0.515172267630545,0.655655208695775,0.3,0.3,FALSE
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,NA,NA,19032.0453789033,3839.29278988615,15756.8906271743,26305.9766538876,0.822166782994747,0.674583226386664,5.420670473258,0,1,0.952882331259152,0.685864699377746,1,1,"Preferred 1","Acceptable","Moderate confidence",FALSE,0.648924983895774,0.748028324500089,0.685864699377746,0.685864699377746,TRUE
"Fe","Bayes",0.782666025570093,0.531874559979908,0.553367126639677,13833.6149421765,14099.8040912884,3299.11099629504,20039.3503092571,49770.6178813076,1.53503622465574,0.423535164530212,2.93519389409532,0.777955381988014,0.572207111049672,0.351499883755962,0.567719424143061,2,2,"Acceptable 2","Acceptable","Low confidence",FALSE,0.693457578544477,0.804644634897564,0.551742953314114,0.599743234986683,FALSE
"Fe","PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,13221.1935545148,13237.3701936463,3039.5371344986,19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,0.64694194242091,0.620406049892652,0.337748209687493,0.543569465589582,3,3,"Acceptable 3","Acceptable","Low confidence",FALSE,0.699120601523333,0.799925726049831,0.594544161267853,0.592775633540416,FALSE
"Fe","PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,13221.1935545148,13237.3701936463,3039.5371344986,19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,0.64694194242091,0.620406049892652,0.337748209687493,0.543569465589582,4,4,"Acceptable 4","Acceptable","Low confidence",FALSE,0.699120601523333,0.799925726049831,0.594544161267853,0.592775633540416,FALSE
"Fe","RF",0.804830268303868,0.504024490900157,0.516653413340178,18402.8283616123,18739.015104616,5977.56672536049,19334.069276334,44723.4588347852,1.06841140950291,0.383480442399461,1.48246654516615,1,0.50395274903745,0,0.50158109961498,5,5,"Unstable","Acceptable","Low confidence",FALSE,0.710374639202109,0.812023147201884,0.50158109961498,0.50158109961498,FALSE
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,19195.0538472246,19032.0453789033,3839.29278988615,16489.7914089335,50727.5899499971,0.865773195310985,0.344535473675517,5.55041643777789,0.0686124277743193,0.437589437736436,0.984275483924837,0.490902148604321,6,6,"Unstable","Marginal","Low confidence",FALSE,0.648924983895774,0.748028324500089,0.470318420272025,0.470318420272025,FALSE
"Fe","WLS_weighted",0.711404682307114,0.612900601250386,NA,NA,19032.0453789033,3839.29278988615,16225.1661371414,181108.83229552,0.848539582872014,0.0919576206545299,5.61540489327032,0.0640488464068557,0.00718974203791843,1,0.322090550737224,7,7,"Unstable","Marginal","Low confidence",FALSE,0.648924983895774,0.748028324500089,0.302875896815167,0.302875896815167,FALSE
"Fe","WLS",0.711426381771426,0.612877558837851,NA,NA,19032.0453789033,3839.29278988615,16230.5950256377,190028.62119965,0.84892605762473,0.0877383574304587,5.61386747112591,0.0642662348068121,0,0.999628007481625,0.319168272686531,8,8,"Unstable","Marginal","Low confidence",FALSE,0.648924983895774,0.748028324500089,0.299888402244487,0.299888402244487,FALSE
