"Site","depth","SH20_age","Ti","Ca","Sr","Zr","Ti_ICP_pred","Ti_ICP_pred_ppm","Ti_low_RMSE","Ti_up_RMSE","Ca_ICP_pred","Ca_ICP_pred_ppm","Ca_low_RMSE","Ca_up_RMSE","Sr_ICP_pred","Sr_ICP_pred_ppm","Sr_low_RMSE","Sr_up_RMSE","Zr_ICP_pred","Zr_ICP_pred_ppm","Zr_low_RMSE","Zr_up_RMSE","Ti_convert_WLS","Ti_ppm_WLS","Ti_lower_RMSE_WLS","Ti_upper_RMSE_WLS"
"BI10",0.1,-65.98,NA,-7.323803081,NA,-3.760156217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.2,-64.97,-8.55071086,-6.306966267,NA,-4.035152833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1855166152,178.665727382255,115.228442581904,277.027454556982
"BI10",0.3,-63.96,NA,-7.167506242,NA,-3.754474402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.4,-62.95,-6.656003255,-6.449666822,-5.873243916,-4.095873184,6.74080284104214,846.239859291009,459.11597226903,1559.78433055524,8.37515819593163,4337.95447095431,2826.3974559209,6657.89199344621,4.04320212809471,57.0085996834878,39.3227065994652,82.6489506680184,3.21738392230415,24.9627302442336,12.6124437058012,49.4065952468642,6.4739177866,648.017554718305,417.931601600164,1004.77386638218
"BI10",0.5,-61.94,-6.970944676,-6.575049019,-7.092305533,-4.156391755,6.03625139115833,418.321966643427,226.954916302216,771.048588096684,7.98223277345935,2928.46236295342,1908.04182658717,4494.60367783135,3.70610422593903,40.6949589452781,28.0700795944292,58.9980401725165,2.82462671778384,16.8546522697307,8.51582943263739,33.3589705360689,6.25975762032,523.092137836495,337.36236519934,811.07264144498
"BI10",0.6,-60.93,NA,-6.7963039,NA,-3.769659034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.7,-59.92,NA,-7.505567279,NA,-3.903286065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.8,-58.91,-8.028881448,-6.787168316,NA,-3.843899612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54036061536,254.769856818605,164.31094115333,395.029567037796
"BI10",0.9,-57.9,-7.566052182,-6.450910591,-5.686587132,-3.727675717,6.49790366360804,663.748732936899,360.107883738748,1223.4177599815,8.56242941609231,5231.37493344328,3408.50622150483,8029.11361041209,4.25418549639388,70.399453221507,48.5592885838577,102.062512825501,3.49030566031882,32.7959706011832,16.5701960057066,64.9102573864094,5.85508451624,349.00439534679,225.086442258785,541.143512461487
"BI10",1,-56.89,-6.888419543,-7.111563094,NA,-3.726114069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31587471076,553.285814043448,356.835435586845,857.888991653177
