Site,depth,SH20_age,Ti,Ca,Sr,Ti_convert_WLS,Ti_ppm_WLS,Ti_lower_RMSE_WLS,Ti_upper_RMSE_WLS,Ti_convert_PLS_scaled,Ti_ppm_PLS_scaled,Ti_lower_RMSE_PLS_scaled,Ti_upper_RMSE_PLS_scaled,Ti_ppm_PLS
HER42PB,22.4,166.35,-5.678950379,-4.065310779,-3.3280765,7.138313742,1259.303088,812.173301,1952.59345,4.461285482,86.59875875,46.58195257,160.9925004,403.1464903
HER42PB,22.5,167.38,-5.543394057,-4.468451512,-3.516862998,7.230492041,1380.901798,890.597015,2141.136499,4.55077302,94.70558935,50.94266171,176.0636047,847.0220935
HER42PB,22.6,168.42,-5.225711762,-4.253851179,-3.322441895,7.446516002,1713.881571,1105.348559,2657.433275,4.296085672,73.41187239,39.48865327,136.4772551,602.8327843
HER42PB,22.7,169.45,-4.908009319,-4.219612742,-3.469770217,7.662553663,2127.182606,1371.902392,3298.270975,4.044865057,57.10347978,30.71627845,106.1589349,281.8855756
HER42PB,22.8,170.48,-5.316325877,-4.157381664,-3.273943208,7.384898404,1611.464068,1039.295547,2498.631357,4.308948876,74.36228388,39.99988488,138.2441294,278.6632716
HER42PB,22.9,171.51,-4.832905917,-3.995440977,-3.372911364,7.713623976,2238.640356,1443.785809,3471.09011,3.903319029,49.56668967,26.66219725,92.14757139,269.2317074
HER42PB,23,172.55,-5.342228702,-4.241168431,-3.272020836,7.367284483,1583.328384,1021.149755,2455.005996,4.374973772,79.43775606,42.73000952,147.6797492,423.2622673
HER42PB,23.1,173.58,-5.149844979,-4.162341619,-3.287242499,7.498105414,1804.620166,1163.86939,2798.126638,4.209333888,67.31168778,36.20733014,125.136631,445.5578602
HER42PB,23.2,174.61,-5.334682548,-4.19773411,-3.459173721,7.372415867,1591.473932,1026.403135,2467.635953,4.281178296,72.32561081,38.90434714,134.457827,264.5622914
HER42PB,23.3,175.65,-5.143376144,-4.169033401,-3.438628052,7.502504222,1812.575828,1169.000305,2810.46217,4.158260849,63.9601894,34.40454058,118.9059862,900.7012879
HER42PB,23.4,176.68,-5.161760054,-4.202718155,-3.46120045,7.490003163,1790.057754,1154.477527,2775.547109,4.181289854,65.45021999,35.20603629,121.6760461,167.4202143
HER42PB,23.5,177.71,-4.798338058,-3.831495047,-3.249987838,7.737130121,2291.885501,1478.125664,3553.648569,3.828802286,46.00740153,24.74763642,85.53063248,799.519442
HER42PB,23.6,178.74,-5.103867307,-4.177680948,-3.229942438,7.529370231,1861.932547,1200.832363,2886.991488,4.21137341,67.44911151,36.28125113,125.3921103,576.2960659
HER42PB,23.7,179.78,-5.230691834,-4.499323441,-3.469704024,7.443129553,1708.087415,1101.611683,2648.449234,4.395052955,81.04892258,43.59666492,150.6750084,747.5882733
HER42PB,23.8,180.81,-5.315069126,-4.151918316,-3.1419421,7.385752994,1612.841799,1040.184099,2500.767576,4.349686177,77.45415223,41.66301802,143.9921058,649.4053401
HER42PB,23.9,181.84,-4.317947778,-3.988701281,-3.099491508,8.063795511,3177.326856,2049.181063,4926.556336,3.726519116,41.53428025,22.34151968,77.21482069,1139.301547
HER42PB,24,182.88,-5.022973826,-4.203014203,-3.428960384,7.584377798,1967.222244,1268.737764,3050.246843,4.112954663,61.12706086,32.88058503,113.6390234,775.6024194
HER42PB,24.1,183.91,-5.392772772,-4.178328668,-3.279147764,7.332914515,1529.834005,986.6491598,2372.061091,4.365789918,78.71155105,42.33937981,146.3296887,671.6816002
HER42PB,24.2,184.94,-5.121648375,-4.172752169,-3.393792708,7.517279105,1839.555242,1186.400373,2852.294694,4.163129647,64.27235795,34.57245777,119.4863271,240.6451676
HER42PB,24.3,185.97,-5.576018603,-4.133968442,-3.237393574,7.20830735,1350.604231,871.0569418,2094.159063,4.467155868,87.10862193,46.8562108,161.9403678,689.8547434
HER42PB,24.4,187.01,-5.216363111,-4.11561635,-3.3376813,7.452873085,1724.811563,1112.397733,2674.380609,4.203239344,66.90270125,35.98733402,124.3762995,422.7058098
HER42PB,24.5,188.04,-4.748476564,-4.097888998,-3.260265109,7.771035936,2370.926145,1529.102034,3676.203851,3.956958884,52.29803944,28.13140544,97.22532118,720.3776825
