Site,depth,SH20_age,Ti,Ti_ppm,Ti_lower_RMSE,Ti_upper_RMSE
BI10,0.1,-65.98,NA,NA,NA,NA
BI10,0.2,-64.97,-8.55071086,194.6150926,124.8126389,303.4551197
BI10,0.3,-63.96,NA,NA,NA,NA
BI10,0.4,-62.95,-6.656003255,692.6174449,444.1968496,1079.969219
BI10,0.5,-61.94,-6.970944676,560.8576146,359.6952219,874.5216638
BI10,0.6,-60.93,NA,NA,NA,NA
BI10,0.7,-59.92,NA,NA,NA,NA
BI10,0.8,-58.91,-8.028881448,276.0686122,177.0512838,430.4621632
BI10,0.9,-57.9,-7.566052182,376.4348677,241.4192474,586.9590395
BI10,1,-56.89,-6.888419543,592.7418091,380.1435355,924.2373458
BI10,1.1,-55.88,-9.003414599,143.697762,92.15779021,224.06187
BI10,1.2,-54.87,NA,NA,NA,NA
BI10,1.3,-53.86,NA,NA,NA,NA
BI10,1.4,-52.85,-7.243104436,467.3694357,299.7383801,728.7494826
BI10,1.5,-51.84,-8.969338302,147.0162812,94.28605857,229.2362973
BI10,1.6,-50.83,NA,NA,NA,NA
BI10,1.7,-49.82,-7.807891222,320.1254279,205.3062735,499.158101
BI10,1.8,-48.81,-7.48648591,397.0469121,254.6383849,619.0985326
BI10,1.9,-47.8,NA,NA,NA,NA
BI10,2,-46.79,-8.5101434,199.9773124,128.2515952,311.8162032
BI10,2.1,-45.78,-7.905195798,299.9209127,192.348497,467.6540511
BI10,2.2,-44.77,NA,NA,NA,NA
BI10,2.3,-43.76,-8.14458242,255.4763338,163.844823,398.3534906
BI10,2.4,-42.75,-7.84360351,312.5566236,200.4521667,487.3563831
BI10,2.5,-41.74,NA,NA,NA,NA
BI10,2.6,-40.73,NA,NA,NA,NA
BI10,2.7,-39.72,-7.731515123,336.9332594,216.0856523,525.365845
BI10,2.8,-38.71,-7.678696487,349.0703067,223.8695136,544.2906317
BI10,2.9,-37.7,-7.65581669,354.4625921,227.327752,552.6985954
BI10,3,-36.69,NA,NA,NA,NA
BI10,3.1,-35.68,-5.655209392,1354.258982,868.527898,2111.639011
BI10,3.2,-34.67,-6.44960228,795.3374362,510.0743364,1240.136177
BI10,3.3,-33.66,NA,NA,NA,NA
BI10,3.4,-32.65,NA,NA,NA,NA
BI10,3.5,-31.64,-6.480439539,779.0735903,499.6438322,1214.776647
BI10,3.6,-30.64,-6.771637688,640.9828805,411.0820169,999.4576173
BI10,3.7,-29.63,NA,NA,NA,NA
BI10,3.8,-28.62,-8.495356497,201.9683793,129.5285276,314.9207901
BI10,3.9,-27.61,-6.966001177,562.7183358,360.8885595,877.423008
BI10,4,-26.6,-8.416178773,212.9718978,136.5854221,332.0781132
