Element,R2,RMSE,RMSEP,CI_lower,CI_upper,label_R2,label_RMSE
Ti_ICP,0.874,2136.315,2136.315,-1106.284,4296.747,R^2:0.87,RMSE: 2136
Ca_ICP,0.751,5548.445,5548.445,-6558.996,9662.616,R^2:0.75,RMSE: 5548
Sr_ICP,0.764,56.56,56.56,-65.976,134.636,R^2:0.76,RMSE: 57
Zr_ICP,0.607,84.786,84.786,-23.219,85.463,R^2:0.61,RMSE: 85
