depth	min	max	median	wmean
15	-57.6	-54.8	-56.2	-56.2
16.4	-56.6	-54.2	-55.4	-55.4
17.8	-55.9	-53.2	-54.6	-54.6
19.2	-55.1	-51.8	-53.6	-53.5
20.7	-52.1	-49.6	-50.9	-50.9
22.2	-49.6	-46.8	-48.2	-48.2
23.7	-47.6	-43.6	-45.6	-45.6
25	-44.1	-40.7	-42.4	-42.4
26.4	-40.2	-37.3	-38.8	-38.8
27.8	-37	-33.2	-35.1	-35.1
29.3	-32.5	-27.8	-30.1	-30.1
30.6	-24.1	-20.3	-22.2	-22.2
32.1	-15.9	-10.9	-12.9	-13
33.5	-9	-1.5	-4.3	-4.5
34.6	-1.6	70	18.6	23.3
36.1	1.6	247.7	68.4	85.1
37.6	5	425.8	118.9	147.2
39.2	15.5	597.5	173.5	213.2
40.8	49.9	648.5	247.1	278.6
42.3	70.6	725.4	315	340.5
43.8	86.5	820.9	376.2	402
45.2	134.4	869.9	434.2	458
46.7	172	922	504.1	518
48.3	200.6	1003.9	571.5	581.2
49.9	261	1063.6	638.3	646
51.4	321.1	1098.8	705.2	708.2
52.9	364.4	1147.5	770.6	771
54.3	417.1	1205.8	830	829.7
55.9	516.9	1230.6	898.8	898.2
57.5	585.8	1262.4	975.3	966.8
59	633.8	1316.1	1049.2	1031.5
60.4	745.7	1334.3	1102.2	1088.1
61.9	826.9	1357.3	1162.5	1148.6
63.3	881.6	1391.5	1224.3	1205.4
64.7	977.4	1423.8	1273.3	1258
66.2	1121.6	1447.6	1315.8	1310.8
67.5	1210.5	1484.4	1353.3	1356.5
68.9	1256.3	1542.9	1400.8	1405.9
70.3	1301.5	1596.3	1441.4	1447.3
71.6	1328.4	1670	1475	1485.1
72.8	1343.3	1757.9	1502	1518.6
74.1	1355.7	1857	1531.7	1555.3
75.3	1386.7	1890.6	1572.6	1592.1
76.7	1406.6	1936.3	1618.8	1635.3
78	1420.6	2004.6	1657.5	1675.1
79.3	1439.9	2083.2	1695.4	1714.6
80.8	1481.5	2118.5	1747.5	1763
82.1	1504.2	2159.7	1792.3	1804.6
83.6	1524.3	2232.9	1838.8	1852.3
85	1559	2278.8	1884.6	1897.4
86.4	1593.7	2314.6	1931	1942.2
87.7	1621.2	2361.1	1973.9	1983.6
89.1	1647.1	2423.9	2020.8	2028.4
90.4	1691.7	2449.5	2059.5	2066.2
91.7	1729.3	2482.8	2101.4	2104.2
93.2	1755	2532	2146.1	2148.8
94.6	1797.8	2574.1	2186.6	2191.2
96	1844.5	2599.8	2231.7	2235.3
97.4	1885.4	2635.6	2278.9	2279.7
98.6	1910	2679.4	2318.2	2317.4
99.3	1930.1	2702.5	2340.8	2339.9
100.9	1986.4	2729.5	2394.3	2391.1
102.4	2024.4	2764.1	2445.2	2439
103.9	2060.9	2813.7	2496.4	2486.8
105.3	2115.3	2838	2542.8	2531.2
106.8	2165.9	2863.5	2592.9	2578.9
108.3	2210.7	2909.6	2644.6	2626.5
109.7	2270.8	2942.4	2686.4	2669.4
111.1	2340.8	2956	2725.9	2710.3
112.5	2391.5	2978.5	2768.9	2752.6
114.1	2441.8	3014.8	2818.4	2800.9
115.6	2513	3032.1	2854.6	2842.4
117.1	2547.1	3053.9	2894.8	2883.8
118.6	2580.2	3090.2	2935.4	2925.3
120.1	2607.2	3118.7	2961.9	2952.1
121.8	2638	3151.4	2984.6	2976.5
123.1	2657.7	3185.5	2999.8	2994.6
124.5	2682	3219.5	3017.3	3013.9
125.9	2702.4	3238.4	3037.8	3033.8
127.4	2730.5	3264.3	3058.1	3055.3
129	2758.4	3300.6	3078.4	3077.8
130.4	2780.2	3318.7	3098.2	3097.5
131.8	2808.8	3337.9	3118.3	3116.9
133.2	2841.2	3363.7	3137.4	3135.9
134.5	2868.5	3385.9	3154.4	3153.8
136	2886.9	3406	3175.9	3175.3
137.4	2905.4	3424.1	3196.2	3195.7
138.8	2926.4	3452.1	3215.2	3215.5
140.2	2957.3	3471.3	3235.5	3236
141.3	2974.6	3489.9	3251.6	3251.9
141.9	2983.3	3499.9	3260.5	3260.7
143.2	3000.6	3521.8	3278.8	3279.1
144.4	3017.6	3545	3295.1	3295.8
145.6	3037.8	3556	3311.4	3312.1
146.8	3056.6	3573.4	3328.3	3328.5
148	3073.9	3592.9	3346	3345.1
149.2	3084.7	3613.9	3361.9	3361.5
150.3	3105.6	3625.6	3376.7	3376.4
151.3	3118.7	3638.9	3391.1	3390.1
152.5	3132	3653.9	3408.3	3406.3
153.5	3137.5	3671.4	3421.2	3420
154.6	3157.1	3686.9	3436.6	3435.4
155.7	3175.6	3698.7	3452.8	3451.1
156.8	3193.2	3715.2	3468.5	3467
157.9	3209.5	3735.2	3484.1	3482.8
159	3220.8	3754.1	3499.7	3498.5
160.3	3241.8	3767.8	3516.3	3516.1
161.4	3259.7	3780.5	3530.8	3530.8
162.5	3277	3793.8	3544.7	3545.4
163.6	3287.8	3809.4	3559.2	3560.1
164.8	3309.1	3822.1	3574.9	3576
166	3328.8	3835.5	3591.1	3591.6
167.2	3343.5	3851	3606.9	3607.4
168.5	3356.6	3870.4	3625.8	3625.3
169.7	3378.1	3887	3642	3641.7
170.9	3399.9	3899.2	3659.2	3658.4
171.9	3418.2	3911.8	3673.8	3672.3
173.1	3434.3	3930.3	3692.1	3689.2
174.2	3449.3	3941.5	3707.5	3704.3
175	3463.9	3951	3717.7	3715.4
176.5	3488	3967.5	3736.8	3736
177.8	3509.1	3983.6	3754.6	3754
179.2	3527.8	4003.1	3773.3	3773
180.6	3556.9	4014.8	3793.1	3791.9
182	3579.4	4029.5	3812.9	3811.7
183.1	3595.8	4045.4	3828.5	3827.3
184.4	3616.8	4063.5	3846.6	3845.4
185.6	3644.3	4073.2	3863.3	3862.3
186.9	3667.4	4086.7	3880.4	3880.4
