"Location","Site","Section","sample","min_depth","max_depth","midpoint","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,227588,574424,14.62,-8.39496670917362,-6.81328090290992,-7.82488135966297,-7.75588748734083,-1.94747911924558,-6.31816191381295,-5.39923620551704,-6.07361343789549,-8.47150784220028,-7.2858844419155,-7.1931027454152,-3.87592967744995,-1.92216673217454,0.146289648,2.26e-05,0.000109908,4e-05,4.28e-05,0.014263318,0.000180325,0.000452003,0.000230284,2.09e-05,6.85e-05,7.52e-05,0.002073505,0.014628965,0.014628965,7.48560726800855,7.35055584285185,4.90495174256426,3.53646344341951,9.54388200499906,-0.302742141476696,0.903173305789281,1.47468289857608,3.13148340772836,0.828010693892561,3.28047752852584,1.06344302447402,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,294191,726086,15.86,-8.37602788638916,-6.95629657412204,-8.16738527160999,-7.14521583119114,-2.18566127969683,-6.31780817173935,-5.24401594112675,-6.12515503810226,-12.3984445381776,-6.68519269639758,-9.98469760796167,-3.91870623856195,-1.92424192874674,0.145986383,2.3e-05,9.53e-05,2.84e-05,7.89e-05,0.011240338,0.000180389,0.000527901,0.000218715,4.125e-07,0.000124927,4.61e-06,0.001986678,0.014598638,0.014598638,7.19403248256761,7.24247120132883,4.37935983755429,3.33468347892019,9.14377187171782,-0.272851907643074,1.09517117816603,1.18032422455858,2.52650241766842,0.422019571710031,3.22105825962403,0.748228535528028,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,261392,633580,15.5,-8.36187890312968,-6.61341616388981,-8.12192657828474,-8.08913849352894,-3.58289751158179,-7.14862628724867,-5.39059538799431,-6.3814617031828,-9.18131569293557,-7.29483346731764,-8.32037718847183,-3.82165373913105,-1.93810895167856,0.143975958,2.34e-05,0.000134224,2.97e-05,3.07e-05,0.002779505,7.86e-05,0.000455926,0.000169265,1.03e-05,6.79e-05,2.44e-05,0.002189157,0.014397596,0.014397596,7.34292552813836,7.84267996218333,5.83054549007266,3.6160372217274,8.27949587269265,0.557321332541838,1.26878301189716,1.76274342417884,2.6352276865988,1.48137044625347,3.83739375220028,1.86113383862431,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,261115,627506,15.96,-8.18875312649229,-5.78752240865557,-7.15337452706153,-7.26659828575724,-3.30578547066899,-6.70115176301007,-5.3016561340343,-6.14581691393936,-6.10655939916968,-6.30794342952451,-5.10273808308219,-3.88280324123603,-1.91079882847854,0.147962143,2.78e-05,0.000306557,7.82e-05,6.98e-05,0.00366704,0.000122949,0.000498333,0.000214243,0.00022282,0.000182178,0.000608008,0.002059302,0.014796214,0.014796214,8.51167617120909,8.75807660650184,6.97603890594798,4.08682416932195,8.42689211285074,0.158035995347025,1.95337492700147,2.93429859087982,4.42020843695187,2.94516564297707,4.80370016784794,3.57352940771241,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,221194,574490,13.46,-7.29016130310354,-5.17661154619333,-6.2382493638717,-6.77326984160307,-1.57319543752514,-5.58852823370767,-5.19843728105091,-5.63610550859315,-6.25431404928425,-6.7095816987186,-4.70351216706077,-3.88365413417472,-1.83114153843852,0.160230554,6.82e-05,0.000564711,0.000195327,0.000114395,0.020738145,0.000374053,0.000552519,0.000356673,0.000192214,0.000121917,0.000906339,0.00205755,0.016023055,0.016023055,9.70852820561717,9.04100380665293,7.582225674148,4.99824535279201,9.82855417128756,2.70737906727561,2.28690351891334,3.23458375089402,4.50048585044673,3.76510499590153,5.01434956763412,3.71147308000633,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,267262,631701,14.51,-8.39939682251541,-5.4144364373621,-8.08745832433534,-7.16986057698434,-3.75440487274134,-6.60022425677767,-5.25848222680882,-5.89095952028053,-9.53468642879955,-7.26569244776301,-5.0107779042646,-3.8878504792788,-1.90502154011385,0.148819437,2.25e-05,0.000445185,3.07e-05,7.69e-05,0.002341438,0.000136006,0.00052032,0.000276432,7.23e-06,6.99e-05,0.000666572,0.002048934,0.014881944,0.014881944,7.8159441609251,8.85011583510835,5.70716697941964,4.0200614892263,10.1783639253917,2.83582027716898,2.26923829310479,3.42432388757179,5.03855590993543,1.66473145136415,4.70858561298687,1.84936101446338,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,243101,595564,13.97,-7.33904139858332,-4.9883371068312,-6.40876461286327,-6.61982823653795,-2.7301808626685,-6.29593204319622,-5.30691663449786,-5.70869693083804,-4.38464477902467,-5.66550509091362,-4.22913196615583,-3.83265957456472,-1.84208967385126,0.158485896,6.5e-05,0.000681699,0.000164706,0.000133366,0.00652075,0.000184379,0.000495719,0.000331699,0.001246732,0.00034634,0.001456503,0.002165195,0.01584859,0.01584859,6.76619014300013,8.66848236944953,5.41898367225024,3.59863321185762,7.76434259814642,0.437681308376675,2.03276637087805,3.79810302271528,4.69189223495974,1.2699297134193,4.58307553783376,1.83343076570928,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,277432,680416,15.34,-7.4600871590999,-4.70833710932971,-6.97380320536554,-6.94724378798953,-3.03679429687885,-6.49837916218201,-5.27037307080448,-5.62119589767132,-5.87243357933178,-6.84208458649249,-4.56188983969226,-3.8620834068735,-1.88620642172031,0.151646,5.76e-05,0.000901976,9.36e-05,9.61e-05,0.004798848,0.000150588,0.000514169,0.000362031,0.000281601,0.000106787,0.001044231,0.002102415,0.0151646,0.0151646,8.95758858231473,9.11437754626484,7.2737868892733,4.48256118016038,8.73921076841923,1.40336231461165,1.78510366492264,3.59979513160203,5.56695263135749,3.41320377295125,5.12420449095423,3.41522430313818,22.9846784,2010.436754,46.04204392,11.02828725,0.148073757,15.13819392,0.02443965,0.068926753,0.331067449,2.462160119,0.256345549,1.955006557,3.299014819,2.29846784
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,266174,646476,15.86,-7.7589303125675,-5.15151263079245,-6.89418280315236,-6.96018606217011,-3.02506288103394,-6.07464009032351,-5.2265886941129,-5.37710497885006,-8.32329721078114,-7.0262888462169,-4.62860105740874,-3.86103525771523,-1.89772580168916,0.149909155,4.27e-05,0.000579064,0.000101367,9.49e-05,0.004855477,0.000230047,0.000537182,0.000462118,2.43e-05,8.88e-05,0.000976841,0.00210462,0.014990915,0.014990915,7.58747244830713,8.79883085915351,6.13538078300935,3.8394514938833,8.21468216401249,0.713556964185686,1.89825515343819,3.52824534193737,4.94495839155949,2.05354660680524,4.74493052053587,3.08978528026546,23.15568582,728.4065428,12.55357407,4.1315028,0.203261185,28.74082309,0.011991471,0.048794576,0.025144385,0.492872097,0.115748702,1.529219743,0.521915705,2.315568582
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,245585,590423,14.25,-8.10310867073715,-5.24362181640191,-7.28008497882755,-6.8661096237635,-3.19972723493725,-6.3322464570448,-5.26176964573479,-5.48034512650451,-6.32976533450965,-6.64976904566103,-4.64607760082322,-3.85221711868382,-1.90317624036831,0.149094307,3.03e-05,0.00052811,6.89e-05,0.000104252,0.004077332,0.000177803,0.000518612,0.000416789,0.000178245,0.000129432,0.000959918,0.002123261,0.014909431,0.014909431,9.57217944611186,9.20085797360353,7.6949965706891,4.83236728974649,8.74585699995511,0.891821390097,1.85125704597165,3.67910143420938,4.21238708406088,3.91635642757712,5.34661758690507,3.66995073900524,24.17673458,3663.807136,61.39912548,24.940646,1.234445563,38.94604963,0.01043611,0.01977015,0.154761353,0.138761249,0.70380336,2.629036009,1.135258391,2.417673458
