"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.127999327844526,0.00639996639222628,-3.90274122642275,-0.195137061321138,-3.2666082462357,-4.56300767025471,-1.97020882221669
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.643117857024437,0.0321558928512219,-3.62408283695147,-0.181204141847574,-3.0030360238359,-4.3071537868134,-1.69891826085839
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.2896163526275,-0.014480817631375,-3.30231679805059,-0.165115839902529,-3.48029089746212,-4.77440382999223,-2.186177964932
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.763593247743844,-0.0381796623871922,-4.63761576586541,-0.23188078829327,-3.72281205819547,-5.01866452489944,-2.4269595914915
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.169726621967429,-0.00848633109837147,-2.8241906861885,-0.141209534309425,-3.41894656414276,-4.71335003959857,-2.12454308868695
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.872673457025411,0.0436336728512705,-3.76611229974393,-0.188305614987196,-2.88557863057749,-4.19485691405594,-1.57630034709905
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.0895493855490216,0.00447746927745108,-3.95365364951037,-0.197682682475519,-3.28628204200869,-4.58232169079572,-1.99024239322166
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.244064199727736,-0.0122032099863868,-2.02770212588656,-0.101385106294328,-3.45698309256913,-4.7511716663374,-2.16279451880087
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.692560848860619,-0.0346280424430309,-3.64070836931758,-0.182035418465879,-3.68646670042733,-4.98176510778769,-2.39116829306698
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.00346197834397,-0.0501730989171987,-3.80094460400633,-0.190047230200316,-3.84554640151088,-5.14403130720507,-2.54706149581669
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.860487026326599,-0.0430243513163299,-3.83625195838584,-0.191812597919292,-3.77238998465529,-5.06916454528078,-2.4756154240298
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-0.215687576701879,-0.0107843788350939,-3.91553436973874,-0.195776718486937,-3.44246354188041,-4.73672076687026,-2.14820631689056
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.561842957991658,-0.0280921478995829,-4.4093244422307,-0.220466222111535,-3.61958189032625,-4.91413072440531,-2.32503305624719
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.536235090233625,-0.0268117545116812,-3.72074650778727,-0.186037325389363,-3.60647903683999,-4.90092206137128,-2.3120360123087
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.813407659661985,-0.0406703829830992,-3.05827639376034,-0.152913819688017,-3.74830074577521,-5.04460332176196,-2.45199816978847
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.558674200040044,-0.0279337100020022,-3.31764992801864,-0.165882496400932,-3.61796052256671,-4.91249553440512,-2.32342551072831
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.715511494524065,-0.0357755747262033,-3.95620802271713,-0.197810401135856,-3.69820992522,-4.99367605968437,-2.40274379075562
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.36262272860762,0.018131136430381,-4.00154653642691,-0.200077326821345,-3.14655779636239,-4.44580568593268,-1.84730990679209
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.634426199641502,-0.0317213099820751,-4.43167198158556,-0.221583599079278,-3.65672077240275,-4.95164258501562,-2.36179895978988
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.226508511660603,0.0113254255830302,-4.50099398364965,-0.225049699182482,-3.2162037605991,-4.51366262485607,-1.91874489634213
"Bird Island","BI10","BI10.4",145,141,142,141.5,-0.669347582548502,-0.0334673791274251,-3.47326040246439,-0.17366302012322,-3.6745890997501,-4.96972883044787,-2.37944936905233
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.554112980292663,0.0277056490146332,-4.83698822067331,-0.241849411033666,-3.04857741253718,-4.35097803825233,-1.74617678682203
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.485095522770191,-0.0242547761385095,-2.08533721897109,-0.104266860948554,-3.58031230300038,-4.87458428263976,-2.28604032336099
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-0.454558881032514,-0.0227279440516257,-2.9674845870308,-0.14837422935154,-3.56468752914447,-4.85888296463046,-2.27049209365848
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-0.174870439052042,-0.00874352195260208,-2.61716360339691,-0.130858180169846,-3.42157851625438,-4.7159634697899,-2.12719356271886
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.510090592274275,0.0255045296137137,-3.45333882583555,-0.172666941291778,-3.07110247810573,-4.3727127299936,-1.76949222621786
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.851860374987312,0.0425930187493656,-4.08622050845211,-0.204311025422606,-2.89622812186352,-4.20499525761412,-1.58746098611292
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.401272990681626,0.0200636495340813,-3.28841956814064,-0.164420978407032,-3.12678150237545,-4.42660598140113,-1.82695702334977
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,0.27737578568523,0.0138687892842615,-2.82173047710344,-0.141086523855172,-3.19017635194922,-4.48825970533886,-1.89209299855958
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.18507114456879,-0.00925355722843953,-3.12915450725898,-0.156457725362949,-3.42679794143673,-4.72114776984923,-2.13244811302423
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-0.344379208164285,-0.0172189604082143,-2.77999991173043,-0.138999995586522,-3.50831156983391,-4.80238995623496,-2.21423318343285
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,0.297120370735097,0.0148560185367549,-2.9436879629927,-0.147184398149635,-3.18007358167955,-4.47841352058731,-1.88173364277179
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-0.00634463782163976,-0.000317231891081988,-2.2654298803141,-0.113271494015705,-3.3353484207602,-4.63062249016966,-2.04007435135075
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-0.159137245367439,-0.00795686226837196,-4.4039339405859,-0.220196697029295,-3.41352826647692,-4.70797158127432,-2.11908495167952
"Bird Island","BI10","BI10.7",271,265,266,265.5,0.596852488072777,0.0298426244036389,-1.93166205859796,-0.0965831029298979,-3.02670876209703,-4.32991407078868,-1.72350345340538
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,0.219492261682316,0.0109746130841158,-1.32042033424197,-0.0660210167120983,-3.21979378599119,-4.51717064784356,-1.92241692413882
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.91077459539088,0.045538729769544,-1.42424437849527,-0.0712122189247633,-2.86608330834372,-4.1763195588633,-1.55584705782415
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,0.691641444307817,0.0345820722153909,-2.00353706158111,-0.100176853079055,-2.97820781631742,-4.28332870317545,-1.6730869294594
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,0.23037595483789,0.0115187977418945,-1.9648246338257,-0.0982412316912852,-3.21422489450227,-4.51172938823603,-1.91672040076851
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,0.498320632127371,0.0249160316063686,-2.23365913714108,-0.111682956857054,-3.07712484844914,-4.37853040546817,-1.77571929143012
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.291750200419014,0.0145875100209507,-2.54859380510879,-0.12742969025544,-3.18282135261905,-4.48109072004808,-1.88455198519001
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,0.544470690105528,0.0272235345052764,-1.49333614504301,-0.0746668072521505,-3.05351111169511,-4.35573527987819,-1.75128694351202
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.49580613108881,0.0247903065544405,-1.52541423947927,-0.0762707119739635,-3.07841145063761,-4.37977363970844,-1.77704926156677
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-0.231846625463548,-0.0115923312731774,-3.36280721254284,-0.168140360627142,-3.45073169018554,-4.74494779576627,-2.15651558460481
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,0.406369572312297,0.0203184786156148,-0.990350310952375,-0.0495175155476187,-3.12417371936835,-4.42407648931173,-1.82427094942496
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,0.252607161326208,0.0126303580663104,-1.9065291031279,-0.0953264551563948,-3.20284978728164,-4.50062248082754,-1.90507709373574
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,0.18148449755855,0.00907422487792748,-2.31751168432779,-0.115875584216389,-3.23924133115035,-4.53619141559986,-1.94229124670085
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-0.295037971399404,-0.0147518985699702,-1.97786590164707,-0.0988932950823537,-3.48306499318527,-4.77717175954606,-2.18895822682448
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,0.0264193066426155,0.00132096533213077,-2.98955505044596,-0.149477752522298,-3.31858399632613,-4.61409848122001,-2.02306951143225
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,0.0859702231882691,0.00429851115941346,-2.33595616570106,-0.116797808285053,-3.28811340260691,-4.58412109811928,-1.99210570709454
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-0.909079099283425,-0.0454539549641713,-4.0170665839262,-0.20085332919631,-3.79725323444099,-5.09456237048339,-2.49994409839859
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,0.435224408885332,0.0217612204442666,-3.08194822924407,-0.154097411462204,-3.1094094797386,-4.40976542143309,-1.8090535380441
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.174626618162027,0.00873133090810136,-2.10658109117055,-0.105329054558527,-3.24275032259814,-4.53962653883317,-1.94587410636312
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-0.122260277430301,-0.00611301387151503,-3.1101442016722,-0.15550721008361,-3.39465931914934,-4.68925932482428,-2.10005931347439
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.100382391297127,-0.00501911956485634,-2.67595387547578,-0.133797693773789,-3.38346499640053,-4.67817114204058,-2.08875885076048
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,0.164276556374641,0.00821382781873205,-2.62418852884032,-0.131209426442016,-3.24804616934553,-4.54481271863526,-1.9512796200558
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-0.23830904355917,-0.0119154521779585,-2.51064427180439,-0.125532213590219,-3.45403833477907,-4.74823949586887,-2.15983717368927
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-0.312786682384315,-0.0156393341192157,-2.67018445198228,-0.133509222599114,-3.49214652866502,-4.7862373303105,-2.19805572701954
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.174140451005078,-0.00870702255025392,-4.0376087211214,-0.20188043605607,-3.42120500110988,-4.71559255014322,-2.12681745207654
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-0.824076163398813,-0.0412038081699406,-3.86008527185597,-0.193004263592798,-3.75375953065735,-5.05016509611654,-2.45735396519817
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-0.281719426833786,-0.0140859713416893,-3.98723730790316,-0.199361865395158,-3.47625025406905,-4.77037324761092,-2.18212726052718
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.642118835377547,-0.0321059417688773,-3.50435803151832,-0.175217901575916,-3.66065688609738,-4.95562455704898,-2.36568921514578
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-0.154765157270557,-0.00773825786352787,-3.91253191937439,-0.195626595968719,-3.4112911872205,-4.70575162163009,-2.11683075281092
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.101387811230606,-0.00506939056153028,-3.76462538628786,-0.188231269314393,-3.38397944259359,-4.6786804953309,-2.08927838985628
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-0.930202846116303,-0.0465101423058151,-3.77542105748454,-0.188771052874227,-3.80806168450202,-5.10561821760417,-2.51050515139987
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.504789142648067,-0.0252394571324033,-2.13908385104773,-0.106954192552387,-3.59038899576966,-4.88472049063891,-2.2960575009004
"Bird Island","BI10","BI10.13",519,491,492,491.5,-0.0241070190760342,-0.00120535095380171,-2.11114966591256,-0.105557483295628,-3.3444369509472,-4.63958987022652,-2.04928403166788
