"","Ca_ICP","Ti_ICP","Sr_ICP","Zr_ICP"
"Ca_ICP",1,0.789824305325387,0.885606466073268,0.38938339382208
"Ti_ICP",0.789824305325387,1,0.626580024615335,0.739905803235737
"Sr_ICP",0.885606466073268,0.626580024615335,1,0.197613311742294
"Zr_ICP",0.38938339382208,0.739905803235737,0.197613311742294,1
