"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,5450.54545454545,835.921929804018,13959.03161,176.5369365,12656.3491373874,-20105.4669684167,45418.1652431914
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,5083.58333333333,710.068557296129,9355.988249,27.23893955,11955.4053990339,-20808.4685315085,44719.2793295764
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,1170,185.344887366033,3942.206507,48.5012016,4479.96972473832,-28320.9425515463,37280.8820010229
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,1496.25,127.306448454828,4568.280308,27.82191253,5103.14819853402,-27693.623217765,37899.919614833
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,7994.7,1003.56288071827,18556.10587,33.23324312,17516.0038400288,-15238.2263066062,50270.2339866637
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,10621.2727272727,985.478979066433,34440.81517,173.6494448,22533.087620857,-10225.5660585878,55291.7413003018
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,6755.8,1156.0035370957,25853.87296,38.38777974,15149.5492463568,-17606.9159711777,47906.0144638912
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,1059.54545454545,180.112389155418,26327.35852,199.5705658,4268.98767091406,-28533.3698749488,37071.3452167769
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,848.818181818182,82.9202245315558,20544.92897,1107.050592,3866.47211472921,-28938.7035518385,36671.6477812969
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,2591.36363636364,263.650250417963,2355.109726,9.689444316,7194.95277950552,-25589.3187679613,39979.2243269723
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,2063.41666666667,370.998764598123,6242.966621,15.13819392,6186.5077624302,-26603.5205549527,38976.5360798131
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,1999.83333333333,256.157207885148,3694.801697,28.74082309,6065.05561032135,-26725.6998605986,38855.8110812413
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,1678.18181818182,299.384975635658,6284.597012,38.94604963,5450.66082011079,-27343.8845706156,38245.2062108372
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,1101.81818181818,119.633455339063,3753.765384,11.81590071,4349.73388904434,-28452.0679391779,37151.5357172665
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,3160.36363636364,725.041553668102,11390.75321,93.133272,8281.81424031702,-24496.8146218709,41060.4431025049
