"Location","Site","Section","Sample_ID","Core_section","Sample","Radius_1_cm","Radius_2_cm","Thickness_cm","section_cut_loss","section_depth_top","section_depth_bottom","section_depth_mid","field_depth_top","field_depth_bottom","field_depth_mid","strat_depth_top","strat_depth_bottom","strat_depth_mid","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate_cmyr-1","accrate_err_cmyr-1","Bag_mass","Wet_bag_g","Dry_bag_g","Wet_mass_g","Dry_mass_g","Water_Content_pc","Dry_mass","Dry_mass_err","Ash_Mass","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1A","CAT1.1A_1","A",1,2.1,1.9,1.4,0.095,0,1.4,0.7,0,1.4,0.7,0,1.4,0.7,0.7,0.7,-66,-37,-57,-55,15,0.06522,0.04802,1.1476,4.6088,2.0457,3.4612,0.8981,74.05,-1.45938998292027,1.3,0.05,-0.901211444845332,2.57,-0.901589356444718,2.57,4.396,0.2198,0.7873,-1.43352600684573,0.0204,0.0133,0.0111,83.6
"Kerguelen","KER1","CAT1.1A","CAT1.1A_2","A",2,2.1,2.1,1.5,0.095,1.5,3,2.2,1.5,3,2.2,1.5,3,2.2,2.2,0.75,-64,25,-37,-32,45,0.068,-0.07138,1.1476,7.888,2.9448,6.7404,2.9448,56.31,0.350596316329897,2.18,0.513,-1.94710043312404,1.11,-1.94675270408186,1.11,5.0699,0.3118,1.3295,0.467390844704753,0.0648,0.0395,-0.0371,-93.8
"Kerguelen","KER1","CAT1.1A","CAT1.1A_3","A",3,1.9,1.9,1.6,0.095,3.1,4.7,3.9,3.1,4.7,3.9,3.1,4.7,3.9,3.9,0.8,-62,96,-15,-7,79,0.064,-0.70916,1.1476,5.6898,2.6176,4.5422,2.6176,42.37,1.772874163655,2.88,0.42,-1.64236171050718,1.53,-1.64240212500028,1.54,4.5342,0.3083,1.0018,0.449719638913447,0.0681,0.0369,-0.405,-1096.3
"Kerguelen","KER1","CAT1.1A","CAT1.1A_4","A",4,2.1,2.1,1.5,0.095,4.8,6.3,5.5,4.8,6.3,5.5,4.8,6.3,5.5,5.5,0.75,-54,145,9,18,100,0.05926,0.33565,1.1476,6.9221,3.7143,5.7745,3.7143,35.68,2.45544509612307,3.22,0.402,-1.97636105988584,1.07,-1.97638521482409,1.07,5.1928,0.4258,1.112,1.14647003868494,0.0944,0.0424,0.2457,579.6
"Kerguelen","KER1","CAT1.1A","CAT1.1A_5","A",5,1.7,1.9,1.4,0.095,6.4,7.8,7.1,6.4,7.8,7.1,6.4,7.8,7.1,7.1,0.7,-44,156,39,45,100,0.06087,0.14127,1.1476,7.0015,4.5778,5.8539,4.5778,21.8,3.87160123104936,3.91,0.774,-2.15513635266225,0.82,-2.15479762325122,0.82,3.5608,0.3062,1.644,4.02586679947974,0.1748,0.0783,0.1923,245.7
"Kerguelen","KER1","CAT1.1A","CAT1.1A_6","A",6,1.9,1.8,1.3,0.095,7.9,9.2,8.5,7.9,9.2,8.5,7.9,9.2,8.5,8.5,0.65,-38,182,65,68,110,0.05833,0.09882,1.1476,5.0146,2.0885,3.867,2.0885,45.99,1.40353084892639,2.7,0.07,-0.992204857336314,2.45,-0.992338920592775,2.45,3.4927,0.3388,1.1072,0.554232198879171,0.0879,0.0349,0.0642,184.1
"Kerguelen","KER1","CAT1.1A","CAT1.1A_7","A",7,2.1,2.1,1.4,0.095,9.3,10.6,9.9,9.3,10.6,9.9,9.3,10.6,9.9,9.9,0.675,-33,222,88,92,128,0.05357,0.0779,1.1476,5.7507,1.9526,4.6031,1.9526,57.58,0.221020070554942,2.12,0.062,-0.925119517931198,2.54,-0.925048427448978,2.54,4.6735,0.5234,0.9849,-0.355582453576069,0.0677,0.0224,0.0362,161.6
"Kerguelen","KER1","CAT1.1A","CAT1.1A_8","A",8,2.1,2,1.3,0.095,10.7,12,11.4,10.7,12,11.4,10.7,12,11.4,11.4,0.65,-2,231,125,120,117,0.05185,0.0533,1.1476,5.9105,2.4907,4.7629,2.4907,47.71,1.2280417601603,2.61,0.253,-1.70516500697154,1.45,-1.70537121032751,1.45,4.2887,0.5189,1.1106,0.467390844704753,0.0993,0.0301,0.0361,119.9
"Kerguelen","KER1","CAT1.1A","CAT1.1A_9","A",9,2.1,2.1,1.5,0.095,12.1,13.6,12.8,12.1,13.6,12.8,12.1,13.6,12.8,12.8,0.725,17,240,179,147,112,0.05172,0.04216,1.1476,5.955,2.0679,4.8074,2.0679,56.98,0.28223719454311,2.15,0.107,-0.904779813962625,2.57,-0.904676076313699,2.57,5.0197,0.6626,0.9577,-0.384866166030233,0.075,0.0213,0.0212,99.7
"Kerguelen","KER1","CAT1.1A","CAT1.1A_10","A",10,2.2,2.3,1.3,0.095,13.7,15,14.3,13.7,15,14.3,13.7,15,14.3,14.3,0.65,30,265,226,176,118,0.04167,0.02971,1.1476,7.1007,2.3353,5.9531,2.3353,60.77,-0.104450971982152,1.96,0.22,-1.27374918069077,2.05,-1.27384777264389,2.05,5.1663,0.7491,1.1523,-0.182909528415308,0.0881,0.0188,0.0171,90.8
