"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Kerguelen","KER1","CAT1.1A",1,0,1.4,0.7,0.7,0.7,-66,-37,-57,-55,15,0.06522,0.04802,21128.75,48795.75,1.3875,41,153,27.5,719.5,2054.5,76.25,187,62,47,115.5,471.25,623.5,36172,5541.5,6.52420632049228,1.87543981067274,0.153299753757847,-1.87543981067274,41713.5,1246.66819295807,2398.49833229044,0.0596517672272442,11.4891252930761,48.5455112926691,14.8436293854749,410.872648558326,636.510539320966,54.7501902584213,36.9864840178139,58.2980845883179,31.6227766016838,92.1466222929522,123.429804612446,202.771628521678,2850.28875730162,382.222012273844,0.0948652572320399,0.0145699268886783,0.0022380140762119,0.0145699268886798,3229.35746963179,74.05,25.95,1.3,51.46,2.57,29.74,2.57,4.396,0.2198,0.7873,0.2043,0.0204,0.0133,0.0111,83.6,2041.721942,46.94130895,6749.372655,1214.887078,20764.4876,2699.383388,8034.582758,1124.841586,614.0518172,73.68621806,32678.58936,5882.146085,16.33205694,1.143243986,26.27212126,14.18694548,24.69368632,3.457116085,74.45665889,6.7010993,3.20283705,0.054562539,4.612179656,0.737948745,138.036883,2.76073766,93.81158408,4.690579204,1.578894472,0.016029645,0.834903047,0.005683436
"Kerguelen","KER1","CAT1.1A",3,3.1,4.7,3.9,3.9,0.8,-62,96,-15,-7,79,0.064,-0.70916,14967.4117647059,49334,1.34235294117647,48.8823529411765,371.058823529412,342.470588235294,164.764705882353,20505.0588235294,265.823529411765,148.411764705882,92,16.4705882352941,86.2941176470588,724.823529411765,566.117647058824,20162.6470588235,4087.05882352941,4.92174554597979,1.59195371897313,0.20387580165563,-1.59195371897314,24249.7058823529,1564.93218937849,6298.1705081714,0.0800413496079296,41.3020616206703,168.25073201484,157.81995978292,90.9172215615424,5465.0915759778,60.7774992226951,36.6998958164894,37.4916657405349,22.0060152204426,45.4116789849846,137.04480804381,120.661656271235,2676.60040772751,397.113565398526,0.296725658321463,0.0602776339379043,0.0122903658319638,0.0602776339379044,3041.25598570529,67.64,32.36,1.62,30.69,1.53,17.74,1.54,4.5342,0.3083,1.0018,0.5773,0.0681,0.0369,-0.405,-1096.3,2470.033093,34.02759777,8470.459825,1524.682769,24349.44729,3165.428148,10205.77283,1428.808196,553.5802331,66.42962797,48738.7654,8772.977772,18.68861595,1.308203117,39.93389191,21.56430163,26.74331214,3.7440637,81.89432683,7.370489415,6.559985032,0.051370996,6.928285046,1.108525607,172.0332159,3.440664318,130.2830932,6.51415466,2.111394546,0.024201811,1.145028767,0.007781087
"Kerguelen","KER1","CAT1.1A",5,6.4,7.8,7.1,7.1,0.7,-44,156,39,45,100,0.06087,0.14127,17856.5333333333,63331.2666666667,1.37933333333333,111.133333333333,543.266666666667,533.2,158.8,31088.1333333333,248.533333333333,185.533333333333,90.4,23.0666666666667,90.5333333333333,775.266666666667,600,22545.6666666667,4478.46666666667,5.01583551842534,1.6070847615586,0.201586507426898,-1.6070847615586,27024.1333333333,1408.97920833624,7487.7050409957,0.0806639117986889,45.2987963679053,257.69208277285,252.820715697338,60.94400240033,7546.5754093843,92.1829443991416,31.9035749601529,43.1820068348579,24.7832508725051,69.7750125829611,271.1176514954,110.691334026524,3398.15949484143,280.712070753409,0.54491222624926,0.10888427231047,0.0220913685473883,0.108884272310471,3629.63886174185,41.4,58.6,2.93,16.32,0.82,9.44,0.82,3.5608,0.3062,1.644,1.2856,0.1748,0.0783,0.1923,245.7,1625.983285,4.532085741,7270.581826,1308.704729,18719.29689,2433.508596,11837.89698,1657.305577,433.6021987,52.03226384,40886.55616,7359.580109,15.75984242,1.103188969,28.84382633,15.57566622,26.49605516,3.709447722,74.54857758,6.709371982,4.320499499,0.084280295,8.457485532,1.353197685,154.8814977,3.097629954,132.8980564,6.64490282,1.904048371,0.015679958,1.21611583,0.015233425
"Kerguelen","KER1","CAT1.1A",7,9.3,10.6,9.9,9.9,0.675,-33,222,88,92,128,0.05357,0.0779,21546.3571428571,63213.7142857143,1.38142857142857,52.1428571428571,244.428571428571,192.428571428571,74.0714285714286,19220.2857142857,201.5,225.357142857143,101.714285714286,3.78571428571429,54.9285714285714,312.5,758.857142857143,34171.8571428571,5453.28571428571,6.27281396296962,1.8355169880621,0.159645524915693,-1.8355169880621,39625.1428571429,618.434575501584,7035.58137588524,0.0523093083137574,45.3615512264553,100.190368250196,82.7579550307952,28.5992584242596,7409.84498362271,97.1396694693542,22.7684232853551,51.9961959724401,7.76757136015916,51.7530590485154,78.2832627754441,100.097534852345,670.888143507471,180.05914779121,0.243356858831661,0.0391843489058976,0.00631906648979641,0.0391843489058966,689.615596060349,82.51,17.49,0.87,50.79,2.54,29.36,2.54,4.6735,0.5234,0.9849,0.4178,0.0677,0.0224,0.0362,161.6,1606.982719,27.67398683,2638.458059,474.9224506,7892.84278,1026.069561,3166.073488,443.2502883,145.6542648,17.47851178,18707.63044,3367.373479,5.990333136,0.41932332,14.90398608,8.048152483,12.73383553,1.782736974,27.27598299,2.454838469,4.084353792,0.116059134,2.597921886,0.415667502,65.34606485,1.306921297,43.42615035,2.171307518,0.723868771,0.025206261,0.684732429,0.000968503
"Kerguelen","KER1","CAT1.1A",8,10.7,12,11.4,11.4,0.65,-2,231,125,120,117,0.05185,0.0533,18073.1428571429,50747.7142857143,1.39357142857143,104.5,485,433.142857142857,104.928571428571,12891.4285714286,143.428571428571,200.928571428571,120.857142857143,8.64285714285714,64.6428571428571,646.571428571429,670.857142857143,27758.2142857143,5068,5.44180203801087,1.68911273259685,0.185652934753216,-1.68911273259685,32826.2142857143,2377.2129401123,5805.83769121247,0.0814868694337308,100.293990923607,249.88181821998,239.112093810818,40.1793369890435,3830.01324991252,71.6752443967976,36.1396102437675,50.8585627657075,13.8097353779423,69.9621954430304,243.789226204086,118.84693267642,4996.42851180985,479.419360348456,0.551028599667463,0.105025334566693,0.0201604584100494,0.105025334566692,5445.4717133889,71.8,28.2,1.41,28.93,1.45,16.72,1.45,4.2887,0.5189,1.1106,0.5808,0.0993,0.0301,0.0361,119.9,1732.985617,17.56871755,7029.037339,1265.226721,23057.20465,2997.436605,9442.994519,1322.019233,372.8583737,44.74300484,35630.07615,6413.413707,14.56260068,1.019382048,31.14535059,16.81848932,25.82156005,3.615018407,65.36111894,5.882500705,3.719253835,0.057860348,4.555799076,0.728927852,143.4502871,2.869005742,114.5251759,5.726258795,1.879720325,0.033823532,0.845985799,0.005878393
"Kerguelen","KER1","CAT1.1A",9,12.1,13.6,12.8,12.8,0.725,17,240,179,147,112,0.05172,0.04216,20860.6875,54932.3125,1.32875,49.375,320.6875,307.6875,74.6875,9088,77.25,227.6875,125.1875,12.5,63.375,385.125,852.4375,35799.1875,5683.0625,6.28353857167187,1.83526618495722,0.16004213391113,-1.83526618495722,41482.25,1657.09889943238,3311.5747858836,0.0954899645687092,59.0354413325871,347.554258354001,290.954227499791,40.7098984687181,5483.48634842226,56.5113557909677,27.9826583202287,45.2006176211491,31.6333157709821,61.5130067546694,258.408945923575,111.077131609826,4346.57175589759,412.528862626605,0.451484777302023,0.0773269820934306,0.0133615973076327,0.077326982093431,4716.29577104744,80.86,19.14,0.96,51.36,2.57,29.69,2.57,5.0197,0.6626,0.9577,0.412,0.075,0.0213,0.0212,99.7,1544.341058,19.77568712,3048.627916,548.7530249,8068.846686,1048.950069,3112.020149,435.6828209,137.6502423,16.51802908,13008.32214,2341.497985,5.221829427,0.36552806,13.60485991,7.346624351,19.18499137,2.685898792,28.74841778,2.5873576,2.507339154,0.040575593,4.22647584,0.676236134,73.24363877,1.464872775,41.3224873,2.066124365,0.701594692,0.00189081,0.759972104,0.007226092
"Kerguelen","KER1","CAT1.1A",11,15.1,16.5,15.8,15.8,0.7,75,310,242,212,118,0.0359,0.02149,21094.1333333333,53044.6,1.298,20.2,153.2,143.666666666667,45.2,4948.33333333333,86.8,212.8,104.266666666667,9.33333333333333,83.8666666666667,300.333333333333,879.733333333333,37836.9333333333,5968.2,6.34127521848407,1.84674812012424,0.157802914298179,-1.84674812012424,43805.1333333333,825.772440693878,2525.52723774095,0.0819581774879289,8.92988561756852,39.8787447860923,63.9203373255298,18.7090505218349,1018.37781837213,49.8744137094076,28.0972799903682,52.5743917384373,18.9949868073006,71.5340744647179,109.933529700365,95.804463560396,1429.23198490191,208.739140008357,0.167135501844135,0.0268207668583914,0.00430957169944312,0.0268207668583911,1586.24493094616,80.23,19.77,0.99,60.37,3.02,34.9,3.02,5.0801,0.7773,1.1536,0.454,0.0922,0.0163,0.0131,80.2,1195.644073,10.13885337,2675.023484,481.5042271,7023.833905,913.0984077,3257.609478,456.0653269,116.7959682,14.01551618,9929.222192,1787.259995,4.215243411,0.295067039,10.86332373,5.866194814,10.81206248,1.513688747,28.98839799,2.608955819,1.591513383,0.032977868,2.954910964,0.472785754,66.66000584,1.333200117,46.13258291,2.306629146,0.965531788,0.01952173,0.66100582,0.004545605
"Kerguelen","KER1","CAT1.1A",13,18,19.4,18.7,18.7,0.7,137,410,302,293,137,0.03488,0.01756,23650.5333333333,61225.3333333333,1.33533333333333,10.3333333333333,162.333333333333,84.7333333333333,46.4666666666667,8375.6,92.7333333333333,242.2,116.533333333333,4.33333333333333,40.8666666666667,125.266666666667,936.333333333333,42160.4,6328.66666666667,6.66395970846083,1.89633187785562,0.150175610912022,-1.89633187785562,48489.0666666667,696.362781752101,3368.65040094836,0.0593857446418471,8.68222047525588,78.8440292754052,40.1078308468321,18.3803725543879,3817.86628516879,61.3787616440115,34.9697828744434,41.7507342393378,10.9261590863831,52.5735765606731,87.940293597959,122.278760371927,1503.8707581248,213.713983320387,0.190657371419938,0.0286104305667576,0.00429598403091626,0.0286104305667583,1653.77306556279,84.04,15.96,0.8,86.82,4.34,50.19,4.34,6.3302,1.1268,1.0035,0.3415,0.0779,0.0119,0.0087,73.1,982.6393251,33.61844003,458.1692768,82.47046982,1842.298409,239.4987932,338.8842864,47.4438001,22.55582026,2.706698431,4020.387316,723.6697169,1.572869736,0.110100882,7.487431173,4.043212833,3.298222114,0.461751096,11.6740324,1.050662916,2.025278681,0.098573745,0.811121884,0.129779501,28.31046928,0.566209386,11.60409855,0.580204928,0.393167393,0.00299171,0.214132522,0.001869461
"Kerguelen","KER1","CAT1.1A",17,24,25.5,24.7,24.7,0.725,419,522,483,479,52,0.04571,0.00626,21313.25,55199.625,1.315625,21.6875,220.25,287,69,8722.1875,178.4375,217.1875,108.375,0.9375,58.25,486.3125,894.4375,36190,5810.9375,6.22101460774626,1.82745254232485,0.160899842569679,-1.82745254232485,42000.9375,1188.86604235577,4023.59760869134,0.0802470144823677,17.0439383164025,74.4217710082204,110.032722405655,20.1791972090071,1065.4582249749,64.8361717459218,30.770589312957,48.6646689087679,2.56823545130374,56.4192638496226,136.078760894809,63.2381411807779,2959.50288618432,340.313085016332,0.199418788786845,0.0319977408439169,0.0051395298813882,0.0319977408439165,3285.55569056946,68.35,31.65,1.58,32.27,1.61,18.65,1.62,6.0213,1.3006,0.9932,0.505,0.1343,0.0231,0.0093,40.3,1656.226334,6.054527797,5071.624524,912.8924143,15295.91562,1988.469031,6877.170886,962.803924,213.3189091,25.59826909,18207.37633,3277.327739,6.986589224,0.489061246,16.48989021,8.904540713,22.07333655,3.090267117,44.32511103,3.989259993,2.226330413,0.015443008,3.976518253,0.63624292,114.3906738,2.287813476,97.8771987,4.893859935,1.360214265,0.002755716,0.998413767,0.012461864
"Kerguelen","KER1","CAT1.1A",20,28.6,30,29.3,29.3,0.7,525,645,568,573,60,0.05172,0.00665,22599.8,56713.0666666667,1.3,7.46666666666667,118.2,102.466666666667,41,6654.93333333333,96.6,235.8,125.866666666667,2.66666666666667,28.3333333333333,198.133333333333,911.6,39933.7333333333,6159,6.48685894767697,1.86942177389336,0.154267967038135,-1.86942177389336,46092.7333333333,607.515102692929,2019.99167136425,0.0687646088374785,8.45041559981069,28.5236743776113,33.689478363147,13.2611139372657,1094.21344657551,62.8806125015607,32.9874434985712,43.9884183891732,10.3279555898864,51.4346557247524,115.089323488117,124.116189803863,953.272219153335,174.082492760514,0.179072243538101,0.027665373261839,0.0042760960489476,0.0276653732618388,1043.5174354534,81.83,18.17,0.91,81.98,4.1,47.39,4.1,6.3302,1.5699,1.0461,0.3713,0.1107,0.0192,0.0082,42.7,1984.35608,27.9378454,2197.636489,395.574568,5707.668952,741.9969638,2119.195067,296.6873094,70.00844714,8.401013657,11359.78762,2044.761772,5.66932153,0.396852507,15.34618164,8.286938086,18.88934963,2.644508948,29.368275,2.64314475,4.466479343,0.067868015,3.67902566,0.588644106,64.93648567,1.298729713,51.11187666,2.555593833,0.612052096,0.010945345,1.260110739,0.004130806
