Location,Site,Section,Sample_ID,Sample_thickness,section_depth_top,section_depth_bottom,section_depth_mid,field_depth_top,field_depth_bottom,field_depth_mid,strat_depth_top,strat_depth_bottom,strat_depth_mid,depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate_cmyr-1,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,1.1,0,1.1,0.6,0,1.1,0.6,0,1.1,0.6,0.6,-67.32,-51.24,-61.52,-61,0.10031,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,320.7971012,1557.061769,202.41803,134.9563972,18.89389561,34.34524027,4.121428832,13959.03161,2512.62569,0.738789575,0.05171527,2.467420581,1.332407114,4.369649931,0.61175099,22.90793616,2.061714254,1.593037056,0.008373058,2.288761162,0.366201786,26.58846642,0.531769328,2.896325963,0.144816298,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,1.1,3.9,5,4.5,3.9,5,4.5,3.9,5,4.5,4.5,-62.17,50.94,-27.29,-22.12,0.09905,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,239.6630682,1397.543318,181.6806313,79.78694045,11.17017166,28.06949723,3.368339668,9355.988249,1684.077885,0.761205508,0.053284386,2.98969441,1.614434981,3.255429522,0.455760133,12.50967591,1.125870832,1.332775979,0.02334512,1.525038372,0.24400614,25.05462045,0.501092409,2.113253146,0.105662657,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,1.1,11.7,12.8,12.3,11.7,12.8,12.3,11.7,12.8,12.3,12.3,-35.36,208.92,46.23,56.63,0.09457,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,278.1406998,2547.021617,331.1128102,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.5971713,1.745989306,0.122219251,3.556521683,1.920521709,5.828405269,0.815976738,13.94648753,1.255183878,1.743850558,0.029034748,4.398970104,0.703835217,46.4043754,0.928087508,6.431024383,0.321551219,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,1.1,26.7,27.8,27.2,26.7,27.8,27.2,26.7,27.8,27.2,27.2,78.73,342.75,214.59,214.18,0.07835,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,895.0483535,6361.863436,827.0422467,1070.668936,149.893651,59.55046887,7.146056264,4568.280308,822.2904554,1.171208352,0.081984585,7.052448962,3.808322439,18.80830619,2.633162867,83.1136075,7.480224675,4.803888726,0.047934098,19.01381163,3.042209861,121.9608593,2.439217186,35.64216716,1.782108358,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,0.9,36.3,37.2,36.7,36.3,37.2,36.7,36.3,37.2,36.7,36.7,180.95,452.96,342.42,335.43,0.07353,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,2962.325194,8442.247188,1097.492134,1962.99309,274.8190326,148.1529747,17.77835696,18556.10587,3340.099057,14.98993637,1.049295546,9.844407416,5.315980005,25.3957986,3.555411804,90.06087679,8.105478911,7.177832466,0.057235004,43.16823811,6.906918098,150.558177,3.01116354,40.9140318,2.04570159,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.2,45,1.0,4,5,4.5,44,45,44.5,38,39,38.5,38.5,193.74,478.55,369.76,359.91,0.07582,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,12000.37593,10818.31417,1406.380842,3006.601666,420.9242332,498.7089785,59.84507742,25853.87296,4653.697133,6.375776882,0.446304382,9.325702706,5.035879461,12.41602198,1.738243077,63.36397587,5.702757828,4.414249569,0.038359467,138.1998527,22.11197643,165.8736664,3.317473328,60.55383697,3.027691849,3.509034885,0.044750539,10.86384958,0.079884546
Bird Island,BI10,BI10.1,34,1.0,40.9,41.9,41.4,40.9,41.9,41.4,40.9,41.9,41.4,41.4,245.15,511.43,408.57,398.16,0.07847,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,1945.518583,8467.75867,1100.808627,1538.231355,215.3523897,149.1109339,17.89331207,34440.81517,6199.346731,4.788646274,0.335205239,10.02079263,5.41122802,25.1006547,3.514091658,83.32372544,7.49913529,7.880957488,0.074791029,21.08188416,3.373101466,145.2111951,2.904223902,27.74345656,1.387172828,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,51,1.0,11.9,12.9,12.4,51.9,52.9,52.4,45.9,46.9,46.4,46.4,374.38,530.83,465.7,461.88,0.07845,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,446.3688967,6975.196896,906.7755965,301.0170716,42.14239002,55.70453095,6.684543714,26327.35852,4738.924534,17.04437568,1.193106298,9.672030755,5.222896608,30.70187991,4.298263187,154.2471074,13.88223967,10.64861794,0.177330122,5.28425398,0.845480637,110.8952002,2.217904004,6.355756988,0.317787849,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,1.0,15.3,16.3,15.8,55.3,56.3,55.8,49.3,50.3,49.8,49.8,429.77,571.57,506.63,505.22,0.03464,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,4211.858509,7326.374157,952.4286404,1904.013462,266.5618847,235.7531016,28.29037219,20544.92897,3698.087215,5.701846016,0.399129221,6.289145655,3.396138654,12.23274868,1.712584815,56.72463202,5.105216882,5.236852561,0.016924834,58.41930414,9.347088662,153.965778,3.07931556,31.40903404,1.570451702,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,1.0,24.4,25.4,24.9,64.4,65.4,64.9,58.4,59.4,58.9,58.9,552.39,1056.55,759.48,767.94,0.03764,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,156.2397544,5816.665099,756.1664629,225.6496719,31.59095407,36.54824658,4.38578959,2355.109726,423.9197507,1.54911114,0.10843778,7.635178907,4.12299661,44.61646774,6.246305484,109.0593506,9.815341554,6.931517761,0.104210602,3.560602291,0.569696367,97.81476508,1.956295302,6.255310392,0.31276552,4.714142544,0.009348352,0.621271024,0.00212764
Bird Island,BI10,BI10.2,67,1.1,30.1,31.2,30.6,70.1,71.2,70.6,64.1,65.2,64.6,64.6,722.58,1159.87,914.5,919.39,0.03856,77.0153216,3.85076608,22.9846784,2.29846784,0.313261892,0.031326189,3712.228887,74.17879973,7766.606331,1397.98914,9084.977882,1181.047125,1442.000824,201.8801154,88.46094721,10.61531367,6242.966621,1123.733992,4.068857773,0.284820044,5.960197779,3.218506801,36.59073739,5.122703235,261.6355831,23.54720248,8.072382999,0.070931291,30.36236272,4.857978035,168.0404108,3.360808216,30.42377281,1.521188641,4.487970407,0.077593013,2.556674805,0.045766663
Bird Island,BI10,BI10.2,71,1.1,34.7,35.8,35.2,74.7,75.8,75.2,68.7,69.8,69.2,69.2,829.12,1211.96,1039.95,1038.69,0.06164,76.84431418,3.842215709,23.15568582,2.315568582,0.303477386,0.030347739,3558.613952,53.10499408,1973.319538,355.1975168,6626.492173,861.4439825,461.9149499,64.66809299,46.49996193,5.579995432,3694.801697,665.0643055,2.041238975,0.142886728,6.674238754,3.604088927,34.06414422,4.768980191,140.4650062,12.64185056,10.75975255,0.084324463,7.795499709,1.247279953,114.9998151,2.299996302,21.97235957,1.098617979,4.288871292,0.045808063,1.233894651,0.01690507
Bird Island,BI10,BI10.2,81,1.0,46.5,47.5,47.0,86.5,87.5,87,80.5,81.5,81.0,81.0,1095.67,1392.25,1228.83,1230.11,0.11575,75.82326542,3.791163271,24.17673458,2.417673458,0.301310001,0.030131,3474.148775,97.58287489,14359.67839,2584.74211,9905.624178,1287.731143,2197.326275,307.6256785,125.5077224,15.06092669,6284.597012,1131.227462,2.439569014,0.170769831,6.367819135,3.438622333,39.61078518,5.545509925,67.51751759,6.076576583,5.520887153,0.016892471,50.21714125,8.0347426,209.897137,4.19794274,39.24997232,1.962498616,4.871746851,0.049115691,3.886857404,0.030253524
Bird Island,BI10,BI10.3,88,1.0,4.8,5.8,5.3,84.8,85.8,85.3,84.8,85.8,85.3,85.3,1129.45,1419.76,1266.44,1267.26,0.11201,83.3768962,4.16884481,16.6231038,1.66231038,0.184247026,0.018424703,3858.056048,77.55997105,3095.570446,557.2026803,7180.738417,933.4959942,574.7925663,80.47095928,57.22472424,6.866966909,3753.765384,675.6777691,2.601276107,0.182089327,5.912256586,3.192618556,37.01157435,5.181620409,65.03458094,5.853112285,8.662126972,0.092756516,13.30255749,2.128409198,130.9618352,2.619236704,13.33706426,0.666853213,3.755055231,0.044804774,1.35530674,0.018758598
Bird Island,BI10,BI10.3,95,1.0,13.0,14.0,13.5,93,94,93.5,93,94,93.5,93.5,1223.24,1494.83,1333.1,1340.47,0.10732,84.50687591,4.225343795,15.49312409,1.549312409,0.169763258,0.016976326,3318.93706,140.159263,3134.001598,564.1202876,6732.62029,875.2406377,606.0238476,84.84333866,60.2997145,7.23596574,11390.75321,2050.335578,5.745017677,0.402151237,7.120078834,3.84484257,25.20300712,3.528420997,71.97280393,6.477552354,7.32730259,0.127147154,10.28410137,1.645456219,119.867266,2.39734532,13.96054981,0.698027491,4.655602184,0.05117785,1.122462139,0.002027459
Bird Island,BI10,BI10.3,98,1.0,16.3,17.3,16.8,96.3,97.3,96.8,96.3,97.3,96.8,96.8,1276.33,1510.84,1359.14,1371.22,0.06605,72.65882601,3.6329413,27.34117399,2.734117399,0.345133732,0.034513373,3046.497536,93.59658386,3044.618396,548.0313113,6605.365982,858.6975777,562.7226914,78.7811768,54.01867077,6.482240492,7073.372392,1273.207031,3.633220643,0.254325445,5.857915852,3.16327456,18.81424853,2.633994794,41.79884834,3.761896351,5.049060535,0.052888463,9.694363956,1.551098233,112.4064678,2.248129356,13.08141258,0.654070629,4.214972855,0.00900571,0.992804532,0.005060371
Bird Island,BI10,BI10.3,104,1.0,23.2,24.2,23.7,103.2,104.2,103.7,103.2,104.2,103.7,103.7,1350.84,1634.01,1469.17,1475.69,0.04215,83.17025225,4.158512612,16.82974775,1.682974775,0.191025979,0.019102598,3335.981766,60.0124919,1424.582603,256.4248685,7089.603048,921.6483962,441.0920959,61.75289343,47.40786167,5.6889434,1987.252608,357.7054694,1.389287804,0.097250146,4.568507031,2.466993797,19.39416739,2.715183435,45.72842227,4.115558004,4.628095976,0.048659815,6.266500548,1.002640088,127.1397723,2.542795446,11.39582517,0.569791259,4.732409551,0.019576414,0.984439937,0.012776705
