"Rank","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation"
1,"RF",0.80646417107391,0.501910285388067,0.516653413340178,18226.9640487726,NA,NA,NA,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
2,"Bayes",0.782666025570093,0.531874559979908,0.553367126639677,13054.643263387,NA,438.148736470006,466.876632314093,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
3,"PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,NA,NA,NA,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
4,"PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,NA,NA,NA,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
5,"OLS",0.711860213839782,0.612416695598065,0.619207902382141,19046.317786508,NA,503.727552589756,514.500513531289,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
6,"WLS",0.711426381771426,0.612877558837851,NA,19118.97376675,NA,491.391320242748,502.164281184281,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
7,"WLS_weighted",0.711404682307114,0.612900601250386,NA,19121.2837499281,NA,491.44106706079,502.214028002323,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
8,"OLS_weighted",0.705011398870254,0.619652240442579,NA,19165.0781241486,NA,522.979148483121,533.752109424654,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
