"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","K_sd_fr","Ca_sd_fr","Ti_sd_fr","Mn_sd_fr","Fe_sd_fr","Co_sd_fr","Ni_sd_fr","Cu_sd_fr","Zn_sd_fr","Rb_sd_fr","Sr_sd_fr","Zr_sd_fr","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.6,0.55,-67,-52,-61,-61,7,0.09517,0.07549,20689.8181818182,52220.3636363636,1.32909090909091,-1.94880716624657,-0.367119166765369,-1.37872007844385,-1.3097272069569,4.49868218100338,0.127999327795264,1.04692510730742,0.37254802942947,-2.0253472433689,-0.839723577711162,-0.746941844260196,2.5702316382174,2.21844716139276,0.138206278533542,1.6164176249752,0.926014081938605,0.689939588923747,0.109427536942211,0.160387822440553,0.199747654145476,4.59624433636239,1.26846251432632,1.23252485345966,0.40885252899428,38213.7272727273,5590.27272727273,6.83609068627273,1.92189393409995,0.146376584727273,-1.92189393462203,43804,1611.55856802718,191.840606186016,0.18220251860199,0.0266040345046105,0.00388698448403857,0.0266040349622806,1764.16580853388,1.13836155768327,0.376461626210521,1.17240450055651,0.707028209401074,0.153364821333047,0.854907121990843,0.153198945484318,0.536166180911962,2.26936114358204,1.51057151185843,1.65009480045988,0.15907224972059,3.88560818306249,3.75055675790579,1.3049526576182,-0.063535641526546,5.943882920053,-3.90274122642275,-2.69682577915677,-2.12531618636997,-0.468515677217698,-2.77198839105349,-0.31952155642021,-2.53655606047204,0.699409472951249,0.487572378527753,0.182693372066548,-0.00762427698318552,1.06989892560954,-0.273191885849593,-1.45628592074466,-0.297544266091796,-0.0421664109495928,-0.443518142568559,-0.00639043112840421,-0.126827803023602,87.49,12.51,0.63,90.56,4.53,52.34,4.53,0.7473,0.1069,0.011,0.0102,0.0091,89.6
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,4.5,0.55,-62,41,-24,-20,52,0.09524,-0.2374,24515.9166666667,60507.1666666667,1.32166666666667,-1.50665107214829,-0.0869219349421604,-1.29801220703696,-0.275841613868793,4.68371351282341,0.551566833079921,1.62535881969825,0.744219585159078,-4.4561939632329,0.184182478489806,-3.11608898458239,2.95066854656102,1.29876023621658,0.0244606258461647,1.29730548075846,0.146604065912784,0.654215241251527,0.279252337857346,0.236864785548777,0.351775005568067,14.7795233690903,0.235008635140276,10.7944488844048,0.37681984727505,45226.25,6602.41666666667,6.85367335291667,1.92450380861919,0.145989151583333,-1.92450380825688,51828.6666666667,654.357300924141,185.387779499833,0.169742759190871,0.0247563332148018,0.00361351532498803,0.0247563330465633,759.696390711846,0.862017928520578,0.281409127194894,0.999455531870452,0.531479147966839,0.139678748382105,0.506289213037004,0.145730765833449,0.47267636136299,3.3166247903554,1.27595543868894,3.46410161513776,0.127706599819295,3.84280155325921,3.89124027202043,1.0281289082459,-0.0165474503882121,5.79254094240942,-3.62408283695147,-2.25605975114237,-2.17090670474982,-0.824728511639977,-2.92921135759837,-0.130172669684372,-2.60300239378037,0.691704279586658,0.505861235362656,0.143938047154425,-0.00198569404658546,1.0426573696337,-0.253685798586603,-1.21827226561688,-0.303926938664975,-0.074225566047598,-0.468673817215739,-0.00260345339368745,-0.130150119689019,89.51,10.49,0.52,90.31,4.52,45.15,4.52,1.4999,0.1757,0.0231,0.0167,-0.0395,-236.1
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,12.3,0.55,-33,189,50,60,111,0.10578,0.20089,21782.6666666667,52798.3333333333,1.29166666666667,-1.50286800873964,0.24559465473509,-1.26291733910905,-1.23012751628606,3.2761130443745,-0.289616352518115,1.46841526661538,0.477548835731455,-2.32230891462388,-0.435822186039366,-1.46136827783289,3.03735679369257,1.3079809952694,0.0687665482876224,0.7867404634374,1.17024625514392,0.518983592485454,0.30340087176632,0.188224614676516,0.360338670399452,6.80706574476701,0.679415654183188,3.54071026043925,0.420793322290049,42093.8333333333,6060.5,6.94940689116667,1.93845295221793,0.143955505083333,-1.93845295198189,48154.3333333333,1322.15401615101,252.644378164609,0.146903944870302,0.0210273994231383,0.00301099939000145,0.0210273985066797,1547.89853633495,0.870323267022179,0.280000183073191,0.622954835660441,0.951321094480569,0.158414433646182,1.04759579052893,0.128182142310713,0.754558787369938,2.93116290511656,1.55892856294796,2.42287335379271,0.138539312590432,3.48328739754594,3.9830418315909,1.97090735948023,-0.243600908865024,4.41985774210023,-3.30231679805059,-2.59085511869527,-2.09689470641359,-1.22441044399362,-2.37826768433896,-0.0222443783921449,-1.99850429196811,0.626991731558269,0.517795438106818,0.275927030327233,-0.0292321090638029,0.795574393578041,-0.231162175863541,-1.39906176409545,-0.293565258897902,-0.110196939959426,-0.380522829494233,-0.00044488756784289,-0.0999252145984057,86.38,13.62,0.68,90.68,4.53,45.34,4.53,0.9214,0.1452,0.0286,0.0154,0.0322,209.6
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,27.2,0.525,82,372,212,214,145,0.08802,0.06119,21759.5833333333,52292.1666666667,1.33,-2.2511958074379,0.150036138459513,-1.2158157039933,-1.32903995611134,2.63177321348623,-0.763593247865128,0.635902625113299,-0.208258084777651,-0.169000707340878,-0.37038456059394,0.834820667841828,2.05475542321927,1.82903701299021,0.0249280780407771,0.523435789476416,0.402873232982933,0.223920936305753,0.52091904015761,0.0541241932431009,0.113821753801257,0.112692425729144,0.396646705423454,0.203734444611933,0.222677888583109,40802.6666666667,6037.25,6.75858272008333,1.91060099749415,0.148022999166667,-1.91060099776349,46839.9166666667,1078.14945273104,98.4065084691603,0.145036190410156,0.0215474645003436,0.00320273418525426,0.0215474632091175,1138.1072371852,0.812473533820165,0.166147158256168,0.430522313338453,0.303131016588625,0.0850836748236111,0.682194403386892,0.0851139641599335,0.546541825364329,0.66681629622911,1.07090507441077,0.244045760317154,0.108371967810277,3.71602440999666,3.96242484528941,2.18038714473555,-0.708827591890482,3.6312403516383,-4.63761576586541,-2.84227683421096,-1.86135317033261,-0.375443324260563,-1.85048611823536,0.00804840663550621,-1.22212235350002,0.668884393799398,0.515115229887623,0.305254200262976,-0.0850593110268578,0.653623263294895,-0.324633103610579,-1.53482949047392,-0.260589443846566,-0.0337898991834507,-0.296077778917658,0.00016096813271012,-0.0611061176750009,80.34,19.66,0.98,72.7,3.63,36.35,3.64,0.8756,0.2142,0.0691,0.0189,0.0192,101.8
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,36.7,0.475,182,468,347,340,143,0.07126,0.0308,22119.4,57449,1.346,-1.87135890763456,0.242190121422223,-0.819447712012431,-1.35446806436548,3.8456062542936,-0.169726621967429,0.220364318891147,-0.217303929711652,-0.835512314516237,-1.29078024510822,0.715289550881678,1.53514754982736,1.61075483306736,0.0310483730465025,0.297941776780763,0.53852473686215,0.482733272126169,0.0624100613279985,0.0398874261492247,0.0816561468109626,0.30345937016118,1.02848339734967,0.218143750197973,0.207135048705241,38550.7,6177,6.2410442383,1.83104381002262,0.1602627916,-1.83104381029565,44727.7,967.395592988377,126.323218592449,0.0948601088783811,0.0151714348360886,0.00242683010150897,0.0151714344083309,1070.94880570662,0.860740730437107,0.128198346258616,0.363588515061036,0.397591313542288,0.125528522736097,0.367709323408175,0.181006736253558,0.375769305779766,0.363201552973978,0.796792018817612,0.304972650486905,0.134928429992632,4.17695845215305,3.50943405318882,2.05065592068389,-0.533324400672106,4.29698441782345,-2.8241906861885,-3.24466623455077,-2.29698600257009,-1.03108390301738,-1.76646475756258,-0.517220185829997,-1.82009667345778,0.751852521387549,0.456226426914547,0.287091828895745,-0.0639989280806527,0.773457195208221,-0.197693348033195,-1.75211976665742,-0.321578040359813,-0.0927975512715642,-0.282634361210013,-0.0103444037165999,-0.091004833672889,78.21,21.79,1.09,61.98,3.1,30.99,3.1,1.0904,0.3038,0.1215,0.0216,0.018,83.2
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,41.4,0.5,244,520,411,404,138,0.07979,0.02824,23491.9090909091,61638.1818181818,1.34909090909091,-2.27486482946813,0.464916993300124,-1.18173200656464,-1.08492444689482,4.5896235287051,0.872673456953867,0.745959816825471,0.281854028856892,-1.8213905021736,-2.95175148915629,0.317449419599423,2.04218603001662,1.669996028175,0.0588809847794444,0.46189841335982,0.513989894586746,0.425841386951088,0.204318749725877,0.127722306320785,0.101509740890621,2.00579117968563,5.18578673010222,0.211376015528012,0.246883534227867,40697.0909090909,6303.27272727273,6.45711631990909,1.86496900647518,0.154934023454545,-1.86496900685948,47000.3636363636,1249.59765160995,167.336242881864,0.140283271425329,0.0216709542553361,0.00334895066566225,0.0216709544099856,1375.40454214222,0.734107805678043,0.126648381599238,0.3908656199493,0.473756394795828,0.0927835113899272,0.234129671411191,0.171218748570565,0.36015004398664,1.10124170368296,1.75685072037839,0.665857306637194,0.120891794674483,3.9557222158592,3.7116610766011,2.00602850843823,-0.327669504447658,5.11463757134918,-3.76611229974393,-3.02769785887377,-2.10946612672938,-0.909626728365096,-2.28394595510923,-0.354170855534067,-2.00936004344459,0.712029998854657,0.482515939958143,0.280843991181352,-0.039320340533719,0.920634762842852,-0.263627860982075,-1.63495684379183,-0.295325257742113,-0.0818664055528586,-0.365431352817477,-0.00708341711068135,-0.100468002172229,80.53,19.47,0.97,46.97,2.35,23.49,2.35,1.0736,0.2596,0.1142,0.0207,0.0164,79.4
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,46.4,0.5,374,544,470,467,85,0.07984,0.01535,24155,62053.0909090909,1.37454545454545,-2.78488939383521,0.275646196303418,-1.24202597202378,-1.48483629029838,3.8508013348336,0.0874296172598434,0.260439820858154,-0.266646323779618,0.127369151577417,-1.00592327606706,0.555753984985859,1.62688115018577,2.87237799854939,0.0371364151887605,0.541557859921097,0.633729369526668,0.31741576165424,0.025325459075955,0.0308168719530656,0.0863383592014103,0.0745522145510997,0.900484170192395,0.127326152508575,0.118300307458934,42397,6672.27272727273,6.35744417863636,1.849253461241,0.157412857545455,-1.84925346213875,49069.2727272727,762.777687140886,166.460260067736,0.182779022245519,0.0285929827153509,0.00447529741870408,0.0285929830793054,803.325599107745,1.03141546838731,0.134724932492384,0.43602780627741,0.426800835666077,0.0824284957998116,0.289666818518569,0.118326267663384,0.323793547863681,0.58532394718658,0.895181761488895,0.229105244313838,0.0727160109055448,2.95242175786957,3.98659343205281,0.8436445763641,-0.843460913829237,5.31484152233614,-2.02770212588656,-2.59428410995075,-1.43919851548374,0.175033506879895,-3.19879095169139,-0.154936790068664,-3.01416138859216,0.531435916416522,0.518257146166865,0.118110240690974,-0.101215309659508,0.956671474020505,-0.141939148812059,-1.4009134193734,-0.201487792167724,0.0157530156191906,-0.511806552270622,-0.00309873580137328,-0.150708069429608,84.86,15.14,0.76,86.82,4.34,43.41,4.34,1.0017,0.1787,0.1098,0.0143,0.0115,80.7
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,49.8,0.5,431,612,509,509,91,0.04431,0.00833,23782.5454545455,58865.8181818182,1.30272727272727,-2.19572136432866,0.65019863099667,-1.31183405650917,-1.25934387388777,3.66729203155003,-0.380094413693962,0.749861125539859,0.147337836593159,-2.0415706845014,-0.851986617627566,0.673082924830258,2.15277846103855,1.66475246807364,0.081464138179608,0.787281116282025,0.743789564199754,0.588709018746269,0.249556356276699,0.0921739466774166,0.05936863583412,5.6184626649765,1.15338796209315,0.322416389473122,0.201441603304265,43566.6363636364,6609.09090909091,6.59292733472727,1.8858759179427,0.151714599818182,-1.8858759175693,50175.7272727273,549.835297653265,99.8473380170494,0.107707506933586,0.0163596973645536,0.00248530251837339,0.0163596977968697,588.710810315063,0.758180202241937,0.125291156111378,0.600137732646617,0.590616732746372,0.160529626133276,0.656564125348162,0.122921356419239,0.402942225886302,2.7520294583132,1.35376300311485,0.479014364469921,0.093572844094271,4.67895935429177,3.51773766033408,2.17022093152237,0.0812867235545767,4.54887106984056,-3.64070836931758,-3.54267311860907,-2.87738168075736,-1.34328981062405,-1.31385196862518,-0.344767997242384,-1.93440279436772,0.842212683772518,0.45730589584343,0.303830930413132,0.0097544068265492,0.818796792571301,-0.25484958585223,-1.9130434840489,-0.40283343530603,-0.120896082956165,-0.210216314980028,-0.00689535994484768,-0.0967201397183862,77.63,22.37,1.12,49.27,2.46,24.64,2.47,0.9612,0.2769,0.1783,0.0123,0.0102,83.2
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,58.9,0.5,517,1000,723,731,242,0.04011,0.0136,23787.4545454545,55955.6363636364,1.37,-2.86281227325686,0.730256876011068,-1.63370349565938,-0.787926548112885,2.50579409413642,-1.31718587356771,0.971347465970681,0.41604625621305,0.49440155576631,-1.72265098167588,0.893300930238031,2.31313199393716,3.63024463803081,0.152912346751567,1.02992874717927,0.340081354291484,0.343099795472717,1.75884015935902,0.165813565773589,0.112567240927084,0.163150907521901,2.53929328196066,0.279357136506127,0.197640484380462,44227.8181818182,6491.09090909091,6.81663246718182,1.91918265472538,0.146753534090909,-1.91918265393573,50718.9090909091,670.18367902864,182.784274239035,0.137121980551423,0.0200333035856926,0.00292773881735223,0.0200333049038962,814.114298430565,1.26806939873179,0.2093952851041,0.630425747337696,0.431615554909264,0.136922581259,1.33530141391134,0.17070468764531,0.270564244350368,0.329996751869078,1.47406137921816,0.312724555689972,0.0854428043442777,2.52756423061713,4.42985645706653,1.18035775986723,-0.63999270052538,3.52571668576342,-3.80094460400633,-2.20585954150495,-0.44052288966772,0.453266322576737,-2.9686961989637,0.344449625450754,-2.40519514667373,0.454961561511083,0.575881339418649,0.165250086381413,-0.0767991240630456,0.634629003437416,-0.266066122280443,-1.19116415241267,-0.0616732045534808,0.0407939690319063,-0.474991391834192,0.00688899250901509,-0.120259757333686,87.79,12.21,0.61,89.03,4.45,44.52,4.45,1.0337,0.1438,0.1041,0.0058,0.0061,106.3
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,64.6,0.525,707,1112,883,891,203,0.03456,0.00815,22661.4166666667,55280.3333333333,1.31916666666667,-2.35966910554207,0.287366989804992,-1.24253776910672,-1.34552258366416,2.61183020701357,-0.997016507479221,0.109142986824271,-0.201083894278563,0.901119707281605,-0.433988911389462,1.10519024497363,1.56516863556214,2.46437872375616,0.0499632748443215,1.08273302455097,1.00773239067733,0.334973359271966,0.377424957850047,0.0159586112219448,0.0820714846498579,0.111065298378385,0.347648783663166,0.324105664852309,0.223721915850867,40818.8333333333,6431.91666666667,6.34778948108333,1.84772276932789,0.157657004,-1.84772276853289,47250.75,1324.42974578312,173.929169665718,0.18245435394262,0.0290419334199499,0.00462805736462638,0.0290419333589135,1425.89443221375,1.04437470404989,0.173865741775792,0.871388420916457,0.748952416638783,0.128252349012757,0.37855437198758,0.146217468353137,0.408145490439745,0.123252546227664,0.801054530518145,0.293257804551146,0.14293789868241,3.71797430931724,3.87476327326735,2.03417261627581,-0.757053092837118,3.49959649542173,-3.83625195838584,-3.45451060807486,-1.63981914139546,0.327338358359991,-1.82641050004625,-0.11540978204327,-1.82438996985932,0.669235375677103,0.503719225524755,0.284784166278613,-0.0908463711404541,0.629927369175911,-0.268537637087009,-1.86543572836042,-0.229574679795365,0.0294604522523992,-0.292225680007399,-0.0023081956408654,-0.091219498492966,77.02,22.98,1.15,80.57,4.03,40.28,4.03,1.0497,0.3133,0.2418,0.0108,0.0109,100.8
