"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","Rank","Recommended_CI","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Ca","Bayes",0.636884102731344,0.428801053115093,0.437812064252784,5546.07861545861,5676.8614276907,5957.29135111303,820.730553649254,318.686507485063,340.232429368128,13400.3536152465,4.63923416424389,257.29557390418,2,"Bootstrap predictive CI",11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,0.740687069612545,0.694264451475596,0.468688964526326,0.645160852645594,1,0.519498277021334,0.67577374573409,FALSE,0.2769447506308,0.345779262272287,0.587637588476937,0.608287941969383,NA,1,"Bayes",TRUE,"Preferred 1","Moderate confidence","Acceptable","Moderate confidence"
"Ca","RF",0.677807498034738,0.403915878804705,0.405320083182145,4922.71324986387,5049.08307476495,5228.16746390404,454.783231485676,NA,NA,13400.3536152465,4.36848697421064,215.048087098045,1,"Bootstrap predictive CI",10904.4834900031,19126.5217496505,2.21513684354958,0.391287004664909,2.72434092078844,0.849488209709809,0,1,0.639795283883923,2,0.554541297845059,0.713838388641577,FALSE,1,1,0.639795283883923,0.639795283883923,NA,2,"Bayes",FALSE,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,6053.6242581495,6205.7328409192,773.225243213102,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,4,"Bootstrap predictive CI",10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,0.805915698467802,1,0.0569792992651656,0.63946006916667,3,0.506076092932575,0.66342100925033,FALSE,0,0.133471573086752,0.622366279387121,0.662407751313146,NA,3,"Bayes",FALSE,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,6053.6242581495,6205.7328409192,773.225243213102,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,5,"Bootstrap predictive CI",10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,0.805915698467802,1,0.0569792992651656,0.63946006916667,4,0.506076092932575,0.66342100925033,FALSE,0,0.133471573086752,0.622366279387121,0.662407751313146,NA,4,"Bayes",FALSE,"Acceptable 4","Moderate confidence","Acceptable","Moderate confidence"
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,5697.48877526591,562.540331846359,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,8,"Log-normal % CI",10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1,0.640027193421563,0,0.592008158026469,5,0.515172267630545,0.655655208695775,FALSE,0.187684643331128,0,0.648313551025807,0.592008158026469,NA,5,"Bayes",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,5658.0460435519,5697.48877526591,562.540331846359,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,3,"Log-normal % CI",10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,0.787121534135248,0.641427991367153,0.0592757600438129,0.525059739077389,6,0.515172267630545,0.655655208695775,FALSE,0.187684643331128,0,0.563582404063583,0.507277011064245,NA,6,"Bayes",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,5697.48877526591,562.540331846359,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,6,"Log-normal % CI",10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,0.00566308940610476,0.642304940083892,0.0512620539706419,0.210335333978802,7,0.515172267630545,0.655655208695775,FALSE,0.187684643331128,0,0.251262110786948,0.194956717787609,NA,7,"Bayes",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,5697.48877526591,562.540331846359,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,7,"Log-normal % CI",10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,0,0.642318859084118,0.0506474982731397,0.207889907207177,8,0.515172267630545,0.655655208695775,FALSE,0.187684643331128,0,0.249001050724574,0.192695657725235,NA,8,"Bayes",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Sr","Bayes",0.635271572146413,0.373704733132646,0.385058169520708,56.5643915636821,59.0390794365842,59.3962906925544,6.53605371859473,244.972001338324,266.517923221389,163.852330174044,7.61572706279396,4.30778967622008,2,"Bootstrap predictive CI",147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,0.776875040417313,0.857832700312394,0.468670455805327,0.708700963002241,1,0.51279182047885,0.678916873682426,FALSE,0.168072181931204,0.254284677799077,0.618521480840004,0.644385229600366,NA,1,"Bayes",TRUE,"Preferred 1","Moderate confidence","Acceptable","Moderate confidence"
"Sr","RF",0.688361791876862,0.345437228325002,0.346757684558846,44.3526546997414,45.0004058967542,47.7285203815051,4.23336051005225,NA,NA,163.852330174044,7.02612324910553,3.11627218345403,1,"Bootstrap predictive CI",141.126846061806,206.040524950569,3.18192556944351,0.378407394822897,2.6690181300023,1,0,1,0.7,2,0.562534277892778,0.723478716044024,FALSE,1,1,0.7,0.7,NA,2,"Bayes",FALSE,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
