"Element","Model","n_test_median","n_success","Failure_rate_pct","R2_single","RMSE_single","RMSE_ppm_single","R2_mean","R2_sd","R2_q05","R2_q25","R2_q75","R2_q95","RMSE_mean","RMSE_sd","RMSE_ppm_mean","RMSE_ppm_sd","R2_boot_s","RMSE_boot_s","Robustness_boot","Bootstrap_Unstable"
"Ca","RF",133,500,0,0.677807498034738,0.403915878804705,4922.71324986387,0.636533247223569,0.0477716871812578,0.554541297845059,0.604216282567098,0.669494057181996,0.713838388641577,0.426499270582609,0.0278140909262255,5228.16746390404,454.783231485676,1,0,1,FALSE
"Ca","Bayes",133,2000,0,0.636884102731344,0.428801053115093,5546.07861545861,0.606669599863928,0.0465420390128306,0.519498277021334,0.580127960151451,0.639666245131383,0.67577374573409,0.443673709401902,0.0229648444488912,5957.29135111303,820.730553649254,0.352490454870211,0.745856905688757,0.313151510646624,FALSE
"Ca","OLS",133,2000,0,0.605349695781694,0.447032844459699,5504.63271481712,0.591980879259146,0.0422766631824001,0.515172267630545,0.56593851241254,0.621539782483628,0.655655208695775,0.452127131718686,0.0211539717856288,5697.48877526591,562.540331846359,0.0340066915575444,0.480091994250926,0.228367217234156,FALSE
"Ca","WLS",133,2000,0,0.604685117514639,0.447409080513934,5446.04597912254,0.591980879259146,0.0422766631824001,0.515172267630545,0.56593851241254,0.621539782483628,0.655655208695775,0.452127131718686,0.0211539717856288,5697.48877526591,562.540331846359,0.0340066915575444,0.480091994250926,0.228367217234156,FALSE
"Ca","OLS_weighted",133,2000,0,0.60078407376705,0.449611220751241,5620.88386479327,0.591980879259146,0.0422766631824001,0.515172267630545,0.56593851241254,0.621539782483628,0.655655208695775,0.452127131718686,0.0211539717856288,5697.48877526591,562.540331846359,0.0340066915575444,0.480091994250926,0.228367217234156,FALSE
"Ca","WLS_weighted",133,2000,0,0.604732452698864,0.447382293228408,5447.03371534874,0.591980879259146,0.0422766631824001,0.515172267630545,0.56593851241254,0.621539782483628,0.655655208695775,0.452127131718686,0.0211539717856288,5697.48877526591,562.540331846359,0.0340066915575444,0.480091994250926,0.228367217234156,FALSE
"Ca","PLS_LOO",133,2000,0,0.605172814508826,0.447133012734933,5921.70892622602,0.59041246401001,0.0470553769874668,0.506076092932575,0.56110206289226,0.623304605463803,0.66342100925033,0.452845302316117,0.0237061891390468,6205.7328409192,773.225243213102,0,1,0,FALSE
"Ca","PLS_kfold",133,2000,0,0.605172814508826,0.447133012734933,5921.70892622602,0.59041246401001,0.0470553769874668,0.506076092932575,0.56110206289226,0.623304605463803,0.66342100925033,0.452845302316117,0.0237061891390468,6205.7328409192,773.225243213102,0,1,0,FALSE
"Sr","RF",133,500,0,0.688361791876862,0.345437228325002,44.3526546997414,0.650135964131504,0.0495731679108788,0.562534277892778,0.620428749760044,0.68623323169286,0.723478716044024,0.36380678167304,0.0283832331522501,47.7285203815051,4.23336051005225,1,0,1,FALSE
"Sr","Bayes",133,2000,0,0.635271572146413,0.373704733132646,56.5643915636821,0.6020382508265,0.050584657702609,0.51279182047885,0.571193643452203,0.636459114238929,0.678916873682426,0.388295640057514,0.025360024220849,59.3962906925544,6.53605371859473,0.178973132089925,0.882408466769718,0.154420492546068,FALSE
"Sr","PLS_LOO",133,2000,0,0.619560933054721,0.381668523678026,58.9814163562467,0.597673740723811,0.0511197346009109,0.505251462293815,0.566691445452729,0.633021593422033,0.675513163429674,0.390418307519737,0.0254378596719834,60.951161313048,7.32540295673246,0.104471044291093,1,0.0626826265746557,FALSE
"Sr","PLS_kfold",133,2000,0,0.619560933054721,0.381668523678026,58.9814163562467,0.597673740723811,0.0511197346009109,0.505251462293815,0.566691445452729,0.633021593422033,0.675513163429674,0.390418307519737,0.0254378596719834,60.951161313048,7.32540295673246,0.104471044291093,1,0.0626826265746557,FALSE
"Sr","OLS",133,2000,0,0.605940022011523,0.388440903375382,59.7735590156883,0.59155357762881,0.0499557650660096,0.502742483059667,0.562032335485939,0.626520199757306,0.66372153923012,0.39343865842412,0.0246303250066771,60.5787104774056,5.28700680476254,0,0.971832341393018,0.0112670634427927,FALSE
"Sr","WLS",133,2000,0,0.605899324973479,0.388460961218056,59.3656290640811,0.59155357762881,0.0499557650660096,0.502742483059667,0.562032335485939,0.626520199757306,0.66372153923012,0.39343865842412,0.0246303250066771,60.5787104774056,5.28700680476254,0,0.971832341393018,0.0112670634427927,FALSE
"Sr","OLS_weighted",133,2000,0,0.588442221601662,0.396971381054182,68.563181097856,0.59155357762881,0.0499557650660096,0.502742483059667,0.562032335485939,0.626520199757306,0.66372153923012,0.39343865842412,0.0246303250066771,60.5787104774056,5.28700680476254,0,0.971832341393018,0.0112670634427927,FALSE
"Sr","WLS_weighted",133,2000,0,0.605197017350042,0.38880693583257,61.616501941787,0.59155357762881,0.0499557650660096,0.502742483059667,0.562032335485939,0.626520199757306,0.66372153923012,0.39343865842412,0.0246303250066771,60.5787104774056,5.28700680476254,0,0.971832341393018,0.0112670634427927,FALSE
"Ti","PLS_LOO",133,2000,0,0.756227776634957,0.607666319730726,1919.97750377683,0.738374230412673,0.0376515938340868,0.673810409157214,0.7152500073206,0.764945092069618,0.795790393145256,0.625310079698131,0.0380696357851136,2203.41115300355,705.256127489748,0.927446208157052,0.696294037684749,0.677950109820331,FALSE
"Ti","PLS_kfold",133,2000,0,0.756227776634957,0.607666319730726,1919.97750377683,0.738374230412673,0.0376515938340868,0.673810409157214,0.7152500073206,0.764945092069618,0.795790393145256,0.625310079698131,0.0380696357851136,2203.41115300355,705.256127489748,0.927446208157052,0.696294037684749,0.677950109820331,FALSE
"Ti","Bayes",133,2000,0,0.757847910218222,0.605643649083077,2132.72586760655,0.739906361552975,0.036994215819779,0.674714604626943,0.716923832212112,0.765311250315606,0.79673009841112,0.623498873569231,0.0370704822885382,2412.22127315577,784.252798937385,1,1,0.6,FALSE
"Ti","RF",133,500,0,0.737894395399044,0.630102511365047,1632.63607193601,0.718789186262972,0.0370945575161083,0.653674502827705,0.693097552046472,0.745279852018756,0.777357590935032,0.649490075869038,0.0383456204991926,1724.6808687449,214.240203644258,0,0,0.4,FALSE
"Ti","OLS",133,2000,0,0.729930592021033,0.639603384224678,2035.54425020404,0.721296940321826,0.0374620987639214,0.656221008716905,0.697830458668812,0.747168941900574,0.779132874677105,0.645634730710501,0.0362935172355253,2183.23509730289,418.899208076447,0.118754237932666,0.666948772197484,0.204473033880606,FALSE
"Ti","WLS",133,2000,0,0.728935134347202,0.640781067535794,1882.89538666468,0.721296940321826,0.0374620987639214,0.656221008716905,0.697830458668812,0.747168941900574,0.779132874677105,0.645634730710501,0.0362935172355253,2183.23509730289,418.899208076447,0.118754237932666,0.666948772197484,0.204473033880606,FALSE
"Ti","OLS_weighted",133,2000,0,0.718555763474536,0.652933928562262,2173.73266969499,0.721296940321826,0.0374620987639214,0.656221008716905,0.697830458668812,0.747168941900574,0.779132874677105,0.645634730710501,0.0362935172355253,2183.23509730289,418.899208076447,0.118754237932666,0.666948772197484,0.204473033880606,FALSE
"Ti","WLS_weighted",133,2000,0,0.72919658362992,0.640471967780676,1893.08238585334,0.721296940321826,0.0374620987639214,0.656221008716905,0.697830458668812,0.747168941900574,0.779132874677105,0.645634730710501,0.0362935172355253,2183.23509730289,418.899208076447,0.118754237932666,0.666948772197484,0.204473033880606,FALSE
"Zr","RF",133,500,0,0.743282442571523,0.665859489258049,45.5919009454696,0.704266572721506,0.0371795053257896,0.639532804392741,0.682255141241337,0.730295696454311,0.75898312204722,0.710280596486406,0.0415909903618381,50.1368341822247,10.9507705044429,1,0,1,FALSE
"Zr","Bayes",133,2000,0,0.7219222288162,0.693007515213175,84.3816359771264,0.697871198547198,0.0358055005610259,0.63582925358079,0.676672721052348,0.721842712157066,0.75331695500691,0.719064564400693,0.0403274363504162,94.2746470081931,37.7204097634764,0.941793398873772,0.364261901086311,0.819371278889739,FALSE
"Zr","PLS_LOO",133,2000,0,0.72037835645274,0.69492862207945,77.8910261396823,0.693153478995825,0.0387297965066494,0.62395945512003,0.671373641736067,0.718328397820535,0.752592679771281,0.724479680149334,0.043210052453858,88.5046640572072,34.869427206997,0.898855736014992,0.316643208079277,0.812656158377284,FALSE
"Zr","PLS_kfold",133,2000,0,0.72037835645274,0.69492862207945,77.8910261396823,0.693153478995825,0.0387297965066494,0.62395945512003,0.671373641736067,0.718328397820535,0.752592679771281,0.724479680149334,0.043210052453858,88.5046640572072,34.869427206997,0.898855736014992,0.316643208079277,0.812656158377284,FALSE
"Zr","OLS",133,2000,0,0.608456680906178,0.822327315016661,148.16046066862,0.594392880553174,0.0337940744480597,0.536556720701675,0.573237942289676,0.617313123037231,0.647314703402938,0.834009553440924,0.034561324274273,171.307378492073,93.6991109242749,0,1,0,FALSE
"Zr","WLS",133,2000,0,0.608323185716187,0.822467487738816,159.077231156446,0.594392880553174,0.0337940744480597,0.536556720701675,0.573237942289676,0.617313123037231,0.647314703402938,0.834009553440924,0.034561324274273,171.307378492073,93.6991109242749,0,1,0,FALSE
"Zr","OLS_weighted",133,2000,0,0.401191970178938,1.01694769214115,153.784821913486,0.594392880553174,0.0337940744480597,0.536556720701675,0.573237942289676,0.617313123037231,0.647314703402938,0.834009553440924,0.034561324274273,171.307378492073,93.6991109242749,0,1,0,FALSE
"Zr","WLS_weighted",133,2000,0,0.608229412035276,0.822565937768544,162.575252795128,0.594392880553174,0.0337940744480597,0.536556720701675,0.573237942289676,0.617313123037231,0.647314703402938,0.834009553440924,0.034561324274273,171.307378492073,93.6991109242749,0,1,0,FALSE
