"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,15.2727272727273,17.9058141903177,134.9563972,2.246361623,1206.7613479742,-2547.32064950677,4960.84334545516
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,12.8333333333333,12.8263459923375,79.78694045,0.954822132,1192.71860496317,-2561.37859389189,4946.81580381823
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,12.5,7.78693544575551,340.544392,4.893302391,1190.79972082502,-2563.29956286076,4944.8990045108
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,31.9166666666667,13.7408371673856,1070.668936,10.73236296,1302.57472187239,-2451.40617714702,5056.55562089179
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,75.3,27.378215184096,1962.99309,30.40726253,1552.3174924529,-2201.42137332354,5306.05635822934
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,33.0909090909091,12.9340986965041,1538.231355,7.943023099,1309.33442735906,-2444.6395116974,5063.30836641552
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,39.4,14.8264028753512,3006.601666,14.09773486,1345.6536707739,-2408.28326258819,5099.590604136
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,13.9090909090909,14.0389069763607,301.0170716,3.519876752,1198.91136740903,-2555.17911563325,4953.00185045131
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,8.45454545454546,9.2775388585943,1904.013462,92.77560752,1167.51144514835,-2586.61328692854,4921.63617722525
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,65.4545454545455,47.7668580427133,225.6496719,2.024591047,1495.64063277238,-2258.15043582272,5249.43170136749
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,40.25,15.052181962034,1442.000824,11.02828725,1350.54682532619,-2403.38517260289,5104.47882325527
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,41.75,15.3393433544417,461.9149499,4.1315028,1359.18180394788,-2394.74151347597,5113.10512137172
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,28.3636363636364,15.9829454561587,2197.326275,24.940646,1282.12116139981,-2471.8809356881,5036.12325848772
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,23.4545454545455,17.8514068709647,574.7925663,2.379383359,1253.8612313652,-2500.17049702154,5007.89295975195
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,100.818181818182,72.2797595206544,606.0238476,2.682720915,1699.21679542908,-2054.39421372836,5452.82780458652
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,79.9090909090909,24.3903855871716,562.7226914,3.077677491,1578.85042676317,-2174.86455031124,5332.56540383758
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,62.9090909090909,77.927472107665,441.0920959,6.868091078,1480.9873357174,-2272.81748970272,5234.79216113752
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,30.6363636363636,21.7268162751597,354.6954517,1.783713254,1295.20446234176,-2458.78405120855,5049.19297589207
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,16.6,12.685950233756,192.9637106,2.274240107,1214.40199572429,-2539.67177194008,4968.47576338867
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,40.8181818181818,25.2222845191239,401.5251511,5.219646629,1353.81765056168,-2400.11105492915,5107.74635605251
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,24.3636363636364,20.5731510822855,523.0275133,1.869875762,1259.09455174198,-2494.93165936813,5013.12076285209
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,21.9166666666667,13.7870712384224,1149.476822,20.0568356,1245.00819772782,-2509.03289509656,4999.0492905522
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,77,60.4383983904273,253.7523195,4.53576382,1562.10380155748,-2191.62621239042,5315.83381550537
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,53.1176470588235,36.8508520134562,1574.554031,8.965107785,1424.62139683575,-2329.23734281682,5178.48013648832
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,59.2727272727273,39.0181775819705,227.5458294,2.628673775,1460.05405421029,-2293.77060929743,5213.87871771801
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,42.2727272727273,18.4015809597486,915.5577505,17.12303214,1362.19096316453,-2391.72933795817,5116.11126428722
