"depth","SH20_age","surface","kcps","cps","cps_acf_sum","MSE","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Ba","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
1.1,-46.3,7.36,21997,50055,49005,1.43,0.0408121620242832,0.0224466891133558,0.0428527701254974,0.0530558106315682,0.177532904805632,0.0183654729109275,0,0,0.569329660238751,2.40995816753392,0.148964391388634,0.446893174165901,0.0469339863279257,0.128558310376492,3.02214059789817,0,0.718294051627385,1.42026323844506,0,78.6531986531987,12.0803999591878,0.153590702,100,90.7335986123865
1.2,-44.5,7.35,22239,50875,49893,1.3,0.0280600485037981,0.0320686268614836,0,0.100214458942136,0.322690557793679,0.0781672779748662,0.0120257350730563,0.0501072294710681,0.978093119275249,4.08474134648147,0.236506123103441,0.438939330166556,0.0501072294710681,0.162347423486261,2.89820215260658,0.170364580201631,0.779668490569819,1.32683943639388,0,76.6820996933438,11.5687571402802,0.150866463,100,88.250856833624
1.3,-42.7,7.36,20739,48826,47964,1.42,0,0.0354432491034943,0.0375281461095822,0.104244850304395,0.425318989241931,0.0458677341339338,0.0187640730547911,0.0458677341339338,1.93269952464348,4.86197981819698,0,0.3273288299558,0.306479859894921,0.0729713952130765,3.24826953548495,0.427403886248019,1.29055124676841,1.67417229588858,0,73.8762405137186,11.2688683179051,0.152537111,100,85.1451088316237
1.4,-40.9,7.38,19540,45427,44490,1.4,0,0.0516970105641717,0.0539447066756575,0.0854124522364576,0.359631377837716,0.0899078444594291,0,0,2.6612721959991,5.99460552933243,0.256237356709373,0.343897505057316,0.119127893908744,0.0202292650033715,3.31535176444145,0.386603731175545,1.18004045853001,0.748482805124747,0,72.9399865138233,11.3935715891212,0.156204739,100,84.3335581029445
1.5,-39.1,7.38,17350,42629,41679,1.43,0.0527843758247559,0.0431872165838912,0.0263921879123779,0.08157585354735,0.297511936466806,0.110367331269944,0,0.0335900573430265,2.38249478154466,8.5582667530411,0.302310516087238,0.268720458744212,0.249526140262482,0.0983708822188632,3.11907675328103,0,1.01250029991123,1.37239377144365,0,70.2152162959764,11.775714388541,0.167708867,100,81.9909306845174
1.6,-37.3,7.38,15841,39564,38803,1.6,0,0.0231940829317321,0.0515424065149602,0,0.213900987037085,0.11597041465866,0,0,1.46122722469912,11.321289591011,0.010308481302992,0.438110455377162,0.159781460196377,0,2.44311006880911,0.0231940829317321,1.1004303790944,1.46638146535062,0,69.6440996830142,11.5274592170708,0.165519538,100,81.171558900085
1.7,-35.5,7.34,15612,41823,41274,1.38,0,0.0508794882977177,0.0266511605368997,0.237437612056016,0.724427000048457,0.494257886320686,0.00969133110432718,0.0411881571933905,0.346465086979697,19.19368125212,0.225323448175607,0.344042254203615,0.305276929786306,0.242283277608179,2.15389833793672,0,1.64025778940738,1.64268062218346,0,61.9251829238746,10.396375442167,0.167886068,100,72.3215583660416
1.8,-33.8,7.32,16156,44055,43255,1.35,0.0161831002196278,0.0393018148190961,0.0439255577389897,0.106346087157554,0.635764651485377,0.522482949947983,0.013871228759681,0.0161831002196278,0.388394405271067,20.0323662004393,0.24043463183447,0.319038261472662,0.168766616576118,0.0947867298578199,1.72465610912033,0,1.35706854698879,1.782452895619,0,62.1985897584094,10.2993873540631,0.16558876,100,72.4979771124725
1.9,-32,7.29,18582,46177,45247,1.49,0,0.024311004044467,0.024311004044467,0.0640926470263222,0.446438437907486,0.263000861935598,0.0154706389373881,0.0972440161778682,0.322673326408381,13.6782549119279,0.33151369151546,0.539262271531814,0.143655932990032,0.185647667248657,2.68968108382876,0.0353614604283157,1.66198864013084,1.54485380246204,0,66.8442106659005,11.0880279355537,0.165878658,100,77.9322386014542
2,-30.2,7.26,19637,48660,47899,1.35,0.0167018100586651,0.0417545251466628,0.0521931564333285,0.121088122925322,0.557422910707948,0.31942211737197,0.0668072402346604,0.0354913463746634,0.39249253637863,15.6161924048519,0.492703396730621,0.342387106202635,0.208772625733314,0,2.91655358149439,0.28601849725464,1.98751539698115,1.50107517902253,0,64.1934069604793,10.8520010856177,0.169051646,100,75.045408046097
2.1,-28.3,7.25,18748,46867,45921,1.38,0.0174212234054136,0.0261318351081205,0.0631519348446245,0.0609742819189478,0.648940571851658,0.254785392304175,0.0217765292567671,0.102349687506805,0.418109361729927,14.5946299078853,0.315759674223122,0.540057925567823,0.309226715446092,0.0500860172905642,3.2251039829272,0.235186515973084,1.8226954987914,1.52653470089937,0,64.9093007556456,10.8577774874241,0.167276143,100,75.7670782430696
2.2,-26.5,7.27,17882,46628,45705,1.43,0.0371950552455968,0.0503227218028662,0.0568865550815009,0.188163220654195,0.695766327535281,0.409145607701564,0.0743901104911935,0.0700142216387704,0.393829996718083,19.9803085001641,0.23629799803085,0.374138496882179,0.269117164424024,0.0175035554096926,3.4788316376764,0.0590744995077125,1.22087298982606,1.17930204572804,0,60.5776173285198,10.631221966962,0.175497526,100,71.2088392954819
2.3,-24.7,7.26,17134,47175,46237,1.46,0.0540692518978307,0.0237904708350455,0.0151393905313926,0.162207755693492,1.12464043947488,0.750481216341891,0.0692086424292234,0.0670458723533101,0.376321993208902,24.0391893937755,0.211951467439496,0.464995566321344,0.330903821614724,0.116789584099314,2.72509029565067,0.0454181715941778,1.74102991111015,1.5853104656444,0,56.0546748275191,10.0417414624651,0.179141909,100,66.0964162899842
2.4,-23,7.24,17184,55940,55202,1.4,0.0235498713814717,0,0.0362305713561103,0.164849099670302,1.40936922575269,1.23365095467556,0.0326075142204993,0.0470997427629434,0.327886670772798,37.7866743958552,0.259048585196189,0.355059599289881,0.286221513713271,0.0470997427629434,1.56334915401616,0.103257128364914,1.60139125394007,1.17387051193797,0.0217383428136662,44.9711966957719,8.55584942574544,0.190251762,100,53.5270461215173
2.5,-21.2,7.25,17375,53340,52622,1.41,0,0.00950172931473528,0.0114020751776823,0.0950172931473528,1.1307057884535,0.773440766219452,0.0589107217513588,0.142525939721029,0.395271939492988,32.5985329329938,0.0570103758884117,0.359165368096994,0.362966059822888,0.1615293983505,1.83383375774391,0,1.37395005891072,1.3568469461442,0,50.0399072631219,9.23948158564859,0.18464226,100,59.2793888487705
2.6,-19.4,7.24,18780,55015,54274,1.34,0.0350075542617091,0.0497475771087445,0.0184250285587943,0.0976526513616096,0.86781884511921,0.678041050963629,0.0184250285587943,0.0405350628293474,0.246895382687843,30.2465268821167,0.25610789696724,0.38692559973468,0.269005416958396,0.0755426170910565,1.78170026163541,0.189777794155581,1.5311198732358,1.19209934775399,0.0405350628293474,53.1562073921215,8.8219036739507,0.165961872,100,61.9781110660722
2.7,-17.6,7.22,18159,48471,47779,1.2,0,0.0397664245798363,0.027208606291467,0.092090667448042,0.793235521881998,0.491847882961134,0.0439523640092928,0.0418593942945646,0.443709579522384,21.8401389731891,0.324410305782875,0.426965821804558,0.362083760647983,0.0669750308713033,2.21226898846774,0,1.30392013227569,1.31857092027878,0,60.2272965110195,9.94369911467381,0.165102863,100,70.1709956256933
2.8,-15.8,7.22,16693,46852,46040,1.22,0.0130321459600348,0,0.0629887054735013,0.112945264986968,1.3640312771503,0.78627280625543,0,0.0760208514335361,0.271503040834057,21.8722849695917,0.312771503040834,0.434404865334492,0.412684622067767,0.0130321459600348,2.21763683753258,0.0847089487402259,1.53344917463076,1.59643788010426,0,58.7966985230235,10.0390964378801,0.170742519,100,68.8357949609036
