"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_ICP_pred","Ca_ICP_pred","Sr_ICP_pred","Zr_ICP_pred"
"BI10",0.6,-61,7,-8.39496846392998,7.48560726800855,-6.81328046444878,7.35055584285185,-7.82488137612726,4.90495174256426,-7.75588850464031,3.53646344341951,-1.94747911668003,9.54388200499906,-8.47150854105231,3.13148340772836,-7.28588487539457,0.828010693892561,-7.19310314194361,3.28047752852584,-3.87592965946601,1.06344302447402,0,-1.92216672935224,6.83609068627273,0.146376584727273,12.51,5.80014468751197,8.01491867083246,3.73862512158136,3.20987739295511
"BI10",4.5,-20,52,-8.37602586194711,7.19403248256761,-6.95629672474098,7.24247120132883,-8.16738699683578,4.37935983755429,-7.14521640366761,3.33468347892019,-2.1856612769754,9.14377187171782,-11.3255687530317,2.52650241766842,-6.68519231130901,0.422019571710031,-9.98546377438121,3.22105825962403,-3.91870624323779,0.748228535528028,0,-1.92424192685153,6.85367335291667,0.145989151583333,10.49,4.41313498007107,7.17536518792565,3.00502753212994,2.59452679053368
"BI10",12.3,60,111,-8.36187855762114,7.34292552813836,-6.61341589414641,7.84267996218333,-8.12192788799055,5.83054549007266,-8.08913806516756,3.6160372217274,-3.58289750450701,8.27949587269265,-9.18131946350538,2.6352276865988,-7.29483273492087,1.48137044625347,-8.32037882671439,3.83739375220028,-3.82165375518893,1.86113383862431,0,-1.93810894838824,6.94940689116667,0.143955505083333,13.62,5.01985364960375,7.76046649915537,3.56282307571446,2.74976794802639
"BI10",27.2,214,145,-8.18875448178549,8.51167617120909,-5.78752253588808,8.75807660650184,-7.15337437834089,6.97603890594798,-7.26659863045893,4.08682416932195,-3.30578546086136,8.42689211285074,-6.10655938168847,4.42020843695187,-6.30794323494153,2.94516564297707,-5.10273800650576,4.80370016784794,-3.88280325112832,3.57352940771241,0,-1.91079882849754,6.75858272008333,0.148022999166667,19.66,6.47888526560779,8.81748196067323,4.56994470971773,2.77065907332971
"BI10",36.7,340,143,-7.29016059787895,9.70852820561717,-5.17661156882217,9.04100380665293,-6.23824940225683,7.582225674148,-6.77326975460987,4.99824535279201,-1.5731954359508,9.82855417128756,-6.25431400476063,4.50048585044673,-6.70958193535261,3.76510499590153,-4.70351213936272,5.01434956763412,-3.88365414041703,3.71147308000633,0,-1.83114154136677,6.2410442383,0.1602627916,21.79,6.86447391738092,9.04628424793084,4.78063543207022,2.76068470849371
"BI10",41.4,404,138,-8.20778612050612,9.28808227205149,-5.46800429773787,9.04402113279338,-7.11465329760264,7.33838856463051,-7.01784573793281,5.00469055174463,-1.3432977623329,10.4469976275415,-7.7543117932116,4.42273332782719,-8.88467278019429,3.04841410108306,-5.61547187143857,4.97818920065822,-3.89073526102138,3.3230000127477,0,-1.8650876344252,6.45711631990909,0.154934023454545,19.47,6.06369203458592,8.73523929667794,4.54949186894944,2.32184277149071
"BI10",46.4,467,85,-8.28204353233254,7.8159441609251,-5.22150794219391,8.85011583510835,-6.73918011052111,5.70716697941964,-6.98199042879572,4.0200614892263,-1.64635280366373,10.1783639253917,-5.36978498691991,5.03855590993543,-6.5030774145644,1.66473145136415,-4.94140015351147,4.70858561298687,-3.87027298831156,1.84936101446338,0,-1.84911706440687,6.35744417863636,0.157412857545455,15.14,6.46362061668275,8.98202324976587,4.76780608666132,2.45862579503866
"BI10",49.8,509,91,-8.15268850302973,10.0604577084739,-5.3067685077044,8.89923601451618,-7.26880119521023,7.55171928570447,-7.21631101258883,5.46278507773667,-2.28967510715104,9.93036942402266,-7.99853782320247,4.03820854355804,-6.80895375632863,4.06764638555692,-5.28388421387081,5.03673035693971,-3.80418867766252,3.44709555981437,0,-1.88584552466532,6.59292733472727,0.151714599818182,22.37,6.06672902922216,8.89961575556917,4.72057078374462,2.31984255667954
"BI10",58.9,731,242,-9.08767132829043,6.76619014300013,-5.4946021790225,8.66848236944953,-7.85856255069295,5.41898367225024,-7.01278560314645,3.59863321185762,-3.71906496089715,7.76434259814642,-5.73045749926725,4.69189223495974,-7.94751003670944,1.2699297134193,-5.33155812479553,4.58307553783376,-3.9117270610964,1.83343076570928,0,-1.91892335438305,6.81663246718182,0.146753534090909,12.21,5.68681587127447,8.81515941717108,4.70693832805074,1.80328729210138
"BI10",64.6,891,203,-7.73582948996048,8.95758858231473,-5.08879339461342,9.11437754626484,-6.61869815352514,7.2737868892733,-6.72168296808257,4.48256118016038,-2.76433017740484,8.73921076841923,-4.4750406771368,5.56695263135749,-5.81014929580787,3.41320377295125,-4.27097013944478,5.12420449095423,-3.81099174885627,3.41522430313818,0,-1.84787100047253,6.34778948108333,0.157657004,22.98,6.79647385185825,9.2224050374023,4.9787915930111,2.65865375433845
