"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","RMSE_ppm_factor","RMSEP_ppm_factor","Mean_log_ppm","Mean_ppm","RMSE_ppm_abs","RMSEP_ppm_abs"
"RF",0.940151370529293,0.235665476743669,0.542071495425495,NA,NA,1,1.26575081625179,1.71956524686634,4.83404824124254,125.71887221031,29.6275979551192,68.1486170622496
"Bayes",0.675458563365958,0.54878715622519,0.563291283780317,454.927144861597,483.655040705684,2,1.73115212701823,1.75644395283508,4.83404824124254,125.71887221031,68.9929023641342,70.8163449227593
"PLS(LOO)",0.652472643614871,0.567888873609633,0.583845224423336,NA,NA,3,1.76453795387937,1.79291937024499,4.83404824124254,125.71887221031,71.3943487309865,73.4003631598773
"PLS(k)",0.652472643614871,0.567888873609633,0.583845224423336,NA,NA,4,1.76453795387937,1.79291937024499,4.83404824124254,125.71887221031,71.3943487309865,73.4003631598773
"OLS",0.642325781154841,0.576119639333299,0.578466614037536,470.979249882013,481.752210823546,5,1.77912138646673,1.78330184315065,4.83404824124254,125.71887221031,72.429111315193,72.7241703281158
"WLS(wt)",0.642027836746649,0.576359544649593,NA,452.112021258381,462.884982199914,6,1.77954825834805,NA,4.83404824124254,125.71887221031,72.4592719409948,NA
"WLS",0.64171449487873,0.57661174033931,NA,449.383505423298,460.15646636483,7,1.77999710934521,NA,4.83404824124254,125.71887221031,72.4909776986824,NA
"OLS(wt)",0.621575234052913,0.592595892589243,NA,464.263343905446,475.036304846979,8,1.80867745905015,NA,4.83404824124254,125.71887221031,74.5004872927818,NA
