"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","K_sd","K_2se_pc","Ca","Ca_sd","Ca_2se_pc","Ti","Ti_sd","Ti_2se_pc","Mn","Mn_sd","Mn_2se_pc","Fe","Fe_sd","Fe_2se_pc","Co","Co_sd","Co_2se_pc","Ni","Ni_sd","Ni_2se_pc","Cu","Cu_sd","Cu_2se_pc","Zn","Zn_sd","Zn_2se_pc","Rb","Rb_sd","Rb_2se_pc","Sr","Sr_sd","Sr_2se_pc","Zr","Zr_sd","Zr_2se_pc","Mo_inc","Mo_inc_sd","Mo_inc_2se_pc","Mo_coh","Mo_coh_sd","Mo_coh_2se_pc","coh_inc","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","K_ICP_sd_FDV2023","Ca_ICP","Ca_ICP_sd","Ca_ICP_sd_FDV2023","Ti_ICP","Ti_ICP_sd","Ti_ICP_sd_FDV2023","Mn_ICP","Mn_ICP_sd","Mn_ICP_sd_FDV2023","Fe_ICP","Fe_ICP_sd","Fe_ICP_sd_FDV2023","Co_ICP","Co_ICP_sd","Co_ICP_sd_FDV2023","Ni_ICP","Ni_ICP_sd","Ni_ICP_sd_FDV2023","Cu_ICP","Cu_ICP_sd","Cu_ICP_sd_FDV2023","Zn_ICP","Zn_ICP_sd","Zn_ICP_sd_FDV2023","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Rb_ICP_sd_FDV2023","Sr_ICP","Sr_ICP_sd","Sr_ICP_sd_FDV2023","Zr_ICP","Zr_ICP_sd","Zr_ICP_sd_FDV2023","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,8.636363636,9.831304362,13.7541873447292,42,15.8113883,4.54857571345346,15.27272727,17.90581419,14.1655092243967,16.36363636,11.56955252,8.54262724190215,5450.545455,835.9219298,1.85302153797515,68.90909091,58.91087259,10.3293656029972,172.7272727,26.46163604,1.85101735325739,88,47.18262392,6.47819671167293,8,18.15488915,27.4194240936883,26.18181818,39.54950867,18.2513924767469,28.72727273,47.40272336,19.9371744996097,792.3636364,126.0430662,1.92198120924516,38213.72727,1611.558568,0.509543666727667,5590.272727,191.8406062,0.414631465271888,0.146376585,0.003886984,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,320.79710124,520.9093274,1557.061769,202.41802997,23.70865277,134.9563972,18.893895608,2.246361623,34.34524027,4.1214288324,0.178633186,13959.03161,2512.6256898,176.5369365,0.738789575,0.05171527025,0.008034972,2.467420581,1.33240711374,0.015066934,4.369649931,0.61175099034,0.022750235,22.90793616,2.0617142544,0.057813095,1.593037056,0.008373058,2.288761162,0.36620178592,0.010158086,26.58846642,0.5317693284,0.463509298,2.896325963,0.14481629815,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,10.41666667,8.979353422,10.4152815058834,43.08333333,12.12404323,3.40010942033262,12.83333333,12.82634599,12.0758633630159,35.66666667,18.95608961,6.42156590774431,5083.583333,710.0685573,1.68766035744659,81.58333333,41.30476163,6.11720998441817,238.75,34.79322034,1.7607835062198,98.91666667,46.75557008,5.71108465791883,0,0,NA,56.5,72.09148229,15.4166574132071,2.083333333,7.216878365,41.8548063923582,898.5,114.7443799,1.54300756779212,45226.25,654.3573009,0.174815158190472,6602.416667,185.3877795,0.339260180258397,0.145989152,0.003613515,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,239.6630682,522.7119355,1397.543318,181.68063134,16.95048652,79.78694045,11.170171663,0.954822132,28.06949723,3.3683396676,0.234649235,9355.988249,1684.07788482,27.23893955,0.761205508,0.05328438556,0.003005595,2.98969441,1.6144349814,0.02200764,3.255429522,0.45576013308,0.010150183,12.50967591,1.1258708319,0.167196198,1.332775979,0.02334512,1.525038372,0.24400613952,0.011740776,25.05462045,0.501092409,0.186955871,2.113253146,0.1056626573,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,9.833333333,8.558178792,10.5156302788316,56.5,15.82001034,3.38308593384278,12.5,7.786935446,7.52681558762316,12.91666667,12.28789747,11.494281817219,1170,185.3448874,1.91403318571169,33.08333333,34.65796074,12.6575152412575,191.9166667,24.60028948,1.54875328263357,71.25,53.7623136,9.11691268331381,4.333333333,12.70170592,35.4156053992844,28.58333333,44.55937476,18.8356637392194,10.25,24.83445188,29.2742264516159,921.5,127.6639766,1.67389319124138,42093.83333,1322.154016,0.379505684639827,6060.5,252.6443782,0.503681381490916,0.143955505,0.003010999,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,278.1406998,589.8765904,2547.021617,331.11281021,33.02866289,340.544392,47.67621488,4.893302391,37.1899001,4.462788012,0.366072293,3942.206507,709.59717126,48.5012016,1.745989306,0.12221925142,0.00454165,3.556521683,1.92052170882,0.014282314,5.828405269,0.81597673766,0.020076539,13.94648753,1.2551838777,0.043639925,1.743850558,0.029034748,4.398970104,0.70383521664,0.046912281,46.4043754,0.928087508,0.519109914,6.431024383,0.32155121915,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,11.33333333,9.208033383,9.81666424310863,125.0833333,20.78224038,2.0074633816073,31.91666667,13.74083717,5.20176082363397,28.5,8.639233973,3.66256288599154,1496.25,127.3064485,1.02801855521805,50.16666667,34.22341924,8.24257422092144,203.3333333,17.30650605,1.02838452441358,87.41666667,47.77686457,6.6035598327581,90.91666667,60.62471493,8.05676913430923,74.33333333,79.60394386,12.9391483060621,248.0833333,60.54368571,2.94866871244587,840.25,91.05954595,1.30939800099993,40802.66667,1078.149453,0.319260458997419,6037.25,98.40650847,0.196942468488832,0.148022999,0.003202734,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,895.04835354,1373.757336,6361.863436,827.04224668,96.22229039,1070.668936,149.89365104,10.73236296,59.55046887,7.1460562644,0.237697509,4568.280308,822.29045544,27.82191253,1.171208352,0.08198458464,0.012269219,7.052448962,3.80832243948,0.06465722,18.80830619,2.6331628666,0.176446353,83.1136075,7.480224675,1.204215632,4.803888726,0.047934098,19.01381163,3.0422098608,0.109765839,121.9608593,2.439217186,0.839622095,35.64216716,1.782108358,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,26.3,22.63748121,10.3998498374964,217.7,27.90877998,1.54894906603665,75.3,27.37821518,4.39303709593244,44.1,17.53377693,4.80387393330429,7994.7,1003.562881,1.51669107898529,144.2,53.02368444,4.4428265242679,213,38.55443482,2.18700336813336,137.5,51.66827954,4.54021079192343,74.1,26.91323508,4.38836165042288,47,37.44922488,9.62719324599921,349.4,106.5574441,3.68481432109933,793.2,107.0252307,1.63026491199267,38550.7,967.395593,0.303198152418269,6177,126.3232186,0.247092916486442,0.160262792,0.00242683,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,2962.3251942,3980.600316,8442.247188,1097.49213444,102.4072847,1962.99309,274.8190326,30.40726253,148.1529747,17.778356964,0.305567488,18556.10587,3340.0990566,33.23324312,14.98993637,1.0492955459,0.050641414,9.844407416,5.31598000464,0.040880493,25.3957986,3.555411804,0.092788179,90.06087679,8.1054789111,0.829001857,7.177832466,0.057235004,43.16823811,6.9069180976,0.83280191,150.558177,3.01116354,2.59385652,40.9140318,2.04570159,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,11.09090909,8.141922936,8.86981488697659,171.7272727,21.74898117,1.53022170860098,33.09090909,12.9340987,4.72261113209756,36.45454545,17.27057403,5.7241341002744,10621.27273,985.4789791,1.12105138229847,258.1818182,60.44802426,2.82885814409564,227.4545455,38.94448263,2.06874057569417,143,51.50145629,4.35149196971572,17.45454545,19.22167337,13.3056888669574,5.636363636,9.902249515,21.227046698942,148.1818182,98.66794635,8.04518219814252,831.4545455,100.5160322,1.46066808136555,40697.09091,1249.597652,0.370989440506284,6303.272727,167.3362429,0.320758836652365,0.154934023,0.003348951,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,1945.5185826,2190.076237,8467.75867,1100.8086271,27.42631931,1538.231355,215.3523897,7.943023099,149.1109339,17.893312068,0.185893427,34440.81517,6199.3467306,173.6494448,4.788646274,0.33520523918,0.037728077,10.02079263,5.4112280202,0.096502178,25.1006547,3.514091658,0.200410389,83.32372544,7.4991352896,0.676115824,7.880957488,0.074791029,21.08188416,3.3731014656,0.09353744,145.2111951,2.904223902,2.397227724,27.74345656,1.387172828,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,14.7,7.572611468,6.22419305037315,248,30.23978248,1.47326779787636,39.4,14.82640288,4.54667895655947,32,16.00694294,6.04384242295593,6755.8,1156.003537,2.06745989126241,189.9,73.9541149,4.70535173288767,219.5,38.77929001,2.13461739031428,142.2,30.11016809,2.5583991247615,265.8,53.05091894,2.41152988736812,47.9,51.60415573,13.0167893879516,369.7,85.43750152,2.79224680915134,866.8,126.1787092,1.75882201051231,42680.9,801.7086545,0.226953935178246,6658.3,145.3142572,0.263693595213144,0.156005654,0.002073748,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,12000.375927,13007.37375,10818.31417,1406.3808421,94.24288942,3006.601666,420.92423324,14.09773486,498.7089785,59.84507742,6.046753704,25853.87296,4653.6971328,38.38777974,6.375776882,0.44630438174,0.021747503,9.325702706,5.03587946124,0.028353619,12.41602198,1.7382430772,0.076135345,63.36397587,5.7027578283,0.318454995,4.414249569,0.038359467,138.1998527,22.111976432,2.068052956,165.8736664,3.317473328,2.61051165,60.55383697,3.0276918485,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,10.18181818,8.412112479,9.98238803777654,201.4545455,15.58437446,0.934688755584971,13.90909091,14.03890698,12.1952094895399,34.81818182,16.98716093,5.89480477402378,1059.545455,180.1123892,2.0538972270558,61.54545455,35.1692014,6.90432517750203,235.4545455,31.43044268,1.61286542893569,125.0909091,36.71908099,3.54666989510897,3.272727273,10.8544084,40.0729262017468,31.63636364,61.23605593,23.3870458164423,301.6363636,99.87519485,4.00063248770324,927.1818182,95.6230288,1.24609829906666,45251.90909,298.8807302,0.0798023579625625,6734.363636,161.2279583,0.289266742742748,0.148821988,0.003551217,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,446.36889672,632.4407929,6975.196896,906.77559648,67.76762951,301.0170716,42.142390024,3.519876752,55.70453095,6.684543714,0.688199618,26327.35852,4738.9245336,199.5705658,17.04437568,1.1931062976,0.072771457,9.672030755,5.2228966077,0.061309265,30.70187991,4.2982631874,0.12301453,154.2471074,13.882239666,0.912951267,10.64861794,0.177330122,5.28425398,0.8454806368,0.054223017,110.8952002,2.217904004,2.069414432,6.355756988,0.3177878494,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,6.090909091,7.751832628,15.3771901186056,175,17.37239189,1.1994338005416,8.454545455,9.277538859,13.2585867005694,33,15.54348738,5.6910085658526,848.8181818,82.92022453,1.18032202176072,34.90909091,34.7000131,12.0100776079228,242.6363636,31.40787394,1.564002218807,129.4545455,54.47635016,5.08446676299164,13,22.21260903,20.6448121008129,28.27272727,36.03634529,15.4002492541031,142,97.45460482,8.29218026317233,922.1818182,63.17407408,0.827707793066208,45281,466.7517541,0.124544531592687,6665,176.81742,0.320538064238983,0.147191486,0.003572464,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,4211.8585092,3611.164788,7326.374157,952.42864041,349.9533771,1904.013462,266.56188468,92.77560752,235.7531016,28.290372192,13.60034647,20544.92897,3698.0872146,1107.050592,5.701846016,0.39912922112,0.226259322,6.289145655,3.3961386537,1.766837081,12.23274868,1.7125848152,0.369735042,56.72463202,5.1052168818,1.511547748,5.236852561,0.016924834,58.41930414,9.3470886624,1.652885172,153.965778,3.07931556,1.949345735,31.40903404,1.570451702,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,25.81818182,20.3951866,9.54457824222695,270.9090909,43.27922029,1.93023667625416,65.45454545,47.76685804,8.81742102784099,53,34.30160346,7.81975716484409,2591.363636,263.6502504,1.22929054777145,73.27272727,18.13334447,2.99013137041476,197,28.72281323,1.76163310201414,131.8181818,61.3413697,5.62254404739549,495.4545455,70.33116469,1.71513656801731,137.6363636,115.2347801,10.115913376028,578.8181818,175.5829252,3.6651759623374,860.4545455,100.4752344,1.41086613467296,39740.27273,1545.351746,0.469841331018447,6298.272727,213.911239,0.410361732789193,0.158576434,0.004789498,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,156.239754444,403.6307052,5816.665099,756.16646287,70.73844961,225.6496719,31.590954066,2.024591047,36.54824658,4.3857895896,0.120334052,2355.109726,423.91975068,9.689444316,1.54911114,0.1084377798,0.010688746,7.635178907,4.12299660978,0.081872982,44.61646774,6.2463054836,0.152122701,109.0593506,9.815341554,0.741410788,6.931517761,0.104210602,3.560602291,0.56969636656,0.038361736,97.81476508,1.9562953016,1.178390202,6.255310392,0.3127655196,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
