"Site","Site_Section","Sample_ID","Core_section","Sample","Radius_1_cm","Radius_2_cm","Thickness_cm","Depth_T_field_cm","Depth_B_field_cm","Depth_field_cm","Depth_T_cm","Depth_B_cm","depth","SH20_min_age","SH20_max_age","SH20_median_age","SH20_mean_ge","accum_rate","Wet_bag_g","Dry_bag_g","Wet_mass_g","Dry_mass_g","Ash_Mass","Water_Content_pc","Dry_mass","LOI550","C_content","Volume_cm3","Wet_density_g_cm3","Dry_density_g_cm3","DMAR_g_cm2_yr"
"HER42PB","HER42PB1J","HER42PB1J_354","J",354,2,2.2,1.2,396.81,398.01,397.41,396.81,398.01,397.41,4758.87,5182.45,4960.94,4960.39,0.0564,6.799,2.8036,3.9954,1.656,0.1361,-0.835754683355911,0.835754683355903,32.42303873,18.80686701,4.1,0.0646311810673969,0.65504976649524,-0.0723445079530379
"HER42PB","HER42PB1J","HER42PB1J_355","J",355,2,2,1.3,398.23,399.48,398.85,398.23,399.48,398.85,4788.67,5199.76,4986.32,4985.96,0.0585,6.8942,2.7895,4.1047,1.6419,0.1433,-0.752692759467778,0.752692759467771,31.63167939,18.34784187,3.8,0.680647125616033,0.79110027979524,-0.0442290736553605
"HER42PB","HER42PB1J","HER42PB1J_356","J",356,1.9,2,1,399.69,400.64,400.17,399.69,400.64,400.17,4813.91,5220.07,5009.03,5008.5,0.0804,5.7462,2.2765,3.4697,1.1289,0.1064,-0.266187205265861,0.266187205265853,43.9705108,25.50493666,2.8,1.35266451966909,0.587024509845241,0.00290361303831273
"HER42PB","HER42PB1J","HER42PB1J_357","J",357,2,2,1.2,400.86,402.06,401.46,400.86,402.06,401.46,4843.5,5233.01,5026.95,5024.58,0.0801,6.4498,2.3453,4.1045,1.1977,0.0511,-0.0407334118552158,0.0407334118552086,50.09765625,29.05896534,3.8,0.17663408007624,0.0428224566452449,-0.139862594697095
"HER42PB","HER42PB1J","HER42PB1J_358","J",358,2.1,2.1,1.3,402.28,403.58,402.93,402.28,403.58,402.93,4870.07,5250.81,5045.78,5042.91,0.08,6.9489,2.3993,4.5496,1.2517,0.0847,0.0779264794135446,-0.0779264794135518,49.40262843,28.65581695,4.5,-0.495383313976817,-0.229278569954753,-0.204849608280534
"HER42PB","HER42PB1J","HER42PB1J_359","J",359,2.1,2,1.3,403.8,405.1,404.45,403.8,405.1,404.45,4884.23,5269.51,5063,5061.87,0.0806,7.4922,2.4613,5.0309,1.3137,0.0388,0.184720381555428,-0.184720381555436,52.62515263,30.52503053,4.2,0.792650024624876,-0.0252028000047547,-0.182001542452252
"HER42PB","HER42PB1J","HER42PB1J_360","J",360,2.2,2.2,1.2,405.31,406.51,405.91,405.31,406.51,405.91,4892.4,5289.48,5079.91,5080.07,0.0798,7.2461,2.2138,5.0323,1.0662,0.0495,0.564432033615462,-0.56443203361547,60.04842615,34.83087364,4.5,-0.0473717179414449,-0.501379596554751,-0.306776608532455
"HER42PB","HER42PB1J","HER42PB1J_361","J",361,2,2,1.3,406.73,407.98,407.36,406.73,407.98,407.36,4901.2,5315.65,5098.59,5098.15,0.0803,6.8199,2.438,4.3819,1.2904,0.0738,-0.0525994009820929,0.0525994009820844,48.46368715,28.11118744,3.9,0.400639878093926,0.110847713295244,-0.124402526202509
"HER42PB","HER42PB1J","HER42PB1J_362","J",362,2,2,1.2,408.2,409.4,408.8,408.2,409.4,408.8,4906.11,5344.35,5115.16,5116.11,0.08,6.024,2.082,3.942,0.9344,0.0542,0.362710218458569,-0.362710218458577,48.81964117,28.31765729,3.8,-0.495383313976817,-0.433354339904752,-0.273256990999944
"HER42PB","HER42PB1J","HER42PB1J_363","J",363,1.9,1.2,0.7,409.62,410.32,409.97,409.62,410.32,409.97,4910.3,5372.78,5128.56,5130.7,0.0799,4.1041,1.8107,2.2934,0.6631,0.0155,-0.0170014336014651,0.0170014336014562,53.03030303,30.76003656,1.3,4.82475438894322,1.26727707634524,0.0761679199308005
