Base path:	Sample name:	Section name	User ID
	MI1D_E_F	MI1F__xrf	
Year	Month	Day	Time
2023	08	23	22
Voltage	45	kV	
Current	40	mA	
Exposure time	0	ms	
line camera signal level	147349	at 25 ms	
Step size	1000	microns	
XRF	ON		
XRF exp. time	10	seconds	
Start coordinate	1120.0	Stop coordinate	1620.0
XRF voltage and current	30	  	30
Tube	Mo		
Optical Start	0.5	Optical End	1733.0
Step size	0.047	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	-94.3	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum		kPa	
