"Element","Model","Rank","R2","RMSE_log","RMSE_factor","RMSE_abs_ppm","RMSEP_log","RMSEP_factor","RMSEP_abs_ppm","Mean_log_ppm","Mean_ppm","AIC","BIC"
"Ca","RF",1,0.735414904878447,0.366029340712551,1.44199755126948,3781.66937178892,0.370744505525973,1.44881286241498,3830.38457675895,9.24296260678358,10331.6017356071,NA,NA
"Ca","Bayes",2,0.71849446314204,0.377551919451181,1.4587091772082,3900.71606628362,0.391342413156401,1.47896484374147,4043.19395498335,9.24296260678358,10331.6017356071,254.461762755566,283.189658599653
"Ca","PLS_LOO",3,0.714591218855023,0.380160401230266,1.46251916049361,3927.66586115972,0.391014570914877,1.47848005606324,4039.80681951181,9.24296260678358,10331.6017356071,NA,NA
"Ca","PLS_kfold",4,0.714591218855023,0.380160401230266,1.46251916049361,3927.66586115972,0.391014570914877,1.47848005606324,4039.80681951181,9.24296260678358,10331.6017356071,NA,NA
"Ca","OLS",5,0.605349695781694,0.447032844459699,1.56366565619665,4618.56531169322,0.450923989941031,1.56976195985928,4658.76707710165,9.24296260678358,10331.6017356071,335.005013489929,345.777974431461
"Ca","WLS_weighted",6,0.604732452698864,0.447382293228408,1.56421217271908,4622.17567719851,NA,NA,NA,9.24296260678358,10331.6017356071,321.186258039926,331.959218981458
"Ca","WLS",7,0.604685117514639,0.447409080513934,1.56425407427838,4622.45243276414,NA,NA,NA,9.24296260678358,10331.6017356071,321.219522661163,331.992483602695
"Ca","OLS_weighted",8,0.60078407376705,0.449611220751241,1.56770257676616,4645.20406866196,NA,NA,NA,9.24296260678358,10331.6017356071,359.871349044666,370.644309986199
"Fe","RF",1,0.800629849520471,0.509419394630298,1.66432459856866,6055.52714360343,0.516044853724226,1.67538812310914,6134.28474059527,9.38321035510448,11887.1154248026,NA,NA
"Fe","Bayes",2,0.782666025570093,0.531874559979908,1.70212004600185,6322.45428599728,0.553367126639677,1.73909893672853,6577.93890665722,9.38321035510448,11887.1154248026,438.148736470006,466.876632314093
"Fe","PLS_LOO",3,0.769588412151896,0.547643031052147,1.72917260491781,6509.89592170565,0.558876405734737,1.74870655938121,6643.42834316764,9.38321035510448,11887.1154248026,NA,NA
"Fe","PLS_kfold",4,0.769588412151896,0.547643031052147,1.72917260491781,6509.89592170565,0.558876405734737,1.74870655938121,6643.42834316764,9.38321035510448,11887.1154248026,NA,NA
"Fe","OLS",5,0.711860213839782,0.612416695598065,1.84488454001768,7279.86794865042,0.619207902382141,1.85745617238173,7360.59580756643,9.38321035510448,11887.1154248026,503.727552589756,514.500513531289
"Fe","WLS",6,0.711426381771426,0.612877558837851,1.84573497543598,7285.34628317681,NA,NA,NA,9.38321035510448,11887.1154248026,491.391320242748,502.164281184281
"Fe","WLS_weighted",7,0.711404682307114,0.612900601250386,1.84577750611271,7285.62019099428,NA,NA,NA,9.38321035510448,11887.1154248026,491.44106706079,502.214028002323
"Fe","OLS_weighted",8,0.705011398870254,0.619652240442579,1.85828169424652,7365.87770537849,NA,NA,NA,9.38321035510448,11887.1154248026,522.979148483121,533.752109424654
"Mn","RF",1,0.700578845965582,0.527120736590801,1.69404767044216,66.2690245228635,0.542071495425495,1.71956524686634,68.1486170622496,4.83404824124254,125.71887221031,NA,NA
"Mn","Bayes",2,0.675458563365958,0.54878715622519,1.73115212701823,68.9929023641342,0.563291283780317,1.75644395283508,70.8163449227593,4.83404824124254,125.71887221031,454.927144861597,483.655040705684
"Mn","PLS_LOO",3,0.652472643614871,0.567888873609633,1.76453795387937,71.3943487309865,0.583845224423336,1.79291937024499,73.4003631598773,4.83404824124254,125.71887221031,NA,NA
"Mn","PLS_kfold",4,0.652472643614871,0.567888873609633,1.76453795387937,71.3943487309865,0.583845224423336,1.79291937024499,73.4003631598773,4.83404824124254,125.71887221031,NA,NA
"Mn","OLS",5,0.642325781154841,0.576119639333299,1.77912138646673,72.429111315193,0.578466614037536,1.78330184315065,72.7241703281158,4.83404824124254,125.71887221031,470.979249882013,481.752210823546
"Mn","WLS_weighted",6,0.642027836746649,0.576359544649593,1.77954825834805,72.4592719409948,NA,NA,NA,4.83404824124254,125.71887221031,452.112021258381,462.884982199914
"Mn","WLS",7,0.64171449487873,0.57661174033931,1.77999710934521,72.4909776986824,NA,NA,NA,4.83404824124254,125.71887221031,449.383505423298,460.15646636483
"Mn","OLS_weighted",8,0.621575234052913,0.592595892589243,1.80867745905015,74.5004872927818,NA,NA,NA,4.83404824124254,125.71887221031,464.263343905446,475.036304846979
"Sr","RF",1,0.721290867514278,0.326677625986852,1.3863544804766,44.1793180328809,0.330527170198644,1.39170159872321,44.6999237447064,4.90703820937687,135.238273204113,NA,NA
"Sr","Bayes",2,0.719033486991341,0.327997906598047,1.38818606625495,44.3578705028837,0.346202462486856,1.41368880579659,46.819823205734,4.90703820937687,135.238273204113,179.046097421121,207.773993265208
"Sr","PLS_LOO",3,0.681443929954195,0.349250256346248,1.41800401044476,47.2320015843602,0.359641666342418,1.43281589639962,48.6373179283982,4.90703820937687,135.238273204113,NA,NA
"Sr","PLS_kfold",4,0.681443929954195,0.349250256346248,1.41800401044476,47.2320015843602,0.359641666342418,1.43281589639962,48.6373179283982,4.90703820937687,135.238273204113,NA,NA
"Sr","OLS",5,0.605940022011523,0.388440903375382,1.4746798322891,52.5320770143322,0.391554198151312,1.47927809947363,52.9531136238044,4.90703820937687,135.238273204113,259.701823511304,270.474784452837
"Sr","WLS",6,0.605899324973479,0.388460961218056,1.47470941148181,52.5347896023397,NA,NA,NA,4.90703820937687,135.238273204113,259.48152064019,270.254481581722
"Sr","WLS_weighted",7,0.605197017350042,0.38880693583257,1.47521971177235,52.581578611779,NA,NA,NA,4.90703820937687,135.238273204113,262.010925381086,272.783886322619
"Sr","OLS_weighted",8,0.588442221601662,0.396971381054182,1.48731336410163,53.6857240852193,NA,NA,NA,4.90703820937687,135.238273204113,330.646390635536,341.419351577069
"Ti","Bayes",1,0.769067236846491,0.591446999353038,1.80660067498099,846.481479033157,0.623668660505259,1.86576034276883,892.597258500923,7.26627152524627,1431.20428366209,495.052856787575,523.780752631662
"Ti","RF",2,0.758806066760918,0.604444244602208,1.83023476333758,865.083192109575,0.607991117552323,1.83673789959344,870.159491869385,7.26627152524627,1431.20428366209,NA,NA
"Ti","PLS_LOO",3,0.754035431978301,0.610392701137588,1.84115428021448,873.596648584189,0.641872967170071,1.90003625424147,918.6513401807,7.26627152524627,1431.20428366209,NA,NA
"Ti","PLS_kfold",4,0.754035431978301,0.610392701137588,1.84115428021448,873.596648584189,0.641872967170071,1.90003625424147,918.6513401807,7.26627152524627,1431.20428366209,NA,NA
"Ti","OLS",5,0.729930592021033,0.639603384224678,1.89572885421299,915.403103347127,0.644447515724916,1.90493429224684,922.336045100891,7.26627152524627,1431.20428366209,527.008898110934,537.781859052467
"Ti","WLS_weighted",6,0.72919658362992,0.640471967780676,1.89737616843384,916.64622385319,NA,NA,NA,7.26627152524627,1431.20428366209,487.996188481353,498.769149422886
"Ti","WLS",7,0.728935134347202,0.640781067535794,1.8979627375924,917.088608746794,NA,NA,NA,7.26627152524627,1431.20428366209,487.487982869888,498.26094381142
"Ti","OLS_weighted",8,0.718555763474536,0.652933928562262,1.9211691414603,934.481835506625,NA,NA,NA,7.26627152524627,1431.20428366209,558.906329039579,569.679289981112
"Zr","RF",1,0.764220861074043,0.638127551598451,1.89293313923059,17.2529035621255,0.658892726350531,1.93265117547615,17.8143266765968,3.29719754323881,27.0367632911454,NA,NA
"Zr","Bayes",2,0.723503699572672,0.691034085621477,1.99577827214983,18.683324999061,0.73294668717106,2.08120423886146,19.8165060860732,3.29719754323881,27.0367632911454,578.463608938088,607.191504782175
"Zr","PLS_LOO",3,0.697291605179832,0.723047851394819,2.06070436969634,19.548873606333,0.762985283258762,2.14466911825806,20.6286524980947,3.29719754323881,27.0367632911454,NA,NA
"Zr","PLS_kfold",4,0.697291605179832,0.723047851394819,2.06070436969634,19.548873606333,0.762985283258762,2.14466911825806,20.6286524980947,3.29719754323881,27.0367632911454,NA,NA
"Zr","OLS",5,0.608456680906178,0.822327315016661,2.27579015963478,22.2330689639487,0.829368800202076,2.29187165468686,22.4234479321248,3.29719754323881,27.0367632911454,661.700465220814,672.473426162346
"Zr","WLS",6,0.608323185716187,0.822467487738816,2.27610918569537,22.2368587806574,NA,NA,NA,3.29719754323881,27.0367632911454,661.726819498081,672.499780439613
"Zr","WLS_weighted",7,0.608229412035276,0.822565937768544,2.27633327974322,22.2395205508072,NA,NA,NA,3.29719754323881,27.0367632911454,661.816062941063,672.589023882596
"Zr","OLS_weighted",8,0.401191970178938,1.01694769214115,2.76474302500852,27.4949740318969,NA,NA,NA,3.29719754323881,27.0367632911454,788.726977570257,799.499938511789
