depth	min	max	median	wmean
0	-77.6	-59.6	-65	-65.8
1	-76.3	-59.6	-64.6	-65.4
2	-75	-59.5	-64.2	-64.9
3	-73.8	-59.4	-63.8	-64.5
4	-72.5	-59.4	-63.4	-64
5	-71.3	-59.3	-63.1	-63.6
6	-70.1	-59.2	-62.7	-63.1
7	-69	-59.2	-62.3	-62.7
8	-67.8	-59.1	-61.9	-62.2
9	-66.5	-58.9	-61.5	-61.7
10	-65.3	-58.8	-61.1	-61.3
11	-64.1	-58.7	-60.7	-60.8
12	-63	-58.5	-60.3	-60.4
13	-61.9	-58.3	-59.9	-59.9
14	-61.2	-58	-59.4	-59.5
15	-60.7	-57.4	-59	-59
16	-58.9	-55.9	-57.4	-57.4
17	-57.1	-54.4	-55.7	-55.7
18	-55.3	-52.9	-54.1	-54.1
19	-53.5	-51.3	-52.4	-52.4
20	-51.8	-49.7	-50.8	-50.8
21	-50.1	-48.1	-49.1	-49.1
22	-48.5	-46.4	-47.5	-47.5
23	-46.9	-44.7	-45.8	-45.8
24	-45.4	-43	-44.2	-44.2
25	-43.9	-41.2	-42.5	-42.5
26	-42.4	-39.4	-40.9	-40.9
27	-40.9	-37.6	-39.2	-39.2
28	-39.5	-35.8	-37.5	-37.6
29	-38.1	-34	-35.9	-35.9
30	-36.6	-32.1	-34.2	-34.3
31	-27.8	-23.7	-25.9	-25.8
32	-19.9	-13.6	-17.7	-17.4
33	-12.6	-3.2	-9.5	-9
34	-5.4	7.3	-1.3	-0.6
35	1.6	17.8	7	7.8
36	8.7	28.4	15.2	16.3
37	15.7	39.1	23.4	24.7
38	22.7	49.7	31.6	33.1
39	29.8	60.2	39.8	41.5
40	36.8	70.9	48	49.9
41	43.9	81.5	56.2	58.4
42	50.8	92.2	64.4	66.8
43	57.9	102.8	72.7	75.2
44	64.7	113.5	80.9	83.6
45	71.8	124	89.1	92.1
46	115	196	156	155.6
47	145.1	272.7	223	219.2
48	173.2	354.1	289.4	282.8
49	201.1	437.4	355.7	346.3
50	230.3	521.2	421.9	410.1
51	258.1	605.4	488.1	473.4
52	286.8	690	554.3	537
53	315.5	774.8	620.4	600.6
54	343.8	859.7	686.5	664.2
55	372.2	944.9	752.8	727.7
56	401.5	1029.6	818.9	791.2
57	430.4	1114.8	885.6	855
58	459.3	1199.6	951	918.5
59	487.6	1284.9	1016.8	982
60	516.3	1370.5	1083.1	1045.5
61	612.7	1376.2	1116.9	1084.1
62	710.1	1383.3	1150.7	1123.3
63	807.1	1391.8	1184.2	1162.5
64	899.6	1402.1	1219	1201.6
65	996	1416.9	1254.1	1240.9
66	1083.4	1436.3	1288.2	1280.7
67	1157.3	1462.2	1320.7	1320.5
68	1197.3	1497.5	1356.6	1360.2
69	1233.3	1541.8	1397.2	1399.9
70	1263.4	1596.8	1433.7	1439.5
71	1293.3	1680	1467.5	1478.9
72	1313.9	1775.6	1500	1517.9
73	1325.2	1870.2	1533.1	1556.7
74	1334.5	1969.3	1564.7	1595.4
75	1344.9	2069.5	1597.5	1634.5
76	1373.7	2099.6	1631.8	1665.3
77	1396	2127.8	1667.3	1696.2
78	1413.7	2159.8	1704.7	1727.3
79	1428.9	2186.2	1738.1	1758.5
80	1443.3	2219.8	1770.9	1789.5
81	1454.8	2252.4	1801.4	1819.9
82	1466.9	2289.9	1833.5	1850.8
83	1481.6	2333.5	1864.7	1881.7
84	1493.1	2385.4	1894.9	1912.3
85	1505.2	2442.2	1925.4	1943
86	1512.9	2501.2	1954.6	1973.8
87	1521.2	2562.8	1983.7	2004.2
88	1529.8	2622.5	2012	2034.6
89	1538.3	2683.3	2041.1	2065.1
90	1546.2	2748.7	2066.7	2095
91	1604.6	2755	2102.7	2128.8
92	1652.4	2762	2139.1	2162
93	1696.4	2774.2	2174.2	2195.5
94	1736.6	2778.1	2208.3	2229.4
95	1775.1	2788.4	2245.3	2263.3
96	1808.8	2801.5	2281.6	2297.2
97	1842.5	2814.4	2321.5	2331.2
98	1869	2829.1	2361	2365
99	1891.2	2845	2406.8	2399
100	1911.8	2862.4	2449.9	2433.2
101	1932.6	2881.2	2491.3	2467.2
102	1949.6	2900.9	2532.6	2500.9
103	1967	2926.2	2571	2535
104	1983.6	2956.9	2607.5	2568.7
105	1992.8	2995.7	2642.1	2601.9
106	2063.9	3000.8	2665.4	2628.7
107	2132	3006	2687.7	2655.3
108	2200.2	3013.6	2709.1	2681.9
109	2271	3019.1	2732.5	2708.9
110	2337.9	3028.2	2755.4	2735.6
111	2401.1	3034.9	2778.6	2762.5
112	2466.1	3042.6	2800.9	2789.2
113	2527.9	3053.9	2824.1	2815.9
114	2591.7	3064.6	2846.3	2842.6
