"Location","Site","Section","site_depth","uid","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Co","Co_ICP","Ni","Ni_ICP","Cu","Cu_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","coh_inc","dry_mass_pc"
"Bird Island","BI10","BI10.1",1.0006,"BI10_1.0006",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,8.63636363636364,1782.206118,42,1557.061769,15.2727272727273,134.9563972,16.3636363636364,34.34524027,5450.54545454545,13959.03161,68.9090909090909,0.738789575,172.727272727273,2.467420581,88,4.369649931,8,22.90793616,26.1818181818182,2.288761162,28.7272727272727,26.58846642,792.363636363636,2.896325963,38213.7272727273,5590.27272727273,0.146376584727273,12.51434728
"Bird Island","BI10","BI10.1",1.0045,"BI10_1.0045",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,1.32166666666667,10.4166666666667,1331.46149,43.0833333333333,1397.543318,12.8333333333333,79.78694045,35.6666666666667,28.06949723,5083.58333333333,9355.988249,81.5833333333333,0.761205508,238.75,2.98969441,98.9166666666667,3.255429522,0,12.50967591,56.5,1.525038372,2.08333333333333,25.05462045,898.5,2.113253146,45226.25,6602.41666666667,0.145989151583333,10.48614151
"Bird Island","BI10","BI10.1",1.0123,"BI10_1.0123",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,9.83333333333333,1545.22611,56.5,2547.021617,12.5,340.544392,12.9166666666667,37.1899001,1170,3942.206507,33.0833333333333,1.745989306,191.916666666667,3.556521683,71.25,5.828405269,4.33333333333333,13.94648753,28.5833333333333,4.398970104,10.25,46.4043754,921.5,6.431024383,42093.8333333333,6060.5,0.143955505083333,13.6157151
"Bird Island","BI10","BI10.1",1.0272,"BI10_1.0272",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,11.3333333333333,4972.490853,125.083333333333,6361.863436,31.9166666666667,1070.668936,28.5,59.55046887,1496.25,4568.280308,50.1666666666667,1.171208352,203.333333333333,7.052448962,87.4166666666667,18.80830619,90.9166666666667,83.1136075,74.3333333333333,19.01381163,248.083333333333,121.9608593,840.25,35.64216716,40802.6666666667,6037.25,0.148022999166667,19.65584023
"Bird Island","BI10","BI10.1",1.0367,"BI10_1.0367",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,26.3,16457.36219,217.7,8442.247188,75.3,1962.99309,44.1,148.1529747,7994.7,18556.10587,144.2,14.98993637,213,9.844407416,137.5,25.3957986,74.1,90.06087679,47,43.16823811,349.4,150.558177,793.2,40.9140318,38550.7,6177,0.1602627916,21.79052633
"Bird Island","BI10","BI10.1",1.0414,"BI10_1.0414",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,11.0909090909091,10808.43657,171.727272727273,8467.75867,33.0909090909091,1538.231355,36.4545454545455,149.1109339,10621.2727272727,34440.81517,258.181818181818,4.788646274,227.454545454545,10.02079263,143,25.1006547,17.4545454545455,83.32372544,5.63636363636364,21.08188416,148.181818181818,145.2111951,831.454545454545,27.74345656,40697.0909090909,6303.27272727273,0.154934023454545,19.47346052
"Bird Island","BI10","BI10.2",1.0445,"BI10_1.0445",45,44,45,44.5,670.06,23876.4,60911.7,1.358,14.7,66668.75515,248,10818.31417,39.4,3006.601666,32,498.7089785,6755.8,25853.87296,189.9,6.375776882,219.5,9.325702706,142.2,12.41602198,265.8,63.36397587,47.9,138.1998527,369.7,165.8736664,866.8,60.55383697,42680.9,6658.3,0.1560056543,26.28431951
"Bird Island","BI10","BI10.2",1.0524,"BI10_1.0524",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,10.1818181818182,2479.827204,201.454545454545,6975.196896,13.9090909090909,301.0170716,34.8181818181818,55.70453095,1059.54545454545,26327.35852,61.5454545454545,17.04437568,235.454545454545,9.672030755,125.090909090909,30.70187991,3.27272727272727,154.2471074,31.6363636363636,5.28425398,301.636363636364,110.8952002,927.181818181818,6.355756988,45251.9090909091,6734.36363636364,0.148821987636364,15.13709242
"Bird Island","BI10","BI10.2",1.0558,"BI10_1.0558",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,6.09090909090909,23399.21394,175,7326.374157,8.45454545454546,1904.013462,33,235.7531016,848.818181818182,20544.92897,34.9090909090909,5.701846016,242.636363636364,6.289145655,129.454545454545,12.23274868,13,56.72463202,28.2727272727273,58.41930414,142,153.965778,922.181818181818,31.40903404,45281,6665,0.147191485818182,22.36604891
"Bird Island","BI10","BI10.2",1.0649,"BI10_1.0649",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,25.8181818181818,867.9986358,270.909090909091,5816.665099,65.4545454545455,225.6496719,53,36.54824658,2591.36363636364,2355.109726,73.2727272727273,1.54911114,197,7.635178907,131.818181818182,44.61646774,495.454545454545,109.0593506,137.636363636364,3.560602291,578.818181818182,97.81476508,860.454545454545,6.255310392,39740.2727272727,6298.27272727273,0.158576433909091,12.20914471
