"","Ca_ICP","Ti_ICP","Fe_ICP","Mn_ICP","Sr_ICP","Zr_ICP"
"Ca_ICP",1,0.789824305325387,0.343615584815774,0.771175844285824,0.885606466073268,0.38938339382208
"Ti_ICP",0.789824305325387,1,0.376884678856772,0.796739417233407,0.626580024615335,0.739905803235737
"Fe_ICP",0.343615584815774,0.376884678856772,1,0.548591716715966,0.352529995846424,0.0492649946203639
"Mn_ICP",0.771175844285824,0.796739417233407,0.548591716715966,1,0.635570492368554,0.372251488842322
"Sr_ICP",0.885606466073268,0.626580024615335,0.352529995846424,0.635570492368554,1,0.197613311742294
"Zr_ICP",0.38938339382208,0.739905803235737,0.0492649946203639,0.372251488842322,0.197613311742294,1
