# A tibble: 43 × 9
   position        Ca        Ti       Mn         Fe        Sr        Zr   `Mo inc`   `Mo coh`
      <dbl>     (err)     (err)    (err)      (err)     (err)     (err)      (err)      (err)
 1     1124   260(10)  1230(40)     0(0)   4730(80)    436(7)   390(60) 55400(500)  8500(200)
 2     1125   220(20)   990(10)     0(0)   5300(80)   480(50)  400(200) 56700(100)   8720(60)
 3     1126   330(50)   1646(2)    8(10)  6700(100)  600(300)   340(40)   58829(6)  9100(100)
 4     1127   490(20)  2410(90)   10(20)  9000(100)   580(30)   310(40) 64800(500)  9900(400)
 5     1128   340(30)  1640(40)     6(8)   5520(30)  400(100)  200(300) 67100(200)  9900(100)
 6     1129   290(30)  1170(50)    7(10)   4200(40)   300(10)   240(50) 67600(200) 10000(400)
 7     1130    284(9)  1330(20)     2(4)    5010(6)   310(20)   470(90) 68100(300)  10020(80)
 8     1131   200(20)  1150(20)     3(4)   4580(50)   190(30)    271(1) 68700(900) 10000(200)
 9     1132  185.5(7)  1000(60)     0(0)   3970(80)    202(8)   190(30)  69380(40) 10300(200)
10     1133   160(10) 1140.5(7)    8(10)   3650(70)  300(100)   200(80) 68700(300)   9920(60)
11     1134   200(20)   900(20)   10(10)   2970(60)  100(100)  300(100) 68400(700)  9800(100)
12     1135    194(1)   830(30)    10(7)   3130(50)  100(100)   300(10) 70100(500)  10010(90)
13     1136    184(4)   970(40)     0(0)   3600(50)   250(20)   190(80) 70500(300) 10100(200)
14     1137    174(9)  1030(30)     0(0)   5050(90)   220(40)  300(100) 69000(800) 10000(300)
15     1138   230(10)  1210(40)     0(0)  5300(200)  300(100)   250(70) 69000(600)   9870(20)
16     1139   160(10)  1190(20)     2(3)  5300(200)  300(100)  300(100) 68200(900) 10100(100)
17     1140   210(10)   1195(4)     0(0)   5160(90)   310(60)  200(300) 68800(500)   9960(70)
18     1141    293(8)  1250(20)     4(6)  6300(100)   240(30)   240(70) 67400(300)  9900(200)
19     1142   280(20)   1403(4)    9(10)  6800(100)   360(90)   220(10) 65900(100)   9510(60)
20     1143   360(60)   1676(2)    16(3)   7830(30)   430(20)  300(100) 60200(200)  8900(200)
21     1144   560(40)  1680(40)     2(3)   7830(50)   320(20)  400(100) 54700(600)   8330(90)
22     1147    694(0)  2580(30)    33(7)  11580(40)   900(50)   750(60)  45480(80)   7780(60)
23     1148    714(8)  2440(10)   10(20)   9740(30)   830(80)   740(40) 41900(600)  7500(200)
24     1149   310(40)  2240(20)     4(5)   8940(60)   1214(4)   800(30)  41980(90)   7510(80)
25     1150    558(5)  3080(20)   20(10)  14880(20)  1270(20)   860(50) 40500(200)    7786(4)
26     1151   1000(3) 4700(200)    20(9)  16850(60)  1460(80) 1000(100)  38940(90)   7880(70)
27     1152    849(4)  5390(70)   20(10) 19600(200)  1600(30)   960(30) 38700(800)  7600(200)
28     1153   990(10)  5510(30)   30(20) 22400(200)  1470(50)  1000(70) 39300(400)   7700(70)
29     1154  1190(40)  6470(60)    34(8) 24200(200)  1570(40)   900(20) 38700(500)   7610(30)
30     1155 1600(100) 7000(100)   30(30)  23700(80) 1900(200)   980(90)  39090(90)  7800(200)
31     1156  1780(20) 8400(100)   50(30) 28700(200)  1710(10)   930(40) 36900(200)  7700(200)
32     1157  1940(80) 9800(100)    41(4) 31300(300)  1980(70)  1030(60) 37000(300)    7840(4)
33     1158   1688(2) 9400(100)   30(20)  30410(30)  1640(80)   890(80) 36500(500)  7600(100)
34     1159 1945.5(7)  9160(20)   40(10) 28900(100)  2070(30)  900(200) 34900(200)  7200(200)
35     1160  2290(20) 9800(300)    60(9)  28880(70)  2080(40)    844(8)  32350(80)   7070(10)
36     1161  2680(20)  8760(50)   102(2)  29240(20) 2200(100)   990(40) 29100(300)  6900(100)
37     1162  2510(30)  7360(50)   70(10) 24200(200)  2340(40)  900(100)   26224(9)  6600(100)
38     1163   3143(7) 8700(100) 167.5(7)   30210(4)  2390(40)  1020(60) 25300(200)  6400(100)
39     1164  2400(20) 7100(200)  120(10)  25220(20) 2300(100)   940(70) 26300(200)  6400(100)
40     1165 2900(100)  8290(90)   110(6) 32200(500)  2440(10)   960(40) 27000(100)  6700(200)
41     1166  2950(10) 8100(100)  140(20)   33181(8)  2580(80)   980(60) 29000(600)  7200(100)
42     1167 2600(100)  7810(10)  100(30) 29600(200) 2400(100)   860(30) 30900(300)   7180(30)
43     1168  2010(40)  7410(80)   80(30) 23800(200)  2150(20)   860(40) 32200(700)  7200(200)
