# A tibble: 37 × 9
   position      Ca      Ti    Mn         Fe       Sr       Zr   `Mo inc`   `Mo coh`
      <dbl>   (err)   (err) (err)      (err)    (err)    (err)      (err)      (err)
 1       36  60(20)  20(30)  0(0)   4080(80) 100(200)  250(70) 70300(500) 10100(100)
 2       37   48(8)  20(10)  0(0)   4420(20)  100(40)  130(80) 70000(400)   9960(70)
 3       38  70(30)  30(20)  0(0)   4230(80)   30(40) 300(100) 69400(500) 10000(200)
 4       39   64(2)  20(30)  0(0)  3900(100)   10(20)  290(90)  68690(70)  10020(60)
 5       40  60(10)    6(8)  0(0)  3200(100)     5(7)  280(50) 68300(100) 10300(100)
 6       41  90(20)   12(9)  0(0)  2441.5(7)   80(30) 100(100) 68300(400) 10100(100)
 7       42  80(20)  10(10)  0(0)   2590(60)  180(30)  180(40) 70300(100)  10280(20)
 8       43  90(20)   19(7)  3(4)   3890(30)   60(80)  180(30) 69400(300)  10350(60)
 9       44  90(10)  20(10)  0(0)   6560(50)  70(100)   30(20) 69000(600) 10100(100)
10       45  105(6)  30(10)  0(0)  6600(100)     0(0)   106(2) 67800(200)  9800(200)
11       46   92(6)  30(40)  0(0)  9800(100)  140(10)   90(50) 68000(600)   9860(70)
12       47 100(20)  60(20)  0(0)  13690(50)   20(30)  180(60) 67400(400)   9870(30)
13       48  90(30)  40(20)  0(0) 14200(200)   70(90)     0(0) 66100(300)   9540(10)
14       49  101(3)   48(7)  0(0)  14360(30)   90(70)   50(70) 66000(700)   9740(50)
15       50   97(6)   8(10)  0(0) 17800(400)   80(60)   20(30)  65940(10)   9460(40)
16       51  90(30) 59.5(7)  0(0) 27300(300)   80(30)  130(50) 65500(600)  9600(500)
17       52   70(9)  20(10)  0(0) 34300(700)   30(40)  160(10) 64900(500)   9510(80)
18       53 140(20)   32(9)  0(0) 46200(700)   20(40)  90(100) 65600(100)   9580(70)
19       54   76(8)    8(3)  0(0) 46100(100)   60(90)     0(0) 66100(200)    9705(8)
20       55  90(10)  50(10)  0(0) 43000(200)   90(70)     0(0)  66700(20)  9700(100)
21       56  90(10)  20(10)  0(0) 34600(200)   20(30)   50(70) 66500(300)   9330(10)
22       57   86(4)   23(1)  0(0)  15860(40)   20(30)   60(10) 68700(500)  9600(200)
23       58  90(10)  40(30)  3(4) 14800(200)  200(90) 200(200) 69600(200) 10000(100)
24       59  60(20)  30(20)  0(0)  8700(100)   40(60)     0(0) 70400(800)  9900(200)
25       60  80(10)   17(3)  0(0)   5960(20)  100(20)   60(30) 72500(100) 10200(300)
26       61  90(10)  20(20)  0(0)  9600(100)   40(50)   30(40) 68600(200)  9600(400)
27       62  80(10)   34(3)  0(0)   10776(6)   50(70)   20(30) 69300(200)  9800(100)
28       63   80(4)  50(20)  0(0)    9364(0)  110(60)   90(30)  68920(90)   9640(60)
29       64   77(8)  40(20)  0(0)   7720(40)   20(10)   20(30) 67800(300)   9750(10)
30       65  90(30)  60(10)  0(0)  8200(100)   40(60)  90(100) 68600(500)  9700(100)
31       66   66(6)  40(50)  0(0)   8050(20)   20(30)     0(0) 69300(400)  9800(100)
32       67   92(4)  9.5(7)  0(0)   6730(30)     0(0)   30(40) 70800(100)   9870(30)
33       68  70(10)   38(5)  0(0)  8800(100)   50(70)   50(20)  71970(40)  10220(80)
34       69  70(10)   49(6)  0(0)  10680(60)     0(0)     6(8) 72100(300) 10200(100)
35       70  80(30)   12(5)  0(0)   8370(30)   40(50)   40(50)  71540(30)  10030(50)
36       71  80(10)  30(30)  0(0)   7650(20)   30(40)   40(50) 71300(800)  9900(200)
37       72  80(30)  60(20)  0(0)   6580(40)  100(90)     0(0) 72100(400)  9900(300)
