# A tibble: 43 × 9
   position       Ca      Ti     Mn        Fe       Sr       Zr    `Mo inc`   `Mo coh`
      <dbl>    (err)   (err)  (err)     (err)    (err)    (err)       (err)      (err)
 1      572    92(5)  50(30)   0(0)  2060(50)   50(70)   40(60)  64000(200)  9000(200)
 2      573  110(30)   46(4)   0(0)  2970(80)     0(0) 200(300)  66500(400)  9500(100)
 3      574  110(20)  90(10)   0(0)   3168(4)   40(50)  140(20)  67800(500)  9500(200)
 4      575    88(5)  60(40)   0(0)  2810(40)    19(1)  90(100)  66100(300)  9200(200)
 5      576    82(6)  40(20)   0(0)  2080(70)   50(70)   60(60)  67000(500)  9600(200)
 6      577   90(30)   46(6)  8(10)  2540(70)     0(0)   60(80)  68000(400)   9440(90)
 7      578  110(20)   40(5)   6(8)  2490(90)     0(0)   50(50)  69000(100)  9700(100)
 8      579    84(2)  60(30)   4(5)   2618(6)  120(50)   60(80)  70000(500)  9900(200)
 9      580   100(5)   61(1)   0(0)  2690(50)  140(20)     0(0)  70300(200)  9600(300)
10      581   90(10)   62(1)   0(0)  2970(70)  90(100)    8(10)  70800(400) 10000(500)
11      582   90(20)  60(10)   0(0)  3240(60)   90(50)    7(10)  70700(200) 10100(200)
12      583  130(40)   72(6)   0(0)  3330(80) 200(200)   30(30)  72500(600) 10200(100)
13      584  130(20)  80(20)   0(0) 3100(100)  150(10)   40(60)   72910(90)  10100(70)
14      585   106(8)  90(30)   0(0) 3600(100)     0(0)  70(100)  73100(400) 10400(100)
15      586   114(2)   52(8)   0(0)  3300(70)   50(70)     0(0)  73100(800) 10200(200)
16      587   132(4)  70(30) 20(20)   3050(6) 100(100)   10(10)  72900(200)  10070(70)
17      588   80(10)  60(10)   0(0)   2996(6)     0(0)     0(0)  73500(400)  10450(40)
18      589    90(5)  80(10)   0(0)  3270(70)   60(80)   100(5)  72400(600) 10100(600)
19      590  120(20)  80(40)   0(0)  3250(80)     4(6)     0(0)  73300(400) 10200(200)
20      591  130(20)  70(30)   0(0)   3312(8)   80(30)     0(0)   73490(70)  10110(30)
21      592  120(20)   69(8)   0(0)  3350(40)  100(30) 100(200)  72200(300) 10200(200)
22      593  110(40)   60(6)   0(0)  2940(70)   40(50)   20(30)  72700(700)   10144(4)
23      594    94(6)   42(2)  8(10)  2830(40)   30(30)     6(8)  74300(200) 10300(200)
24      595   112(1)  70(20)   0(0)  3920(50)   70(80)   70(90)  73200(400) 10200(200)
25      596  130(10)   58(7)   0(0)  3520(50)   90(50)   10(20)  73600(300) 10100(200)
26      597   120(1)  60(20)   0(0)   3634(4)   70(30)   30(40)  74000(300)  10200(50)
27      598  110(20)  60(10)   2(4)  3720(70)   70(20)    8(10)  74300(400)  10300(60)
28      599  100(40)   56(4)   0(0)  3570(10)   30(40)   50(70)  74100(200) 10200(300)
29      600   90(40)   70(9)   0(0)  3170(70)   40(50)     0(0)   72740(60) 10000(200)
30      601  120(20)  60(10)   0(0)  3470(40)   30(50)   30(50)  72600(100)    9960(6)
31      602  77.5(7)   53(7)   0(0)   2982(8)  140(90)   90(70)  72500(100) 10300(300)
32      603   80(20)   50(9)   0(0)  2930(60)   50(60) 100(200)  73800(500) 10400(300)
33      604  120(20)  20(10)   0(0)  3280(30) 100(100)  120(30)  73800(400)   10398(5)
34      605  94.5(7)   34(8)   0(0)  3330(40)   40(40)  130(90)  73600(200) 10400(100)
35      606   103(8)   52(4)   0(0) 3300(100)    8(10) 100(200)   74380(50)  10580(70)
36      607  120(10)  40(20)   4(5)  2960(30)     5(7)  130(30)  74000(200) 10300(300)
37      608   127(3)   49(8)   0(0)  2740(40)     0(0)   90(70)  74100(900)  10330(80)
38      609   80(20)   31(0)   0(0)  2940(20)   50(70)   40(20)  73600(200) 10400(100)
39      610  120(10) 43.5(7)   0(0)  3440(30)     0(0) 200(100)  74000(800) 10500(300)
40      611 110.5(7)  60(20) 10(10)  3200(20)   70(60) 100(100)  74100(400) 10200(400)
41      612  120(20)  70(20)   0(0) 3600(100) 100(100) 200(100) 75000(1000) 10400(100)
42      613  110(10)   58(2)   0(0) 4000(100)   60(30)  80(100)  75000(500) 10500(100)
43      614  110(10)  60(30)   0(0)  3940(40)   80(70)   70(90)  74900(200)  10580(10)
