Section,position,Ca,Ca_SD,Ti,Ti_Sd,Mn,Mn_SD,Fe,Fe_SD,Sr,Sr_SD,Zr,Zr_SD,inc,inc_SD,coh,coh_SD,
MI1A,36,60,200,20,300,0,0,4080,800,100,2000,250,700,70300,5000,10100,1000,
MI1A,37,48,80,20,100,0,0,4420,200,100,400,130,800,70000,4000,9960,700,
MI1A,38,70,300,30,200,0,0,4230,800,30,400,300,1000,69400,5000,10000,2000,
MI1A,39,64,20,20,300,0,0,3900,1000,10,200,290,900,68690,700,10020,600,
MI1A,40,60,100,6,80,0,0,3200,1000,5,70,280,500,68300,1000,10300,1000,
MI1A,41,90,200,12,90,0,0,2442,70,80,300,100,1000,68300,4000,10100,1000,
MI1A,42,80,200,10,100,0,0,2590,600,180,300,180,400,70300,1000,10280,200,
MI1A,43,90,200,19,70,3,40,3890,300,60,800,180,300,69400,3000,10350,600,
MI1A,44,90,100,20,100,0,0,6560,500,70,1000,30,200,69000,6000,10100,1000,
MI1A,45,105,60,30,100,0,0,6600,1000,0,0,106,20,67800,2000,9800,2000,
MI1A,46,92,60,30,400,0,0,9800,1000,140,100,90,500,68000,6000,9860,700,
MI1A,47,100,200,60,200,0,0,13690,500,20,300,180,600,67400,4000,9870,300,
MI1A,48,90,300,40,200,0,0,14200,2000,70,900,0,0,66100,3000,9540,100,
MI1A,49,101,30,48,70,0,0,14360,300,90,700,50,700,66000,7000,9740,500,
MI1A,50,97,60,8,100,0,0,17800,4000,80,600,20,300,65940,100,9460,400,
MI1A,51,90,300,59.5,70,0,0,27300,3000,80,300,130,500,65500,6000,9600,5000,
MI1A,52,70,90,20,100,0,0,34300,7000,30,400,160,100,64900,5000,9510,800,
MI1A,53,140,200,32,90,0,0,46200,7000,20,400,90,1000,65600,1000,9580,700,
MI1A,54,76,80,8,30,0,0,46100,1000,60,900,0,0,66100,2000,9705,80,
MI1A,55,90,100,50,100,0,0,43000,2000,90,700,0,0,66700,200,9700,1000,
MI1A,56,90,100,20,100,0,0,34600,2000,20,300,50,700,66500,3000,9330,100,
MI1A,57,86,40,23,10,0,0,15860,400,20,300,60,100,68700,5000,9600,2000,
MI1A,58,90,100,40,300,3,40,14800,2000,200,900,200,2000,69600,2000,10000,1000,
MI1A,59,60,200,30,200,0,0,8700,1000,40,600,0,0,70400,8000,9900,2000,
MI1A,60,80,100,17,30,0,0,5960,200,100,200,60,300,72500,1000,10200,3000,
MI1A,61,90,100,20,200,0,0,9600,1000,40,500,30,400,68600,2000,9600,4000,
MI1A,62,80,100,34,30,0,0,10776,60,50,700,20,300,69300,2000,9800,1000,
MI1A,63,80,40,50,200,0,0,9364,0,110,600,90,300,68920,900,9640,600,
MI1A,64,77,80,40,200,0,0,7720,400,20,100,20,300,67800,3000,9750,100,
MI1A,65,90,300,60,100,0,0,8200,1000,40,600,90,1000,68600,5000,9700,1000,
MI1A,66,66,60,40,500,0,0,8050,200,20,300,0,0,69300,4000,9800,1000,
MI1A,67,92,40,9.5,70,0,0,6730,300,0,0,30,400,70800,1000,9870,300,
MI1A,68,70,100,38,50,0,0,8800,1000,50,700,50,200,71970,400,10220,800,
MI1A,69,70,100,49,60,0,0,10680,600,0,0,6,80,72100,3000,10200,1000,
MI1A,70,80,300,12,50,0,0,8370,300,40,500,40,500,71540,300,10030,500,
MI1A,71,80,100,30,300,0,0,7650,200,30,400,40,500,71300,8000,9900,2000,
MI1A,72,80,300,60,200,0,0,6580,400,100,900,0,0,72100,4000,9900,3000,
MI1B,579,60,30,70,10,0,0,2540,40,70,60,60,80,67970,20,9780,50,
MI1B,580,120,2,68,8,0,0,4200,60,190,60,10,20,69700,400,10000,200,
MI1B,581,120,30,40,10,0,0,3720,30,100,40,100,100,70100,300,9900,100,
MI1B,582,148,2,57,3,0,0,3900,200,174,6,2,3,71100,500,9790,30,
MI1B,583,102,5,80,10,0,0,3390,10,180,70,0,0,71700,100,9800,200,
MI1B,584,116,4,50,6,0,0,3330,60,100,20,60,20,71900,300,10300,200,
MI1B,585,128,3,50,40,0,0,4300,100,200,200,100,200,71700,600,9900,100,
MI1B,586,120,20,70,20,0,0,3690,40,61,3,0,0,72500,400,9890,30,
MI1B,587,110,20,70,20,8,10,3730,30,190,60,0,0,72400,800,10200,200,
MI1B,588,130,50,90,10,0,0,3849,6,200,100,0,0,72800,200,10000,100,
MI1B,589,108,6,60,20,0,0,3230,5,90,60,4,6,71500,200,9800,200,
MI1B,590,118,9,40,30,0,0,2740,20,200,200,0,0,70800,100,9900,100,
MI1B,591,110,20,50,10,0,0,2770,9,200,100,40,60,71300,100,10200,200,
MI1B,592,109,4,50,40,0,0,2440,40,140,20,0,0,73600,100,10220,40,
MI1B,593,120,20,12,3,0,0,2090,40,100,40,6,8,74200,500,10040,90,
MI1B,594,128,0,63,8,4,5,2590,70,150,70,7,10,74600,800,10341.5,7,
MI1B,595,80,10,30,30,0,0,1800,40,100,20,0,0,68200,300,9100,300,
MI1B,596,110,20,80,10,0,0,2880,10,110,50,0,0,72100,80,9900,200,
MI1B,597,130,10,71,1,6,9,2979,3,50,70,0,0,72600,200,9980,50,
MI1B,598,180,40,119,6,0,0,3860,90,100,70,0,0,73400,200,10300,200,
MI1B,599,200,30,100,20,0,0,4410,70,100,200,180,30,74900,900,10509,1,
MI1B,600,224,3,90,40,0,0,3582,6,32,2,50,70,72578,6,10000,100,
MI1B,601,155,1,100,10,0,0,2460,60,100,100,20,30,72000,400,10100,100,
MI1B,602,150,50,80,10,0,0,3180,30,142,6,0,0,71000,700,9900,100,
MI1B,603,151,3,66,4,0,0,2650,20,130,50,0,0,69800,200,9910,70,
MI1B,604,130,30,63,7,4,6,2300,40,46,5,0,0,69000,700,9500,200,
MI1B,605,130,50,74,3,0,0,1910,70,100,100,60,80,68500,600,9800,100,
MI1B,606,88,3,80,20,0,0,2140,30,200,100,100,100,71300,800,9900,100,
MI1B,607,110,4,80,10,0,0,2102,8,70,90,50,70,72600,100,10100,200,
MI1B,608,107,3,55,7,0,0,2334,7,118,2,0,0,73600,900,10000,300,
MI1B,609,136,2,61,1,4,6,2360,90,90,70,30,40,72500,500,10000,200,
MI1B,610,124,2,80,20,0,0,3190,30,80,30,0,0,73200,400,10100,200,
MI1B,611,120,40,70,10,0,0,2700,40,0,0,0,0,74300,200,10290,40,
MI1B,612,130,10,108,4,0,0,2980,60,30,50,0,0,73800,600,10300,200,
MI1B,613,116,4,50,10,9,10,2650,40,200,100,0,0,72700,600,10100,200,
MI1B,614,172,3,120,20,0,0,3070,2,80,100,30,40,73000,800,9900,200,
MI1B,615,140,20,62,6,3,4,2840,90,70,100,100,200,73930,70,10490,90,
MI1B,616,152,7,70,3,0,0,3225.5,7,60,50,0,0,75000,200,10432,9,
MI1B,617,270,10,110,20,0,0,3960,30,30,50,20,30,75500,200,10500,200,
MI1B,618,180,10,110,20,0,0,3070,40,30,40,10,20,72800,500,9850,40,
MI1B,619,180,30,124.5,7,10,10,3650,70,70,6,40,50,74890,90,10300,200,
