# A tibble: 31 × 9
   position       Ca      Ti      Mn        Fe       Sr       Zr   `Mo inc`   `Mo coh`
      <dbl>    (err)   (err)   (err)     (err)    (err)    (err)      (err)      (err)
 1       23  110(30) 130(40)    0(0) 3600(100) 200(100)  110(10) 62000(200)   9010(60)
 2       24  120(10) 160(40)    3(4)  4280(40)  200(10)   50(70) 64400(400)  9400(100)
 3       25   120(5) 120(30)    0(0)  3300(60)   70(60)     0(0) 66200(300)   9430(50)
 4       26  100(20) 130(10)  20(10)  3080(20)  130(40)  81.5(7) 67800(400)  9600(100)
 5       27   80(10) 120(20)    0(0)  2970(20)   40(60)   40(60) 69100(200)    9936(5)
 6       28  100(10) 210(10)    0(0)   3614(5)   20(20)     0(0) 68500(300)  9900(200)
 7       29  100(20) 180(30)    0(0)  3490(40)    9(10)  140(90) 70300(400)  9800(100)
 8       30  81.5(7) 130(10)   12(8)  3630(50) 100(100)   50(70) 70700(200)   9870(50)
 9       31  100(20) 180(20)    0(0)  3720(50)   80(80)   20(30) 70800(800)   9870(70)
10       32  120(30) 140(10)    0(0)  3660(30)   40(50)   30(40) 71600(200) 10100(300)
11       33 124.5(7) 130(40)    6(8)  3970(10)   30(50)   40(60)  71980(70) 10100(100)
12       34  110(10) 210(10)    0(0)  4010(80)     6(8)   10(10) 72700(400)  9900(100)
13       35    90(1) 180(10)    6(9)  4190(50)   30(40)     0(0) 71600(300) 10000(200)
14       36    84(5) 150(30)    0(0)  3420(30)   30(30)   20(20) 71600(300) 10000(200)
15       37    96(2) 130(10)   7(10)  3100(50)   70(80)   40(50)  72860(60) 10300(400)
16       38   80(10)  106(4)    4(6)  3410(40)  80(100)     0(0)  73220(90) 10200(200)
17       39   90(20)  158(6)    0(0)  3370(70)   30(40)     0(0)  72980(90) 10100(100)
18       40   90(30) 130(30)    0(0)   2930(9)     0(0)   8.5(7) 72700(600)  10000(10)
19       41    86(3)  126(8)    0(0)  2740(80)  100(30) 100(100) 73600(400)  10360(70)
20       42  120(20) 130(10)    2(4)  2900(20)   40(50)     3(4)  73200(30)  10190(70)
21       43  110(10) 120(30) 18.5(7)  2820(70)   70(20)    32(2) 73700(500)  10570(20)
22       44    95(3)   98(7)    4(6) 2900(100)     0(0)   60(90) 74200(300) 10400(100)
23       45    94(8) 100(10)    6(9) 2600(100)   20(20)  110(80)  73170(10) 10200(300)
24       46   106(8) 100(60)    0(0)  2930(50)   40(60)   40(60) 72900(700)   9960(70)
25       47  100(20)  108(5)    0(0)  3010(30)    8(10) 100(100) 74100(500) 10400(200)
26       48    87(4) 110(10)    0(0)   2882(5)   20(20)   60(80)  74310(20) 10400(200)
27       49  100(10)  90(30)    0(0)  2730(30)   20(30)   10(20) 74500(900) 10500(400)
28       50    98(4)  90(30)    0(0)  3230(60)     6(8)     0(0) 74500(500) 10400(200)
29       51  150(20)   97(6)    0(0)  3740(10)  120(80)  120(20) 73700(700) 10000(100)
30       52  110(10)  117(3)    0(0) 3900(100)   60(90)  120(20) 74900(200)  10580(60)
31       53   121(8)  90(10)    0(0)  3240(20)   50(60) 100(200)  74460(70) 10400(300)
