# A tibble: 39 × 9
   position      Ca       Ti     Mn        Fe       Sr       Zr    `Mo inc`  `Mo coh`
      <dbl>   (err)    (err)  (err)     (err)    (err)    (err)       (err)     (err)
 1      574 140(20)  440(10) 10(10)   3482(8) 100(200)   186(6)  57100(800) 8400(100)
 2      575 100(10)  710(20) 20(20) 4700(100)  290(90)  260(40)   57380(90) 8700(300)
 3      576 160(10)  840(40)   9(0)  5390(70) 400(100)  170(30)  59000(400)  8560(10)
 4      577  108(4)  1006(9)   5(7)  6080(10)   254(5) 300(100) 59000(1000)  8830(80)
 5      578  166(7)  1024(1) 20(10) 6000(100)  180(90)  270(20)  61100(800) 8900(200)
 6      579 160(10) 1140(10)   6(8) 7100(100)  310(30)   180(3)  62400(700)  9260(90)
 7      580 150(20)   765(6)   0(0)  7060(60)  420(50) 100(100)  62400(900)  9140(80)
 8      581 140(20)  740(70)  7(10) 6800(100)  300(40)  300(10) 65000(1000)  9390(40)
 9      582 160(20)  660(20) 10(10)  5350(60)  340(30)    48(6)  65200(600) 9200(400)
10      583  210(6)  890(20)  8(10) 7100(100) 300(200)  110(30)  65700(100) 9800(400)
11      584  161(8)  970(30)   0(0)  8440(30)  360(60)  210(40)  64800(200) 9400(200)
12      585 140(10)  820(80)   0(0)  6550(80) 300(200)  190(40)   64870(10) 9600(200)
13      586  215(6)  730(30)   4(5)  8380(20)  230(20) 300(100)  64900(400) 9500(100)
14      587  137(0)  770(40)   0(0)  7370(30)  240(10)  270(50)  66100(400) 9700(200)
15      588 160(10)  890(50)   6(8)  7960(40) 300(200)  150(10)   65850(80)  9530(20)
16      589  210(6) 1050(10)   2(4)  9620(60)  240(70)   20(30)  66600(200) 9800(200)
17      590 180(10)   987(7)   0(0)  9680(30)   287(6) 100(100)  66100(400) 9400(200)
18      591 190(10)  930(70)   0(0)  9220(50)  300(50) 200(200)  66200(400) 9600(200)
19      592 200(10) 1130(70)   2(4) 9600(100)  300(70)  170(20)  66200(700) 9600(300)
20      593 240(20) 1370(30) 20(30) 10720(40) 300(100) 200(100)  65600(100)  9700(80)
21      594 220(40) 1350(50)  7(10) 10000(30)   311(1)  270(70)  65600(600) 9600(200)
22      595 220(10) 1260(30)   0(0) 10290(80) 300(100)  140(90)  66700(200)  9840(90)
23      596 210(30) 1370(40)   0(0)  9860(30)  400(50)  90(100)  67200(300) 9700(100)
24      597 180(10) 1280(20)   0(0) 10050(70)  150(40)   20(30)   66520(60) 9600(400)
25      598 260(40) 1340(60) 10(20) 10590(30) 300(200)  120(30)  67300(700) 9700(100)
26      599 190(10) 1070(30)  14(9)  8520(60)  150(50)   30(40)  66800(300)  9690(40)
27      600 260(10) 1090(30)   2(4)   8298(6)  180(40)   20(30)  66900(500) 9600(200)
28      601 210(10) 1090(80)   0(0) 8200(100) 200(100)  190(50)  66700(700) 9700(500)
29      602 190(20)  980(30)   0(0)  8100(20) 300(100)   60(60)  66500(200) 9600(400)
30      603 190(20)  1127(1)   6(8)  8600(50)  220(10)   30(40)  66800(300) 9500(200)
31      604  216(8) 1160(20)   0(0) 9600(100) 300(200)  90(100)  67300(200) 9700(400)
32      605 180(30)  940(50)   6(8)  8630(60) 200(100)  80(100)   67420(60) 9700(300)
33      606 140(10)  890(30)  18(2)  8220(50)  260(20)  80(100) 68000(1000)  9870(40)
34      607 130(30)  670(20)   0(0)  6520(40)   90(40) 100(200)  67500(500)  9670(90)
35      608 150(20)  630(50)   0(0)  6120(60)   110(9)  70(100)  68600(400)  9510(30)
36      609 140(20)   676(0)   0(0)  6370(20) 300(100)    66(4)   69300(40)  9930(70)
37      610 180(20)   765(1)   0(0)   7056(8)  130(90)    60(9)   70000(20) 9700(300)
38      611  204(4)  870(20) 10(20)  8100(80)  220(50)   80(40)  68900(500) 9800(100)
39      612  129(3)   781(8)   0(0)  7910(10) 200(100)  140(70)   69050(90) 9700(100)
