# A tibble: 48 × 9
   position       Ca        Ti     Mn         Fe       Sr       Zr   `Mo inc`   `Mo coh`
      <dbl>    (err)     (err)  (err)      (err)    (err)    (err)      (err)      (err)
 1     1121   70(20)   31.5(7)  7(10)    540(20)     0(0)     0(0)  54190(30)   7740(40)
 2     1122    86(5)     72(8)   4(6)   1320(60)   60(80)  180(20) 63600(400)  9400(100)
 3     1123   122(6)    106(2)   0(0)   1680(10)   40(50)   50(60)   68224(8)  9800(300)
 4     1124  110(50)    104(6) 10(20)   1710(30) 100(100)  140(40) 67800(700)  9600(200)
 5     1125   90(30)    90(20)   0(0)   1670(30)     0(0)   50(70)   69845(8)  9900(200)
 6     1126   104(7)   120(30)   0(0)   2240(50)     5(7)     6(8) 69800(200)   9990(30)
 7     1127    98(8)    90(40)   0(0)   2070(30)     4(5)     0(0) 70400(200)   9870(50)
 8     1128 102.5(7)    101(7)   0(0)   2670(50)   10(20)   10(10) 70600(500)  10170(30)
 9     1129   116(4)     86(5)  7(10)    2815(4)    8(10) 100(100) 70800(400) 10200(100)
10     1130  100(20)   180(40)   0(0)   3600(60)     0(0)   50(60) 71500(200) 10200(200)
11     1131  120(50)    230(9)   8(4)  5000(100)   40(50)   60(90) 72400(200) 10300(300)
12     1132  110(10)    264(2) 10(10)   4940(50) 100(100)    87(6) 71700(200) 10300(200)
13     1133  130(20)    255(6)   0(0)  5300(100)   50(50)     6(8) 71300(100)   9980(30)
14     1134   102(8)    250(6)   0(0)   5490(30)   50(40)   60(80) 71800(200)   9900(10)
15     1135   80(10)   190(30) 10(20)   5480(20)   90(70)   40(60) 71700(600) 10100(200)
16     1136  100(10)   190(10)   0(0)   5440(30)  140(80)   40(60) 71300(700)   9970(60)
17     1137   90(20)   180(10)   0(0)   4930(20)   10(10)  110(60) 71700(400)    9958(2)
18     1138  100(20)   230(40)   0(0)   4500(50)    51(7)  80(100) 72300(500)  10120(30)
19     1139  120(20)    162(4)   2(4)    3874(8)   60(20)  100(60) 72400(100) 10300(100)
20     1140   90(20)   150(20)   0(0)  3900(100)   70(60)  70(100) 72000(900)  9900(300)
21     1141  100(20)   160(10)   0(0)   3860(40)   114(8)  110(30)  72350(50)   9990(30)
22     1142   90(10)    218(7)   0(0)    4105(7)   30(40)     0(0) 71900(300)  9900(100)
23     1143   105(7)   190(20)   0(0)   4280(30)   70(10) 100(200) 72200(600) 10300(300)
24     1144   90(50)   160(30)   4(5)   4150(40)   50(70) 100(100) 70700(400)   10030(6)
25     1145  130(10)    169(4)  9(10)   4420(20)   30(30)   208(3) 70200(500) 10200(300)
26     1146   112(8)   170(20)   0(0)   4440(10)   60(80)   50(70) 69700(400) 10200(200)
27     1147   112(6)  128.5(7)   0(0)   4300(60) 100(100) 200(100) 68400(500)   9820(50)
28     1148   102(2)   180(30)   3(4)   4250(30) 100(100)  160(50) 66900(100)  9900(200)
29     1149  130(10)   140(20)   3(4)   3250(50)  200(50) 200(200) 64100(600)    9499(4)
30     1150  130(10)   220(50)   0(0)   3430(30)  330(30)  220(70) 63800(700)  9700(100)
31     1151 114.5(7)   240(30)   6(9)   3450(40)  240(30)  250(20) 61000(200)   9280(90)
32     1152  130(30)   260(20)   0(0)  3900(100)  480(20) 400(100) 60700(300)  9500(300)
33     1153  100(20)   470(50)   0(0)   4440(80) 400(200)  490(80) 59800(800)  9300(300)
34     1154  130(10)   400(30)   4(6)   4780(30)  530(90)  450(10) 57600(300)  9300(300)
35     1155  150(10)   600(30)   2(4)   5760(10)  620(10) 600(100)  57450(30)  9200(500)
36     1156  230(40)  1320(20)   0(0)   9290(70)  680(30)   642(9) 56200(700)  9200(100)
37     1157  320(20)  2050(30)   0(0) 11700(100)  810(20) 600(100) 56100(400)  9200(200)
38     1158   232(5)   1698(6)   0(0)  11530(50)   649(3)  620(40) 56200(100)  8900(200)
39     1159  240(70)  1880(40) 10(20)  10660(50)  510(60) 600(100) 55900(300)   9010(50)
40     1160  300(50)  1600(40)  7(10)  10270(90)  540(70) 700(100) 55700(300)   9140(20)
41     1161  330(20)  1890(60)   0(0) 13100(200)  590(70) 700(100) 55300(100)  9300(200)
42     1162  260(20)  1900(50)   0(0)  13230(70)   712(5)   709(1) 54600(200)    9259(1)
43     1163   361(6)  2080(10)  24(8)  14380(90) 700(100)  690(30) 54300(700)   9180(70)
44     1164  230(20)  1690(60) 10(20)  12860(20) 700(100)  610(40)   54020(4)   8900(70)
45     1165   340(9)   2034(1)   6(8)  14040(20)  780(50)   682(9) 52800(200)   8950(70)
46     1166   340(6)  2280(70)   0(0)  16910(60)  830(60)   640(9) 52200(500)  9000(200)
47     1167  350(20)  1940(20)   7(0)  14040(40) 900(100)  750(30)  52460(60)   8750(70)
48     1168   372(1) 1900(100) 20(30) 15000(200)  950(50)  700(20) 52100(500)  8900(100)
