# A tibble: 41 × 9
   position      Ca       Ti     Mn        Fe       Sr       Zr   `Mo inc`   `Mo coh`
      <dbl>   (err)    (err)  (err)     (err)    (err)    (err)      (err)      (err)
 1      579  60(30)   70(10)   0(0)  2540(40)   70(60)   60(80)  67970(20)   9780(50)
 2      580  120(2)    68(8)   0(0)  4200(60)  190(60)   10(20) 69700(400) 10000(200)
 3      581 120(30)   40(10)   0(0)  3720(30)  100(40) 100(100) 70100(300)  9900(100)
 4      582  148(2)    57(3)   0(0) 3900(200)   174(6)     2(3) 71100(500)   9790(30)
 5      583  102(5)   80(10)   0(0)  3390(10)  180(70)     0(0) 71700(100)  9800(200)
 6      584  116(4)    50(6)   0(0)  3330(60)  100(20)   60(20) 71900(300) 10300(200)
 7      585  128(3)   50(40)   0(0) 4300(100) 200(200) 100(200) 71700(600)  9900(100)
 8      586 120(20)   70(20)   0(0)  3690(40)    61(3)     0(0) 72500(400)   9890(30)
 9      587 110(20)   70(20)  8(10)  3730(30)  190(60)     0(0) 72400(800) 10200(200)
10      588 130(50)   90(10)   0(0)   3849(6) 200(100)     0(0) 72800(200) 10000(100)
11      589  108(6)   60(20)   0(0)   3230(5)   90(60)     4(6) 71500(200)  9800(200)
12      590  118(9)   40(30)   0(0)  2740(20) 200(200)     0(0) 70800(100)  9900(100)
13      591 110(20)   50(10)   0(0)   2770(9) 200(100)   40(60) 71300(100) 10200(200)
14      592  109(4)   50(40)   0(0)  2440(40)  140(20)     0(0) 73600(100)  10220(40)
15      593 120(20)    12(3)   0(0)  2090(40)  100(40)     6(8) 74200(500)  10040(90)
16      594  128(0)    63(8)   4(5)  2590(70)  150(70)    7(10) 74600(800) 10341.5(7)
17      595  80(10)   30(30)   0(0)  1800(40)  100(20)     0(0) 68200(300)  9100(300)
18      596 110(20)   80(10)   0(0)  2880(10)  110(50)     0(0)  72100(80)  9900(200)
19      597 130(10)    71(1)   6(9)   2979(3)   50(70)     0(0) 72600(200)   9980(50)
20      598 180(40)   119(6)   0(0)  3860(90)  100(70)     0(0) 73400(200) 10300(200)
21      599 200(30)  100(20)   0(0)  4410(70) 100(200)  180(30) 74900(900)   10509(1)
22      600  224(3)   90(40)   0(0)   3582(6)    32(2)   50(70)   72578(6) 10000(100)
23      601  155(1)  100(10)   0(0)  2460(60) 100(100)   20(30) 72000(400) 10100(100)
24      602 150(50)   80(10)   0(0)  3180(30)   142(6)     0(0) 71000(700)  9900(100)
25      603  151(3)    66(4)   0(0)  2650(20)  130(50)     0(0) 69800(200)   9910(70)
26      604 130(30)    63(7)   4(6)  2300(40)    46(5)     0(0) 69000(700)  9500(200)
27      605 130(50)    74(3)   0(0)  1910(70) 100(100)   60(80) 68500(600)  9800(100)
28      606   88(3)   80(20)   0(0)  2140(30) 200(100) 100(100) 71300(800)  9900(100)
29      607  110(4)   80(10)   0(0)   2102(8)   70(90)   50(70) 72600(100) 10100(200)
30      608  107(3)    55(7)   0(0)   2334(7)   118(2)     0(0) 73600(900) 10000(300)
31      609  136(2)    61(1)   4(6)  2360(90)   90(70)   30(40) 72500(500) 10000(200)
32      610  124(2)   80(20)   0(0)  3190(30)   80(30)     0(0) 73200(400) 10100(200)
33      611 120(40)   70(10)   0(0)  2700(40)     0(0)     0(0) 74300(200)  10290(40)
34      612 130(10)   108(4)   0(0)  2980(60)   30(50)     0(0) 73800(600) 10300(200)
35      613  116(4)   50(10)  9(10)  2650(40) 200(100)     0(0) 72700(600) 10100(200)
36      614  172(3)  120(20)   0(0)   3070(2)  80(100)   30(40) 73000(800)  9900(200)
37      615 140(20)    62(6)   3(4)  2840(90)  70(100) 100(200)  73930(70)  10490(90)
38      616  152(7)    70(3)   0(0) 3225.5(7)   60(50)     0(0) 75000(200)   10432(9)
39      617 270(10)  110(20)   0(0)  3960(30)   30(50)   20(30) 75500(200) 10500(200)
40      618 180(10)  110(20)   0(0)  3070(40)   30(40)   10(20) 72800(500)   9850(40)
41      619 180(30) 124.5(7) 10(10)  3650(70)    70(6)   40(50)  74890(90) 10300(200)
