"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","RMSE_ppm_factor","RMSEP_ppm_factor","Mean_log_ppm","Mean_ppm","RMSE_ppm_abs","RMSEP_ppm_abs"
"RF",0.953758069092622,0.264661662974697,0.607991117552323,NA,NA,1,1.30299005141406,1.83673789959344,7.26627152524627,1431.20428366209,378.784905770518,870.159491869385
"Bayes",0.769067236846491,0.591446999353038,0.623668660505259,495.052856787575,523.780752631662,2,1.80660067498099,1.86576034276883,7.26627152524627,1431.20428366209,846.481479033157,892.597258500923
"PLS(LOO)",0.754035431978301,0.610392701137588,0.641872967170071,NA,NA,3,1.84115428021448,1.90003625424147,7.26627152524627,1431.20428366209,873.596648584189,918.6513401807
"PLS(k)",0.754035431978301,0.610392701137588,0.641872967170071,NA,NA,4,1.84115428021448,1.90003625424147,7.26627152524627,1431.20428366209,873.596648584189,918.6513401807
"OLS",0.729930592021033,0.639603384224678,0.644447515724916,527.008898110934,537.781859052467,5,1.89572885421299,1.90493429224684,7.26627152524627,1431.20428366209,915.403103347127,922.336045100891
"WLS(wt)",0.72919658362992,0.640471967780676,NA,487.996188481353,498.769149422886,6,1.89737616843384,NA,7.26627152524627,1431.20428366209,916.64622385319,NA
"WLS",0.728935134347202,0.640781067535794,NA,487.487982869888,498.26094381142,7,1.8979627375924,NA,7.26627152524627,1431.20428366209,917.088608746794,NA
"OLS(wt)",0.718555763474536,0.652933928562262,NA,558.906329039579,569.679289981112,8,1.9211691414603,NA,7.26627152524627,1431.20428366209,934.481835506625,NA
