"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,8.63636363636364,9.83130436181006,1782.206118,520.9093274,2894.8239801924,-8467.79839522483,14257.4463556096
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,10.4166666666667,8.97935342208936,1331.46149,522.7119355,2990.94118202293,-8370.91876182324,14352.8011258691
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,9.83333333333333,8.55817879238476,1545.22611,589.8765904,2959.44746057207,-8402.65795688335,14321.5528780275
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,11.3333333333333,9.2080333832952,4972.490853,1373.757336,3040.43131573141,-8321.05143996493,14401.9140714278
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,26.3,22.6374812104959,16457.36219,3980.600316,3848.47022609904,-7508.33410545761,15205.2745576557
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,11.0909090909091,8.14192293570193,10808.43657,2190.076237,3027.34301590768,-8334.23847487702,14388.9245066924
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,14.7,7.57261146794449,66668.75515,13007.37375,3222.19507953349,-8137.99211598385,14582.3822750508
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,10.1818181818182,8.41211247925492,2479.827204,632.4407929,2978.26189156869,-8383.69637007073,14340.2201532081
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,6.09090909090909,7.75183262789575,23399.21394,3611.164788,2757.39683204322,-8606.38415887622,14121.1778229627
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,25.8181818181818,20.3951865979117,867.9986358,403.6307052,3822.45723019937,-7534.45424292271,15179.3687033215
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,24.75,15.439765660021,7766.606331,2010.436754,3764.78690910105,-7592.37241074408,15121.9462289462
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,17.5833333333333,11.1718667222898,1973.319538,728.4065428,3377.86404556199,-7981.32576886499,14737.053859989
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,12.4545454545455,11.8436787896636,14359.67839,3663.807136,3100.96470241617,-8260.07091853815,14462.0003233705
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,3.63636363636364,5.00545157348919,3095.570446,982.5430133,2624.87779632794,-8740.0967599179,13989.8523525738
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,26.6363636363636,16.8598501017816,3134.001598,945.8757012,3866.63024210446,-7490.10100727705,15223.361491486
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,39.8181818181818,24.9792641277448,3044.618396,864.5444411,4578.30654501987,-6776.67121505325,15933.284305093
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,19.6363636363636,18.6776482849031,1424.582603,617.0473108,3488.70558469422,-7869.83716604752,14847.248335436
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,8.54545454545454,9.20177848422398,1716.680373,574.2556523,2889.9158677585,-8472.74649870707,14252.5782342241
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,7.7,9.39325999498222,683.2265993,330.288126,2844.27042212324,-8518.76878599385,14207.3096302403
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,6.72727272727273,8.22302753359016,1641.390095,595.6836327,2791.75361908051,-8571.73016120503,14155.2373993661
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,8.18181818181818,7.42722265477725,5412.77206,1133.053064,2870.2834180229,-8492.53994092598,14233.1067769718
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,3.33333333333333,7.79665818077712,5594.694254,1512.473246,2608.51742154827,-8756.60968438694,13973.6445274835
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,22.3636363636364,29.2652446676009,2804.420041,585.0799774,3635.9489577112,-7721.81542186867,14993.7133372911
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,14.7058823529412,10.4687911544406,21023.43508,4080.69295,3222.51266327921,-8137.67239207876,14582.6977186372
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,25.6363636363636,26.5603943015638,1243.638909,437.7130837,3812.64100533157,-7544.3116503749,15169.593661038
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,8,8.93308457365092,11337.75217,2616.583382,2860.4671931551,-8502.43727899408,14223.3716653043
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,5.09090909090909,5.24317738503182,21256.47654,4637.824269,2703.40759527033,-8660.85061794762,14067.6658084883
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,6.18181818181818,7.8462498280157,4642.258304,1389.963814,2762.30494447712,-8601.43327937192,14126.0431683262
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,9,5.7227615711298,2367.746797,501.3815099,2914.456429928,-8448.00700961836,14276.9198694744
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,16.5454545454545,7.65981248286975,21467.56946,3376.49462,3321.82976194164,-8037.70714234379,14681.3666662271
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,11.7272727272727,9.81927603330214,3810.216932,970.2818044,3061.69980294498,-8299.6240683166,14423.0236742066
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,7.45454545454545,9.81186665587783,2179.747422,564.4911449,2831.01851855171,-8532.13176092717,14194.1687980306
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,4.58333333333333,7.1789887023089,2601.638721,565.6764383,2676.00396751439,-8688.50123079971,14040.5091658285
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,6.9,7.14065045278712,2160.208858,504.1027803,2801.07903270492,-8562.32494534618,14164.483010756
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,9.45454545454546,9.67846719644838,2135.960113,544.2065152,2938.99699209749,-8423.27009141661,14301.2640756116
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,12.6363636363636,7.15922799291554,1942.49545,493.2577849,3110.78092728397,-8250.18365981668,14471.7455143846
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,3.91666666666667,5.80686636402948,643.1526044,288.8626367,2640.01114299913,-8724.82332139458,14004.8456073928
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,11.4545454545455,25.9975523323394,661.9708417,325.0800747,3046.97546564328,-8314.45819680667,14408.4091280932
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,33.5,12.8084173712272,1745.183529,636.3270443,4237.19273086386,-7118.35520472086,15592.7406664486
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,10.25,8.55065122453468,543.4726901,321.6442737,2981.94297589411,-8379.98667116023,14343.8726229485
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,11.0833333333333,9.8761267097926,2704.115972,923.7798793,3026.93400653819,-8334.6505815041,14388.5185945805
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,10.4545454545455,9.52222281154601,473.7956247,223.0052862,2992.98622887039,-8368.85792154915,14354.8303792899
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,11.3636363636364,17.8396901726052,519.5682507,257.8592821,3042.06735320938,-8319.40311203159,14403.5378184504
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,32.0909090909091,18.2398165859997,2355.45594,816.8976853,4161.11698813843,-7194.62597879642,15516.8599550733
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,33.2,16.936482646773,1070.885179,427.93975,4220.995959832,-7134.59142473557,15576.5833443996
