"depth","SH20_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc"
1.1,-46.3,7.36,21997,50055,1.43,0.000674553756745538,0.00225716064757161,0.000233499377334994,0.00723848069738481,0.0306403071814031,0.00189393939393939,0.00568181818181818,0.000596720630967206,0.00163449564134496,4.39666732616677e-05,0.0091324200913242,0.0180572851805729,1,0.153590701535907,0.153590702
1.2,-44.5,7.35,22239,50875,1.3,0.00130688204082699,0.00420816017146292,0.00101936799184506,0.0127551687184715,0.0532685119841083,0.00308424161635171,0.00572414333882224,0.000653441020413497,0.00211714890613973,0.00222169946940589,0.010167542277634,0.0173031182205494,1,0.150866462793068,0.150866463
1.3,-42.7,7.36,20739,48826,1.42,0.00141107410961224,0.00575718236721793,0.000620872608229384,0.0261613139922109,0.0658124964723147,4.6419867703377e-05,0.00443077270418242,0.00414855788225998,0.000987751876728566,0.00578540384941017,0.0174690974769995,0.0226618502003725,1,0.152537111249083,0.152537111
1.4,-40.9,7.38,19540,45427,1.4,0.00117099627130135,0.00493051061600567,0.00123262765400142,0.036485778558442,0.0821854488305445,0.00351298881390404,0.00471480077655542,0.00163323164155188,0.000277341222150319,0.0053002989122061,0.0161782379587686,0.0102616252195618,1,0.15620473945333,0.156204739
1.5,-39.1,7.38,17350,42629,1.43,0.00116179736887066,0.00423714334529301,0.00157184349906031,0.0339313172731932,0.121886212198872,0.00430548436699129,0.00382709721510337,0.00355373312831027,0.00140099094481462,4.39666732616677e-05,0.0144199555783359,0.0195455322057065,1,0.167708867247565,0.167708867
1.6,-37.3,7.38,15841,39564,1.6,4.3862534815887e-05,0.00307134399052694,0.0016651865008881,0.0209813499111901,0.162559206631143,0.00014801657785672,0.0062907045589106,0.00229425695677916,4.53833760693458e-05,0.00033303730017762,0.0158007696862049,0.0210553582001184,1,0.165519538188277,0.165519538
1.7,-35.5,7.34,15612,41823,1.38,0.00383426581634649,0.0116984232559959,0.00798153292382331,0.00559489807895458,0.309949528541805,0.00363864000939004,0.00555577291756328,0.00492977033530263,0.00391251613912907,4.39666732616677e-05,0.0264877342619038,0.0265268594232951,1,0.167886067530029,0.167886068
1.8,-33.8,7.32,16156,44055,1.35,0.00170978293190604,0.0102215283972643,0.0084002378828427,0.00624442462087422,0.322071067499257,0.00386559619387452,0.00512934879571811,0.00271335117454654,0.00152393696104668,4.39666732616677e-05,0.0218183169788879,0.028657448706512,1,0.165588760035682,0.16558876
1.9,-32,7.29,18582,46177,1.49,0.000958836171267978,0.00667878988262523,0.00393453463382377,0.00482724417259051,0.204628864275087,0.00495949743759299,0.00806744916515127,0.0021491155562903,0.00277731856505207,0.000529013060009919,0.0248636138204662,0.0231112580591833,1,0.16587865762936,0.165878658
2,-30.2,7.26,19637,48660,1.35,0.00188630154806817,0.00868349160921036,0.00497593339404189,0.00611421881097958,0.243267854819826,0.0076752959542084,0.00533368023936516,0.00325224404839339,4.53833760693458e-05,0.00445557434629895,0.0309613633407051,0.0233836347079485,1,0.169051645635488,0.169051646
2.1,-28.3,7.25,18748,46867,1.38,0.000939376656490086,0.00999765155835878,0.00392525245747643,0.00644143993021773,0.224846512564163,0.00486462911396652,0.00832019324319791,0.00476398161505687,0.000771630824973999,0.00362330996074748,0.0280806521957929,0.0235179655785554,1,0.167276143187842,0.167276143
2.2,-26.5,7.27,17882,46628,1.43,0.00310615090114494,0.0114855347274894,0.00675407230830354,0.00650124607216383,0.329829884061112,0.0039007476432983,0.00617618376855564,0.00444251814931195,0.000288944269873948,0.000975186910824575,0.0201538628237079,0.0194676201827573,1,0.175497525914689,0.175497526
2.3,-24.7,7.26,17134,47175,1.46,0.0028937418010649,0.0200632764873833,0.0133883787329269,0.00671348097847056,0.428852534917818,0.00378115595339147,0.0082953931630527,0.00590323327417239,0.00208349409676673,0.000810247704298171,0.0310594953314299,0.0282815032024076,1,0.179141909097924,0.179141909
2.4,-23,7.24,17184,55940,1.4,0.00366565961732125,0.0313393756294058,0.0274320241691843,0.00729103726082578,0.8402416918429,0.00576032225579053,0.00789526686807654,0.00636455186304129,0.00104733131923464,0.00229607250755287,0.0356092648539778,0.0261027190332326,1,0.190251762336354,0.190251762
2.5,-21.2,7.25,17375,53340,1.41,0.00189883032052256,0.0225960808142184,0.0154564788090536,0.00789913413337384,0.651450706364879,0.00113929819231353,0.00717757861157527,0.00725353182439617,0.00322801154488835,4.39666732616677e-05,0.0274570864347562,0.0271152969770621,1,0.184642260367614,0.18464226
2.6,-19.4,7.24,18780,55015,1.34,0.0018370883882149,0.0163258232235702,0.0127556325823224,0.00464471403812825,0.569012131715771,0.00481802426343154,0.0072790294627383,0.00506065857885615,0.001421143847487,0.00357019064124783,0.0288041594454073,0.0224263431542461,1,0.165961871750433,0.165961872
2.7,-17.6,7.22,18159,48471,1.2,0.00152905198776758,0.0131706978037253,0.00816652766194051,0.00736725048651654,0.362628579371699,0.00538643313872672,0.00708924103419516,0.00601195440644982,0.00111203780928552,4.39666732616677e-05,0.0216499860995274,0.0218932443703086,1,0.165102863497359,0.165102863
2.8,-15.8,7.22,16693,46852,1.22,0.00192094569634281,0.0231991134096786,0.0133727373476173,0.004617657923901,0.371998522349464,0.00531954192833395,0.0073882526782416,0.00701884004432952,0.000221647580347248,0.00144070927225711,0.0260805319541928,0.0271518285925379,1,0.170742519394163,0.170742519
2.9,-14,7.23,17488,52595,1.37,0.0038020006644273,0.0274999077184305,0.0279059466243402,0.011295264109852,0.546602192610092,0.00509394263777638,0.0069026614004651,0.00365435015318741,0.00206710715735853,0.00302683548041785,0.0274260824628105,0.0250267616551622,1,0.175482632608615,0.175482633
3,-12.2,7.22,17062,45941,1.2,0.000919929349425964,0.0118486900206064,0.0101560200176626,0.00522519870473948,0.341183397115102,0.00548277892257875,0.00838975566676479,0.00614512805416544,0.0016190756549897,0.00408448631145128,0.0214159552546364,0.0266411539593759,1,0.173351486605829,0.173351487
3.1,-10.4,7.23,15637,45572,1.22,0.000955268513519126,0.0115047555758608,0.0100926195123977,0.00544087718569589,0.529800224280434,0.00461020891307057,0.00768368152178428,0.00527474353117083,4.53833760693458e-05,0.00664534618100262,0.0257507164513851,0.0282842546828924,1,0.182497819495784,0.182497819
3.2,-8.6,7.24,16392,53193,1.37,0.000602435560910538,0.0100262489780111,0.00804681784930505,0.0061104178320926,0.911269848100176,0.0116184001032747,0.0069710400619648,0.00331339558500796,4.53833760693458e-05,0.00438917337234821,0.0288308447007186,0.0227634579801196,1,0.186539868324799,0.186539868
3.3,-6.8,7.24,16392,51053,1.37,0.000962786219598979,0.0103394867930847,0.00707438570053163,0.00502323245008163,0.763531332412407,0.0121813386914479,0.0067813638076102,0.00481393109799489,0.00226045460253673,0.00343254217422245,0.0220603625099418,0.0258696471179204,1,0.191971200133953,0.1919712
3.4,-5,7.24,15338,47209,1.31,0.00194008301750587,0.0135354629128316,0.0122270348312579,0.00464717560007219,0.725636166756903,0.00974553329723877,0.0055946580039704,0.00622631293990255,0.000812127774769897,0.0041959935029778,0.0353275582024905,0.0294621909402635,1,0.197392167478794,0.197392167
3.5,-3.2,7.24,15334,46614,1.27,0.000279017857142857,0.0105096726190476,0.00837053571428571,0.00530133928571429,0.75297619047619,0.0130208333333333,0.00734747023809524,0.00651041666666667,0.000325520833333333,0.00483630952380952,0.0421781994047619,0.0338076636904762,1,0.202985491071429,0.202985491
3.6,-1.4,7.25,14570,43688,1.33,0.0012306177701206,0.0145212896874231,0.0107802116662565,0.00610386413979818,0.733940438099926,0.0131922224956928,0.00989416687176963,0.00344572975633768,4.53833760693458e-05,0.00630076298301747,0.0394782180654689,0.0250553777996554,1,0.197538764459759,0.197538764
3.7,0.4,7.26,14318,45597,1.41,0.00206747012253542,0.0160859260753366,0.0186576572033685,0.00716050627804952,0.864000806817609,0.0170944480863295,0.00615198426705663,0.00509303615551409,4.53833760693458e-05,0.00312641823407796,0.040290454339166,0.028087338006152,1,0.204931672633755,0.204931673
3.8,2.2,7.27,14471,46621,1.27,0.00177121771217712,0.019089790897909,0.0207626076260763,0.00747847478474785,0.82179581795818,0.0128905289052891,0.00900369003690037,0.00683886838868389,0.00329643296432964,0.00777367773677737,0.0441328413284133,0.0377367773677737,1,0.211512915129151,0.211512915
3.9,4,7.24,15068,51808,1.32,0.00254373669729533,0.0215958054300992,0.022166848362145,0.0249701500285521,1.27404869438821,0.0148990292270155,0.0049317344131236,0.0034781705860977,4.53833760693458e-05,0.0020246067590718,0.0238280641644604,0.0171832009551991,1,0.193116337019156,0.193116337
4,5.8,7.23,12009,41870,1.31,0.00232934325461016,0.0398576512455516,0.0317696538337108,0.00789388547395665,1.23351666127467,0.0101585247492721,0.00433516661274668,0.00148819152377871,0.00271756713037852,0.00427046263345196,0.0379165318667098,0.0322872856680686,1,0.211711420252346,0.21171142
4.1,7.5,7.22,11767,41510,1.22,0.00229559111471204,0.0247788805617447,0.0249139153331983,0.00499628654378502,1.29160758895416,0.0172844507460671,0.00661670380122882,0.00263317804334616,0.000270069542907299,0.00229559111471204,0.0599554385254203,0.0354466275065829,1,0.223550064141516,0.223550064
4.2,9.3,7.23,12800,40576,1.31,0.00236994219653179,0.0194219653179191,0.0198843930635838,0.00705202312138728,0.93,0.0127167630057803,0.00988439306358382,0.00335260115606936,0.00167630057803468,4.39666732616677e-05,0.0386127167630058,0.018728323699422,1,0.208150289017341,0.208150289
4.3,11.2,7.23,14595,50854,1.42,0.0011991061208917,0.0164059519267455,0.0209298522919278,0.00779418978579604,1.33629476208644,0.0158063988662997,0.0094293344961029,0.00517795824930506,4.53833760693458e-05,0.00201667847604513,0.0307952253774459,0.0300321578459694,1,0.212405297868861,0.212405298
4.4,12.9,7.26,15989,61333,1.3,0.00526853394978765,0.0490296220633299,0.044782538573195,0.0110209128541476,1.752486425461,0.017364657814096,0.00956937799043062,0.00612870275791624,0.00215042202032149,0.00698887156604484,0.0464491156389441,0.0281705284662115,1,0.226815762593409,0.226815763
4.5,14.8,7.28,15878,55176,1.48,0.00707408135193555,0.0133130280998231,0.0126743957555512,0.0101198663784634,1.25093338573394,0.014885046178031,0.00653370013755158,0.00196502259775987,4.53833760693458e-05,0.00501080762428768,0.0385635684810375,0.0321281194733739,1,0.214187463155826,0.214187463
4.6,16.5,7.28,16784,56115,1.46,0.00229863920559029,0.0199521883045237,0.014205590290548,0.00993012136815006,1.16085877160721,0.0152629643251195,0.00753953659433615,0.0047811695476278,4.53833760693458e-05,0.00243655755792571,0.034571533652078,0.0241357116586981,1,0.194740713497609,0.194740713
4.7,18.3,7.28,17104,59889,1.45,0.00677934621099554,0.0171805349182764,0.0160661218424963,0.00947251114413076,1.33432392273403,0.0145802377414562,0.00682578008915305,0.00543276374442793,0.000882243684992571,0.00543276374442793,0.0348254086181278,0.0301820208023774,1,0.205841381872214,0.205841382
4.8,20.1,7.27,17362,60507,1.36,0.00541969596827495,0.0261291033267239,0.0267459792905926,0.00766688697951091,1.24260850407579,0.011015642211941,0.0057281339502093,0.00343688037012558,4.53833760693458e-05,0.00308437981934347,0.0354703679224499,0.0208856576338401,1,0.190967173386208,0.190967173
4.9,21.9,7.27,18459,62071,1.3,0.00132338787295476,0.00906320179659929,0.00838145652871351,0.00388995829323067,1.11609720885467,0.0124719281360282,0.00729868463265961,0.00453160089829965,4.53833760693458e-05,0.00312800769971126,0.0236605710619185,0.0209736926531922,1,0.191891241578441,0.191891242
5,23.7,7.26,18187,63738,1.48,0.00153178452897626,0.0189345587609565,0.0179133690749723,0.00574419198366097,1.2675942472981,0.0115309335375713,0.0073610756531359,0.00327631690919922,0.00242532550421241,0.00451025444643009,0.0488469066462429,0.0300399965960344,1,0.197174708535444,0.197174709
