"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,1.54132322151837,0.245186299934987,2.896325963,0.085387528,62.8352348744277,-112.973710483288,238.644180232143
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,1.50976366270431,0.191671624049888,2.113253146,0.03629458,59.7752961993284,-116.038709314015,235.589301712672
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,1.76858735841107,0.218581817241434,6.431024383,0.078886265,84.8702172402528,-91.0329572622315,260.773391742737
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,1.63372834927209,0.1624926576575,35.64216716,0.676354366,71.7946131045546,-104.02496730813,247.614193517239
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,1.40176972103445,0.169295937768965,40.9140318,0.917402906,49.3044641848833,-126.560333907366,225.169262277133
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,1.36822787759101,0.149524814663102,27.74345656,3.945793598,46.0523279750139,-129.838786257418,221.943442207446
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,1.44449605427658,0.196991221204881,60.55383697,6.691084732,53.4471063651197,-122.3914032161,229.285615946339
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,1.64249180487797,0.167398696891861,6.355756988,0.110447115,72.6442966154661,-103.178262107148,248.46685533808
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,1.64829609602764,0.11045322584039,31.40903404,0.597663272,73.2070666806325,-102.617652490284,249.031785851549
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,1.61929535458366,0.181818988490682,6.255310392,0.136212551,70.3952247637723,-105.420194249423,246.210643776967
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,1.62206910753448,0.257807691159405,30.42377281,3.299014819,70.6641611573192,-105.151985754874,246.480308069512
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,1.63566271528168,0.23779284826348,21.97235957,0.521915705,71.9821645655689,-103.838043907677,247.802373038815
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,1.65420058742422,0.17642978985105,39.24997232,1.135258391,73.7795519199742,-102.047518560389,249.606622400338
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,1.78692143893127,0.0974764512150816,13.33706426,0.180364254,86.6478454506685,-89.272927224135,262.568618125472
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,1.64148245111274,0.194773164675832,13.96054981,0.385854347,72.5464321097776,-103.275766192334,248.368630411889
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,1.76619939505203,0.206768593182627,13.08141258,0.324463031,84.6386860746843,-91.2623060734968,260.539678222866
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,1.65021181510591,0.181988358861663,11.39582517,0.228978244,73.3928101801776,-102.43265490269,249.218275263045
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,1.4649587679403,0.140349346902602,8.138802933,0.19067742,55.4311217091239,-120.397668879495,231.259912297743
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,1.72027402459518,0.0960102311915506,5.71655892,0.108668636,80.1858729648074,-95.678071264401,256.049817194016
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,1.24921038536836,0.116889719842444,10.71344504,0.348935486,34.5126790968056,-141.512079955307,210.537438148918
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,1.69250433548653,0.137388663857677,9.674570314,0.181126451,77.493390912074,-98.3526939108341,253.339475734982
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,1.52239363233392,0.192817258000212,58.14267286,6.463462839,60.9998675807812,-114.81158170441,236.811316865972
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,1.54252869320422,0.228986478708257,5.057282645,0.115798204,62.9521145005024,-112.856725331164,238.760954332169
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,1.41515429199378,0.177557444724328,16.90685979,0.392208159,50.6021998905491,-125.25349105556,226.457890836659
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,1.51868439227099,0.193837202475044,5.156965844,0.162421667,60.6402286140054,-115.171897883833,236.452355111844
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,1.27502595885561,0.119821635057232,15.8979202,0.224859279,37.015694813816,-138.974744159147,213.006133786779
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,1.15650267375921,0.146026237770918,34.80855314,1.065068086,25.5239630661364,-150.648354913317,201.69628104559
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,1.02870675205877,0.188094393364551,12.27077458,0.312493156,13.1331788465255,-163.304743193233,189.571100886284
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,1.00036509768005,0.198167379489607,5.275218799,0.119640341,10.3852404212549,-166.121324862301,186.89180570481
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,1.05090185435994,0.0989362278856016,16.62081972,0.226326755,15.2851624128762,-161.101468690703,191.671793516455
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,1.3068740227729,0.0852855034755719,8.204676276,0.204151273,40.1036062476138,-135.848560774958,216.055773270185
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,1.0592885833641,0.0886984876715411,9.348601732,0.169618079,16.0983194214581,-160.269494868524,192.46613371144
