"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.94747911924558,-4.25006421223963,9.54388200499906,5.1735301264337,9.26635314253771,7.96956491370297,10.5631413713725
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-2.18566127969683,-4.48824636379434,9.14377187171782,3.304647550641,9.10174218460748,7.80481169314738,10.3986726760676
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.58289751158179,-5.88548242468768,8.27949587269265,3.88158857289427,8.13609306063587,6.83539078202653,9.43679533924521
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.30578547066899,-5.60837048185318,8.42689211285074,3.32582393071755,8.32760899290484,7.02805277039988,9.62716521540981
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.57319543752514,-3.87578052087512,9.82855417128756,3.50355067375237,9.5250257285489,8.22816581933078,10.821885637767
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.34329776252592,-3.64588284019333,10.4469976275415,5.15703858194915,9.68391116495546,8.38682835884197,10.9809939710689
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.8433501194004,-4.14593520607678,10.1602156930854,3.64773917300838,9.33831812253604,8.04154618289446,10.6350900621776
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.75440487274134,-6.05699000844418,10.1783639253917,5.29616788707133,8.01756197098972,6.71605215013949,9.31907179183995
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.97679776780181,-6.2793829141418,9.93036942402266,7.00945463356136,7.86386319093237,6.56119465650151,9.16653172536323
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.7301808626685,-5.03276587898425,7.76434259814642,2.27103707812829,8.72541723233178,7.42761295245364,10.0232215122099
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.03679429687885,-5.3393793898729,8.73921076841923,2.71722094895158,8.51351248252171,7.21488075429885,9.81214421074457
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.02506288103394,-5.32764793283739,8.21468216401249,3.35831851941963,8.52162022491707,7.22302459557588,9.82021585425826
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-3.19972723493725,-5.50231242603466,8.74585699995511,3.66217734560713,8.40090729428525,7.10173771978394,9.70007686878656
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-3.59839219500776,-5.90097725146237,8.23051471759084,2.46944614218091,8.12538447239928,6.82461232044036,9.42615662435819
"Bird Island","BI10","BI10.3",95,93,94,93.5,-2.49347310531849,-4.79605821041577,9.34055718331538,4.53403149960049,8.88900921005624,7.59167850247013,10.1863399176423
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-2.48761123187513,-4.79019627673918,8.86409264544503,4.16270140553045,8.89306043119282,7.59573962280203,10.1903812395836
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-3.29483677426283,-5.59742175936484,7.5945083648187,3.31438773523264,8.33517578716051,7.03566081249415,9.63469076182687
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-1.7961421692426,-4.09872723210487,9.67361768204715,1.68344586805776,9.37094418438163,8.07417042790428,10.667717940859
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-3.40021636301834,-5.70280145601238,8.35184985703952,3.72095422651058,8.26234650801351,6.96242179748278,9.56227121854425
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-0.914848112949401,-3.21743321592903,8.01280853633787,2.7498274927808,9.98001859427782,8.68215744177838,11.2778797467773
"Bird Island","BI10","BI10.4",145,141,142,141.5,-2.79727470525213,-5.09985986384574,10.5121855049979,5.17564528163103,8.67904775748116,7.38108304750468,9.97701246745765
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-1.70790588632624,-4.01049099587247,8.71190613126309,4.50899709495294,9.43192548973022,8.13513294474408,10.7287180347164
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-1.9452652990158,-4.24785041999179,10.8005846115197,6.40102950815504,9.26788314406267,7.97109555213388,10.5646707359915
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-2.02946360319369,-4.33204868096773,10.8571670692609,6.45126665198848,9.20969254120407,7.91287183543503,10.5065132469731
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-1.80610646494266,-4.10869157011011,10.4378555921576,5.195126236626,9.36405772295572,8.06728482794137,10.6608306179701
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-1.13678928740083,-3.43937437727813,10.2790078874822,5.48800172047141,9.82663200452905,8.52923298687069,11.1240310221874
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-0.772079441674206,-3.07466453466825,10.1204160254,5.37069039559367,10.0786879811728,8.78046264606741,11.3769133162781
"Bird Island","BI10","BI10.5",197,194,195,194.5,-0.613182080205471,-2.91576717504581,10.2056468348869,5.85054459330883,10.1885041270772,8.88981193911598,11.4871963150385
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-0.384768343906849,-2.68735342955453,11.1610073177993,6.75009657343813,10.3463639930945,9.04688728945493,11.6458406967341
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.522604592575543,-2.82518968388317,11.5829680732906,7.41406967584827,10.2511034711147,8.95211617948445,11.5500907627449
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-1.23279098789321,-3.53537608088726,10.7399098377358,6.26174273085966,9.76028391258529,8.46304554485818,11.0575222803124
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-0.492179982513576,-2.79476508205114,10.2519418682607,5.01178667700049,10.2721303364243,8.973039202528,11.5712214703206
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-1.54461961637468,-3.84720469531016,11.1310995537805,6.91195722841442,9.54477487048425,8.24789466259668,10.8416550783718
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-1.89389759569652,-4.19648267540013,10.076597018011,4.43455539823,9.30338406837221,8.00660770979506,10.6001604269494
"Bird Island","BI10","BI10.7",271,265,266,265.5,-0.390067371053129,-2.69265246700134,10.9810035594278,6.5541796363862,10.3427017627537,9.04324477354706,11.6421587519603
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-1.23934927419338,-3.54193436373406,10.8172296000719,5.2756796014742,9.75575139097155,8.45852313263683,11.0529796493063
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.739152336381814,-1.56343275613471,11.1987648930042,7.00878874675648,11.1231209906354,9.8178445935077,12.4283973877631
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,0.0754054948640773,-2.2271795944205,11.2230589765515,7.31892564511057,10.6643964446895,9.3629339364604,11.9658589529187
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.0145411590676838,-2.31712625510567,11.0838038999157,6.67766189127939,10.6022330784732,9.30120123157554,11.9032649253709
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-0.288035664291341,-2.5906207612868,11.3951650102964,7.4150808541178,10.4132172747362,9.11336805850343,11.7130664909689
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-1.44504253631398,-3.747627625066,11.2410963520968,6.05049713336689,9.61359395628661,8.31662658316343,10.9105613294098
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,0.474889010065912,-1.82769608541595,12.4080433529741,7.83259710065387,10.9404849812538,9.63686095361906,12.2441090088886
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-0.556531764179254,-2.85911685891791,10.4060643912265,6.01879523958658,10.2276559374834,8.92878164503174,11.5265302299351
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-0.639818183920959,-2.94240328260341,9.9005221972127,5.27433389563226,10.1700955504658,8.87148614079194,11.4687049601397
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,0.361475435121128,-1.94110965787292,11.4267416940747,7.70076701106924,10.8621033040595,9.5591341566353,12.1650724514836
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-0.0923996538971006,-2.39498474250393,11.0561258807318,6.7077611748249,10.5484240048105,9.24774827952171,11.8490997300992
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.185423008527088,-2.48800810633604,11.1546227764023,6.47996572814451,10.4841342885424,9.18386375732632,11.7844048197585
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-0.48934337840653,-2.79192847140058,10.8976220776579,6.03398345369823,10.2740907524288,8.97498981603722,11.5731916888203
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-0.405661502392259,-2.70824659538631,10.5999305078092,5.68768357295285,10.3319244447003,9.03252505464554,11.631323834755
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.064840966869671,-2.36742605986372,10.8995670742494,6.80379975441748,10.5674701914026,9.26667018251564,11.8682702002896
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-2.41318979092567,-4.71577487275018,9.90943932802911,5.71327117389138,8.94449410977744,7.64729129369523,10.2416969258596
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-0.300724588157962,-2.6033096770995,10.840000929173,7.27906111255176,10.4044477854141,9.1046487978325,11.7042467729956
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.031542744576315,-2.27104234744878,10.4367072074209,6.14783017868893,10.634082296356,9.33283237811291,11.9353322145991
