,Model,Shapiro_W,Shapiro_p,BreuschPagan_stat,BreuschPagan_p,CV10_RMSE,AIC,BIC
Ti,,,p > 0.05 desirable,,p < 0.05 indicates heteroscedasticity,,Not used for ranking.,Not used for ranking.
,OLS,0.986192624,0.01112692,13.96313016,0.000186431,0.644447516,527.0088981,537.7818591
,WLS,0.987310853,0.018361031,1551.845569,0,NA,487.4879829,498.2609438
,OLS_weighted,0.984183843,0.004619158,6.90587723,0.008591286,NA,558.906329,569.67929
,WLS_weighted,0.987174209,0.017264208,1332.81509,8.36E-292,NA,487.9961885,498.7691494
,Bayes,0.980844181,0.001142885,12.96650255,0.011440634,0.617880212,503.7666158,525.3125377
,RF,0.973715397,7.56E-05,NA,NA,0.62468093,NA,NA
,PLS_LOO,0.981105784,0.001271215,NA,NA,0.620336808,NA,NA
,PLS_kfold,0.981105784,0.001271215,NA,NA,0.620336808,NA,NA
