depth	min	max	median	wmean
155	3109.2	3691.6	3405.2	3405
156	3118	3702.9	3417.5	3417.3
157	3127.1	3714.7	3428.6	3429.3
158	3138.7	3729	3439.7	3441.6
159	3147.9	3745.9	3451.7	3454
160	3156.1	3762.6	3462.1	3465.8
161	3173.2	3770.2	3475.6	3478.1
162	3189.5	3776.3	3488.2	3490.4
163	3205.2	3785.2	3501.8	3503
164	3215.6	3792.9	3515.4	3515.3
165	3226	3805.1	3528.4	3527.6
166	3235.8	3817	3541.7	3540.1
167	3241.1	3831.9	3554.6	3552.7
168	3250.7	3845	3567.1	3565.2
169	3266.9	3854	3580	3577.7
170	3281.3	3861.1	3592.8	3590
171	3292.4	3869	3605.5	3602.5
172	3301.5	3879.3	3619.2	3614.9
173	3312.9	3885.4	3632.8	3627.3
174	3323.9	3898.5	3646.5	3640.1
175	3332.8	3909.6	3659	3652.6
176	3343.5	3925.7	3672.8	3665
177	3356	3930.1	3684.4	3677.1
178	3373.2	3938.9	3696.9	3689.2
179	3386.5	3949	3708.9	3701
180	3400.3	3958.9	3721.9	3713.3
181	3412.9	3967.9	3734	3725.5
182	3422.8	3980.8	3746.1	3737.6
183	3434.3	3993.1	3758.7	3749.8
184	3441.4	4006.6	3770.6	3762
185	3462.2	4014.9	3781.1	3774
186	3476.2	4020.7	3792.9	3786
187	3489.6	4028	3805.2	3797.9
188	3502	4034.5	3818.3	3809.9
189	3512.7	4043.1	3832.2	3821.9
190	3521.4	4054.8	3846.2	3833.9
191	3530.1	4066.5	3858.8	3845.4
192	3540.7	4080.7	3872.2	3857.7
193	3549.3	4090.7	3884.8	3866.9
194	3558.1	4104.4	3895.3	3876
195	3565.6	4115.5	3905.1	3885.3
196	3571.5	4125.2	3912	3894.3
197	3579	4140.1	3920.5	3903.3
198	3585	4160	3929	3912.4
199	3593.2	4175.5	3937	3921.4
200	3597	4199.4	3945.3	3930.8
201	3606.4	4211.9	3952.6	3939.5
202	3610.9	4225.8	3961.5	3948.1
203	3617.1	4240.1	3969.3	3956.8
204	3623.5	4258	3976.7	3965.6
205	3628.5	4273.7	3983.9	3974.3
