depth	min	max	median	wmean
0	-66.2	-58.9	-61.4	-61.6
1	-65.3	-58.8	-61.1	-61.3
2	-64.6	-58.6	-60.8	-61
3	-64.2	-58.4	-60.5	-60.7
4	-63.8	-58.2	-60.3	-60.4
5	-63.5	-57.8	-60	-60.1
6	-62.9	-57.7	-59.8	-59.9
7	-62.4	-57.6	-59.5	-59.6
8	-62	-57.5	-59.3	-59.4
9	-61.7	-57.3	-59	-59.1
10	-61.4	-57	-58.8	-58.9
11	-60.4	-56.9	-58.5	-58.5
12	-59.6	-56.7	-58.1	-58.1
13	-58.9	-56.5	-57.8	-57.7
14	-58.5	-56.2	-57.4	-57.3
15	-58.2	-55.6	-57	-57
16	-57.3	-55.1	-56.3	-56.2
17	-56.5	-54.5	-55.5	-55.5
18	-55.9	-53.7	-54.8	-54.8
19	-55.4	-52.8	-54.1	-54.1
20	-55	-51.7	-53.3	-53.3
21	-52.8	-50.2	-51.5	-51.5
22	-50.8	-48.6	-49.7	-49.7
23	-49.1	-46.6	-47.9	-47.8
24	-47.7	-44.4	-46	-46
25	-46.4	-42.1	-44.2	-44.2
26	-42.8	-39.6	-41.2	-41.2
27	-39.6	-36.7	-38.2	-38.2
28	-36.8	-33.5	-35.2	-35.1
29	-34.3	-30.1	-32.1	-32.1
30	-31.9	-26.4	-29.1	-29.1
31	-24.7	-20.7	-22.7	-22.7
32	-18.7	-14.4	-16.2	-16.3
33	-13.4	-7.7	-9.7	-9.8
34	-8.5	-0.5	-3.2	-3.4
35	-3.5	7	3.3	3
36	4.9	109.8	35.5	41.8
37	7.8	214.7	68.1	80.5
38	10.8	321.3	101.1	119.4
39	14.3	427.9	134	158.3
40	17.6	533.9	166.5	197.2
41	44.8	567.9	215.7	242.4
42	61.5	616	265	288
43	75.6	677.9	312	333.6
44	87.2	770.7	357.3	379.1
45	97.6	873.9	398.4	423.9
46	138.6	895.1	443.5	464.2
47	167.6	922	488.7	504.7
48	189.5	953.8	531.5	544.5
49	207.8	998.3	574.1	584.6
50	225.7	1055.8	615	624.7
51	283.7	1074.5	657.9	665.8
52	325.8	1094.9	700.8	707.3
53	358.9	1126.1	746.8	748.6
54	384.3	1162.6	792	790.2
55	409.1	1210.5	834.4	831.4
56	472	1225.7	880.3	875.1
57	522.4	1243	926.8	918.4
58	567.5	1262	975.8	962
59	599.1	1286.6	1023.4	1005.7
60	626.5	1329.3	1070.5	1049.1
61	736.2	1339.8	1106.9	1091
62	833.8	1352.8	1145.3	1133.6
63	914.1	1370.4	1187.2	1175.9
64	963.5	1392.3	1230.8	1218.2
65	997.2	1430.2	1275.5	1260.7
66	1086.8	1444.3	1301.4	1294.1
67	1160	1463	1328.2	1327.4
68	1196.7	1489.2	1357.1	1360.8
69	1230.2	1523.2	1390.9	1394.2
70	1258.6	1580.5	1420.6	1427.3
71	1286.8	1617.1	1452.1	1457.7
72	1314.3	1669.3	1481.4	1488.1
73	1334.5	1735.4	1507.1	1518.1
74	1345.3	1812.1	1531.2	1547.3
75	1356	1890.5	1553.5	1576.5
76	1384.5	1923.6	1587.5	1608.5
77	1404	1956.1	1620.6	1640.1
78	1421.1	1998.5	1652.6	1671.4
79	1432.8	2050.1	1683.9	1702.9
80	1443.8	2107.3	1712.8	1733.2
81	1474.1	2131.4	1745.2	1764.2
82	1497.5	2158.4	1778.1	1794.9
83	1515.2	2188.7	1810.9	1825.7
84	1530.1	2229.8	1842.1	1856.7
85	1545.1	2281.4	1873.5	1887.8
86	1573.2	2303.7	1906.8	1919.4
87	1600.6	2333.7	1942.1	1951.5
