"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter"
"Bird Island","BI10","BI10.01","ACE_ITRAX_2",0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,0,0.000659648737047522,0,0.000604678008960229,0.15435780446912,0,0,0,0.0232801033449688,1,0.147706346370558,6.770189802754,0.147706346370558,41757
"Bird Island","BI10","BI10.01","ACE_ITRAX_3",0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,0,0.00182355704141685,0.000193407564998757,0.000884148868565745,0.175310142845302,0,0.000690741303566988,0,0.0176829773713149,1,0.145912192965491,6.85343684908161,0.145912192965491,41474
"Bird Island","BI10","BI10.01","ACE_ITRAX_4",0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,0,0.000771243630353946,0,0.000330532984437405,0.161492907313042,0.000991598953312216,0,0,0.0234127530643162,1,0.15036496350365,6.6504854368932,0.15036496350365,41764
"Bird Island","BI10","BI10.01","ACE_ITRAX_5",0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,0.000723530830452609,0.00158104885172977,0.00128627703191575,0.000241176943484203,0.183669641182303,0,0,0.0028137310073157,0.01664120910041,1,0.152798992416325,6.54454577341284,0.152798992416325,43019
"Bird Island","BI10","BI10.01","ACE_ITRAX_6",0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,0.000214575007376016,0.0013947375479441,0.00093876565727007,0.00053643751844004,0.138856851648204,0,0,0.000831478153582062,0.0156639755384492,1,0.147654426950621,6.77257039055404,0.147654426950621,42788
"Bird Island","BI10","BI10.01","ACE_ITRAX_7",0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,0.000597946184843364,0.00111789938905498,0,0.000649941505264526,0.113817756401924,0,0.000129988301052905,0,0.0230599246067854,1,0.144339009489146,6.92813400576369,0.144339009489146,44017
"Bird Island","BI10","BI10.01","ACE_ITRAX_8",0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,0,0.000550013750343759,0,0.000425010625265632,0.103927598189955,0.00130003250081252,0,0,0.0201755043876097,1,0.147203680092002,6.79330842391304,0.147203680092002,45887
"Bird Island","BI10","BI10.01","ACE_ITRAX_9",0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,0.000325912555154432,0.00112815884476534,0.000325912555154432,0.000852386682711592,0.146811070998797,0,0.00220617729643,0,0.0214099478539912,1,0.14046831127156,7.11904336962342,0.14046831127156,45491
"Bird Island","BI10","BI10.01","ACE_ITRAX_10",0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,0.00036241263266891,0.00157908361377168,0.000517732332384157,0,0.133885581154543,0,0,0.00339114677711623,0.0240486668392441,1,0.149521097592545,6.68801939058172,0.149521097592545,44406
"Bird Island","BI10","BI10.01","ACE_ITRAX_11",1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,0,0.000815619105877555,0.00101952388234694,0,0.118035377478717,0,0.00249783351175001,0,0.0240862517204466,1,0.140694295763878,7.10760869565217,0.140694295763878,44754
"Bird Island","BI10","BI10.01","ACE_ITRAX_12",1.1,1.1,1.1,-47.7,7.5,1,TRUE,22141,55665,1.32,0.000245978255522212,0.000737934766566635,0.000122989127761106,0.000221380429969991,0.145299355536971,0,0.00177104343975993,0.00120529345205884,0.0184975648152703,1,0.143479116446106,6.96965540888051,0.143479116446106,46487
"Bird Island","BI10","BI10.01","ACE_ITRAX_13",1.2,1.2,1.2,-46.1,7.49,1,TRUE,21695,54611,1.33,0,0.000649512865350987,0,0.000499625281039221,0.136472645515863,0,0.00179865101174119,0,0.0235073694728953,1,0.145041219085686,6.89459180158457,0.145041219085686,45836
"Bird Island","BI10","BI10.01","ACE_ITRAX_14",1.3,1.3,1.3,-44.6,7.51,1,TRUE,21725,55614,1.37,0.000175390243291323,0.00120267595399764,0,0.000977174212623086,0.16263686702914,0,0.000275613239457794,0,0.0186915887850467,1,0.149532710280374,6.6875,0.149532710280374,45879
"Bird Island","BI10","BI10.01","ACE_ITRAX_15",1.4,1.4,1.4,-43,7.51,1,TRUE,21319,54727,1.34,0.000306466441924609,0.00148125446930228,0.000715088364490755,0.000689549494330371,0.162197364388599,0,0.000791704974971907,0,0.0195372356726938,1,0.150040862192257,6.66485106382979,0.150040862192257,45031
