"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"strat_depth_top",1,421,"249.90","145.58","247.50","249.33","186.66","0.00","505.30","505.30","0.03","-1.21","7.095","123.90","375.80"
"strat_depth_bottom",2,421,"250.92","145.60","248.70","250.35","186.81","1.10","507.00","505.90","0.03","-1.21","7.096","124.90","376.90"
"depth",3,421,"250.41","145.59","248.10","249.83","186.66","0.60","506.20","505.60","0.03","-1.21","7.096","124.40","376.40"
"accrate",4,420,"0.08","0.04","0.09","0.08","0.04","0.02","0.17","0.15","0.33","-0.59","0.002","0.05","0.11"
"accrate_err",5,420,"0.02","0.13","0.01","0.01","0.00","-0.79","2.37","3.16","13.96","259.00","0.006","0.00","0.01"
"Water_Content",6,421,"81.01","5.91","82.29","81.81","4.24","35.37","90.18","54.81","-2.95","14.79","0.288","78.80","84.62"
"Water_Content_err",7,421,"4.05","0.30","4.11","4.09","0.22","1.77","4.51","2.75","-2.94","14.70","0.014","3.94","4.24"
"Dry_mass",8,421,"18.99","5.91","17.71","18.19","4.24","9.82","64.63","54.81","2.95","14.79","0.288","15.38","21.20"
"Dry_mass_err",9,421,"0.95","0.30","0.89","0.91","0.21","0.49","3.23","2.74","2.95","14.76","0.014","0.77","1.06"
"C_org_pc",10,421,"38.04","6.55","39.47","39.15","3.74","1.18","52.34","51.16","-2.35","7.42","0.319","36.75","41.87"
"C_org_pc_err",11,421,"3.80","0.65","3.95","3.92","0.37","0.15","4.71","4.56","-2.38","7.47","0.032","3.68","4.19"
"Dry_density",12,421,"0.22","0.08","0.21","0.21","0.05","0.09","1.00","0.92","3.98","29.02","0.004","0.18","0.25"
"Dry_density_err",13,421,"0.65","0.54","0.51","0.59","0.47","0.01","4.86","4.85","2.25","10.78","0.026","0.28","0.98"
"DMAR",14,420,"0.02","0.01","0.02","0.02","0.01","0.00","0.07","0.07","0.98","3.06","0.000","0.01","0.02"
"DMAR_err",15,420,"0.05","0.04","0.04","0.05","0.04","-0.07","0.35","0.42","1.82","7.09","0.002","0.02","0.08"
