"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.81328090290992,-9.11586690575542,7.35055584285185,3.16584007729043,8.27417111744842,7.36465056603699,9.18369166885986
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.95629657412204,-9.25848074730412,7.24247120132883,2.83029653665937,8.20076844076287,7.29032509657522,9.11121178495051
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.61341616388981,-8.91600051186034,7.84267996218333,3.49737575689997,8.37675153185193,7.46840986078475,9.28509320291911
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.78752240865557,-8.09010684924219,8.75807660650184,4.56666103966707,8.80064082858615,7.89579236376854,9.70548929340377
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.17661154619333,-7.47919646210563,9.04100380665293,4.62895784972354,9.11419033082567,8.21048769765096,10.0178929640004
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.46800427769552,-7.77059055562407,9.04402113279338,3.3115031111118,8.96463324888006,8.06053715482978,9.86872934293035
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.14807798302009,-7.45066342021498,9.28899573342214,4.54587537966246,9.12883515886822,8.22515602819838,10.0325142895381
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.4144364373621,-7.71702063185287,8.85011583510835,4.21608464007972,8.99212689927105,8.08812409832544,9.89612970021666
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.55585672959534,-7.85844078759574,8.89923601451618,5.85779993732473,8.9195430495461,8.01527352426817,9.82381257482403
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.9883371068312,-7.29092234651754,8.66848236944953,4.25898926679981,9.21082203337633,8.30722494991021,10.1144191168425
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.70833710932971,-7.01092264579444,9.11437754626484,3.8295549773079,9.35453180388165,8.45087573608513,10.2581878716782
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.15151263079245,-7.45409755109399,8.79883085915351,2.53000541148801,9.12707232869845,8.22339051092806,10.0307541464688
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.24362181640191,-7.54620596262305,9.20085797360353,4.11739559205492,9.07979736425743,8.17602899476414,9.98356573375073
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.19349439534134,-7.49607948833539,8.87915750034754,4.24660761374236,9.10552522226071,8.20180742052903,10.0092430239924
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.06297777026152,-7.36556317937658,8.81471969158889,2.64000307582772,9.17251277370614,8.26888781401728,10.076137733395
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.14750195684143,-7.45008704983547,8.79563762526239,4.18805042109457,9.12913080383493,8.22545212001563,10.0328094876542
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-5.14047533671548,-7.44305974652201,8.86638463037066,4.10991629289742,9.13273721088757,8.22906388998069,10.0364105317945
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.33822061657663,-7.64080612585479,8.62807448322606,4.1592873995816,9.03124460716994,8.12735827163131,9.93513094270858
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.45868379081886,-7.76126841423664,8.58487534895951,4.48016058343282,8.9694169811729,8.06533779780829,9.87349616453752
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-5.15347115361755,-7.45605607358055,8.63892667704869,4.53399877767637,9.12606711845475,8.22238375103889,10.0297504858706
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.37845684557044,-7.68104150518931,8.61036395885455,2.90213194172611,9.01059339543317,8.10664795665384,9.9145388342125
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.53076380585179,-7.83334915118244,8.76969936588547,4.31011366097826,8.93242197220564,8.02820457212899,9.83663937228228
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-4.88353473502783,-7.18611956382838,8.63815616889409,3.85968764448832,9.26461176528586,8.36102284701489,10.1682006835568
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-5.24385778015776,-7.54644268375247,8.77955772742215,5.05638366527194,9.07967625605206,8.17590762895809,9.98344488314603
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-5.18007861252482,-7.48266441630624,8.72857245906881,4.12291978803064,9.11241086185684,8.20870519024747,10.0161165334662
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-5.10795621408438,-7.41054163774269,8.71490494063882,4.5998015726379,9.14942762407347,8.24577700499329,10.0530782431536
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-5.26380309595627,-7.56638896181025,9.17960398133751,4.26436897014259,9.06943933897479,8.16564827505741,9.97323040289217
"Bird Island","BI10","BI10.5",197,194,195,194.5,-5.09946765534451,-7.40205324014252,8.89407516616314,4.72082121720396,9.15378436992816,8.2501391035309,10.0574296363254
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-4.79489165472022,-7.09747735217087,8.67703049899777,2.96549641277503,9.31010775400573,8.40649749745877,10.2137180105527
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-4.86450739660942,-7.16709223038934,8.81944482295733,5.04967493380545,9.27437753122099,8.37078621444071,10.1779688480013
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-5.05059063302098,-7.3531755699004,9.04275541013175,4.72022734180747,9.17887046179878,8.27525139845314,10.0824895251444
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-4.76152333948079,-7.06410854939875,8.88158935590362,3.43696104211444,9.32723401460572,8.42360901987714,10.2308590093343
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-5.64016647265859,-7.94275072112426,8.78336639404459,4.96126055459595,8.87627114263503,7.97181132544641,9.78073095982365
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-5.21850151537372,-7.52108623905329,8.73889307890912,4.69045622977935,9.092690338286,8.1889483439527,9.9964323326193
"Bird Island","BI10","BI10.7",271,265,266,265.5,-4.97944103382905,-7.28202554525091,8.95819998038147,4.64392078673277,9.21538793559399,8.31179295054741,10.1189829206406
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-5.23344071508297,-7.53602524576734,8.73175704697569,4.68377246474182,9.08502280621133,8.18126537679471,9.98878023562795
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-4.79981107510463,-7.10239641107364,8.81367998812089,4.34112206539026,9.30758286550298,8.40397447155445,10.2111912594515
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-4.92572151552879,-7.22830633294543,8.69287715253073,4.29787074235916,9.24295943457783,8.33937158054938,10.1465472886063
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-4.4678915854249,-6.77047641690078,8.80307557099186,4.99921410996856,9.47794027305211,8.57402748369325,10.381853062411
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-4.95556020720899,-7.25814572608947,8.72498455204253,5.35791223105224,9.22764475039281,8.32405410912423,10.1312353916614
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-5.37069388468761,-7.67327962271789,8.36966059458673,4.78405704595838,9.01457772877912,8.11064410783028,9.91851134972796
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-4.7733979682558,-7.07598341621174,8.12160079471329,3.7731652211888,9.32113937106529,8.41752004150672,10.2247587006239
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-5.25715277472094,-7.5597374838466,8.76031834851882,5.01994227811223,9.07285261092852,8.16906917361177,9.97663604824526
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-4.88169275793697,-7.18427719166287,8.85019577273905,5.61473965677794,9.26555715852646,8.36196806020381,10.1691462568491
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-4.33832780940225,-6.64091259607884,8.83194179501929,4.98600731171731,9.54443877549556,8.6403087617321,10.448568789259
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-4.82211337434269,-7.12469809465474,8.9814921289308,4.7265450300374,9.2961362285964,8.3925352788393,10.1997371783535
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-4.82850062976561,-7.13108509764303,8.84077687981103,4.59984263616278,9.29285797495648,8.38925885535209,10.1964570945609
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-4.84942808452703,-7.15201266685179,8.7033784156252,4.57241260049214,9.28211697585698,8.37852291110816,10.1857110406058
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-4.97848277107985,-7.28106786407389,8.98787944062394,4.99185066790108,9.21587976316899,8.31228498860514,10.1194745377328
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-4.69804552243079,-7.00063072515734,9.00010635982522,5.17473014521033,9.35981395246942,8.45615079614886,10.26347710879
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-5.12433498421703,-7.42692058139823,8.9339301416153,4.77961263060713,9.1410212336523,8.23735961577262,10.044682851532
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-4.94834608200866,-7.25093173876953,8.89802628245142,5.38951558426658,9.23134739427205,8.32775769571877,10.1349370928253
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,-4.51997719459325,-6.82256247125432,8.87897314521011,5.39018490452812,9.45120737659852,8.54736634773351,10.3550484054635
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-4.55944280258496,-6.86202789557901,9.15494049394655,5.7498373893757,9.43095168546298,8.52715908373067,10.3347442871953
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-4.55710323565571,-6.85968823334276,9.02543413469161,5.496054231672,9.43215246628257,8.52835713669884,10.3359477958663
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-4.79471782816387,-7.0973032837688,8.30380898861032,4.77410345748853,9.3101969703441,8.40658664652448,10.2138072941637
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-4.83730428139817,-7.13988912213448,8.52642819440421,4.61857492369977,9.28833950793143,8.38474269057925,10.1919363252836
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-4.67408863167328,-6.97667351039759,8.59407118021473,5.04650699273504,9.37210980712479,8.46842879892688,10.2757908153227
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-4.39991251769858,-6.70249793646765,8.93751154889699,5.12954901236414,9.51283047415671,8.60881059820859,10.4168503501048
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-4.7879783811713,-7.09056335410694,9.31962982035972,5.73784449434509,9.31365598602009,8.41004297722731,10.2172689948129
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-3.66137849593718,-5.96396339435649,9.34867012055559,5.492146342047,9.89188245888803,8.98572114452725,10.7980437732488
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-4.69315312570106,-6.99573767271051,9.23690275058605,5.76769535824841,9.36232497110344,8.45865832272186,10.265991619485
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-4.75575821958261,-7.05834331257665,9.41157632837554,6.76243226009946,9.33019295769464,8.42656504504395,10.2338208703453
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-4.7086797490494,-7.0112652856661,9.19579802455276,5.24743376401479,9.35435594432478,8.45070010652746,10.2580117821221
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-4.88410568811942,-7.18669038459691,9.21515320568939,6.48303970788502,9.26431872407696,8.36072985934693,10.167907588807
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-4.58380505454735,-6.8863901475414,8.84805845717108,5.05889423782801,9.41844777949959,8.51468251247781,10.3222130465214
"Bird Island","BI10","BI10.13",519,491,492,491.5,-4.7562433395942,-7.05882819997193,8.85543266284345,3.80461307070051,9.32994397024408,8.42631630734757,10.2335716331406
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-4.59065257826869,-6.89323816405649,9.10941512949219,4.8032238951267,9.41493329353064,8.51117535770602,10.3186912293553
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-4.12615819167692,-6.42874297497349,9.34103600275103,5.15635683519641,9.65333465886551,8.74872973630035,10.5579395814307
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-4.0888157940663,-6.39140076772197,8.94646476480545,5.46341554424857,9.67250061400346,8.76779680367703,10.5772044243299
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-4.2529896166372,-6.55557492057721,9.67710058327398,5.69250688511888,9.58823853337784,8.68393528715862,10.4925417795971
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-4.10491691308961,-6.40750194544595,9.71647584295073,4.71082809022155,9.66423672778787,8.75957611676843,10.5688973388073
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-3.91471246879468,-6.2172977121927,9.64083569746842,3.8316927071544,9.76185900379725,8.8566337568867,10.6670842507078
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-4.0453908685672,-6.34797607582828,9.65233966531506,5.64049632453013,9.69478842162265,8.78996386053819,10.5996129827071
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-4.54451412937162,-6.84709959882449,9.77961448264658,4.39791550733173,9.4386138148222,8.53480349744331,10.3424241322011
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-4.33472611280415,-6.63731143471039,9.96093738096627,5.66325189461507,9.54628734333899,8.64215050224502,10.450424184433
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-4.0243939255387,-6.32697924231833,9.73080159766745,4.86426664776876,9.7055650855186,8.80067991960747,10.6104502514297
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-3.86178317824236,-6.16436850898677,10.0443589944064,5.28836591873424,9.78902491903353,8.88362145540973,10.6944283826573
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-3.41097390652046,-5.71355890863031,9.89376972856614,5.22672413884922,10.0204024103154,9.11310985664282,10.927694963988
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-4.17442038044379,-6.47700521342926,10.0842068622508,5.25589312505287,9.62856412981672,8.72408022966538,10.5330480299681
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-4.24275824016039,-6.54534312435578,9.89755861456796,4.1837258038906,9.59348977901554,8.68916415652618,10.4978154015049
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-4.29538343211881,-6.59796881855425,9.70988201501923,4.32818303932108,9.56647994213473,8.66226574588238,10.4706941383871
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-4.43190720111585,-6.73449212592663,9.28021534016808,2.7089322972743,9.49640922896987,8.59244164786215,10.4003768100776
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-4.35227911237701,-6.65486420537106,9.72426031579214,5.19605117076295,9.53727828061469,8.63317431011352,10.4413822511159
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-4.49862175617975,-6.80120666938751,9.9145902716101,5.30942008562201,9.46216803795863,8.55829866675603,10.3660374091612
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-4.5233357613216,-6.8259209464581,9.78416517770489,5.3445094300034,9.44948359496257,8.54564688689131,10.3533203030338
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-3.36170144677047,-5.6642865109263,10.1799865573056,4.06068863865323,10.0456914601229,9.13815226087154,10.9532306593742
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-3.68588976768349,-5.98847502019991,10.1912024835731,6.04976631389022,9.879302068642,8.97324049422504,10.785363643059
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-4.28894526409329,-6.59153021130825,9.86126439246674,5.49511110718734,9.56978432662643,8.6655569871989,10.474011666054
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-4.728528698268,-7.03111345187512,9.91711791563794,4.44444716206256,9.34416848731611,8.44052531324726,10.247811661385
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-4.62928973780916,-6.9318748308032,9.66008641612313,3.2223347666259,9.39510280288749,8.49138334016761,10.2988222656074
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-3.63741021520553,-5.93999530819958,10.0762156892767,5.32022261365184,9.90418415943834,8.99792341695048,10.8104449019262
