"Model","Shapiro_W","Shapiro_p","Shapiro_expl","BreuschPagan_stat","BreuschPagan_p","BreuschPagan_expl","CV10_RMSE","CV10_expl","AIC","AIC_expl","BIC","BIC_expl"
"OLS",0.982048252397389,0.00187302683183422,"Shapiro–Wilk: p > 0.05 desirable.",7.61064671617046,0.00580246696247987,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.450923989941031,"10-fold CV RMSE (log-space).",335.005013489929,"Not used for ranking.",345.777974431461,"Not used for ranking."
"WLS",0.980182654973532,0.000875200270519815,"Shapiro–Wilk: p > 0.05 desirable.",2323.46494208984,0,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",NA,"10-fold CV RMSE (log-space).",321.219522661163,"Not used for ranking.",331.992483602695,"Not used for ranking."
"OLS_weighted",0.983291363284169,0.00315464340348497,"Shapiro–Wilk: p > 0.05 desirable.",13.2909837101723,0.000266685518513102,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",NA,"10-fold CV RMSE (log-space).",359.871349044666,"Not used for ranking.",370.644309986199,"Not used for ranking."
"WLS_weighted",0.980253232719914,0.00090033888855784,"Shapiro–Wilk: p > 0.05 desirable.",2244.35677648681,0,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",NA,"10-fold CV RMSE (log-space).",321.186258039926,"Not used for ranking.",331.959218981458,"Not used for ranking."
"Bayes",0.990389484944518,0.0749203424900608,"Shapiro–Wilk: p > 0.05 desirable.",20.4493083299223,0.00230270566287168,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.391342413156401,"10-fold CV RMSE (log-space).",254.461762755566,"Not used for ranking.",283.189658599653,"Not used for ranking."
"RF",0.97764846244333,0.000324170188531978,"Shapiro–Wilk: p > 0.05 desirable.",NA,NA,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.371218256028587,"10-fold CV RMSE (log-space).",NA,"Not used for ranking.",NA,"Not used for ranking."
"PLS_LOO",0.988288987547252,0.0286137552373379,"Shapiro–Wilk: p > 0.05 desirable.",NA,NA,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.391014570914877,"10-fold CV RMSE (log-space).",NA,"Not used for ranking.",NA,"Not used for ranking."
"PLS_kfold",0.988288987547252,0.0286137552373379,"Shapiro–Wilk: p > 0.05 desirable.",NA,NA,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.391014570914877,"10-fold CV RMSE (log-space).",NA,"Not used for ranking.",NA,"Not used for ranking."
