"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER3","CAT2.3A",1,0,1.2,0.6,0.6,0.6,-65.8,-39,-57,-56,13,0.05702,0.04323,89.73,10.27,0.51,89.81,4.49,51.91,4.49,3.768,0.1884,0.9044,0.0929,0.0093,0.0053,0.0045,85.8
"Kerguelen","KER3","CAT2.3A",2,1.5,3.1,2.3,2.3,0.8,-62.6,37,-33,-27,50,0.06131,-0.09189,89.82,10.18,0.51,90.63,4.53,52.39,4.53,5.8059,0.3658,0.818,0.0833,0.0094,0.0051,-0.0071,-138.6
"Kerguelen","KER3","CAT2.3A",3,3.3,4.8,4,4,0.7,-60.4,114,-9,2,87,0.05782,2.37197,88.27,11.73,0.59,90.91,4.55,52.55,4.55,2.9139,0.1807,1.2259,0.1438,0.0161,0.0083,0.3421,4113.2
"Kerguelen","KER3","CAT2.3A",4,5,6.2,5.6,5.6,0.6,-58.3,186,13,29,122,0.05678,0.24157,87.08,12.92,0.65,87.07,4.35,50.33,4.35,3.0521,0.232,1.131,0.1462,0.0184,0.0083,0.0364,438.1
"Kerguelen","KER3","CAT2.3A",5,6.5,7.7,7.1,7.1,0.6,-56.2,254,35,55,155,0.06085,0.17668,86.55,13.45,0.67,84.85,4.24,49.05,4.24,4.7689,0.453,0.9249,0.1244,0.018,0.0076,0.0231,304.8
"Kerguelen","KER3","CAT2.3A",6,7.9,9.1,8.5,8.5,0.6,-54.7,317,54,79,186,0.05698,0.1383,86.59,13.41,0.67,100,5,57.8,5,3.9588,0.3998,0.9471,0.127,0.0192,0.0072,0.0187,257.8
"Kerguelen","KER3","CAT2.3A",7,9.4,10.6,10,10,0.6,-53,384,76,104,219,0.05386,0.11608,87.15,12.85,0.64,89.33,4.47,51.64,4.47,4.3907,0.4961,0.9316,0.1197,0.0195,0.0064,0.0149,231.8
"Kerguelen","KER3","CAT2.3A",8,10.8,12,11.4,11.4,0.6,-22.4,393,106,131,208,0.0501,0.0818,88.52,11.48,0.57,100,5,57.8,5,4.4562,0.5503,0.9565,0.1098,0.019,0.0055,0.0099,180.6
"Kerguelen","KER3","CAT2.3A",9,12.3,13.5,12.9,12.9,0.6,-7.9,413,141,160,210,0.05367,0.07291,87.65,12.35,0.62,90.09,4.5,52.08,4.51,4.1542,0.5484,0.9799,0.121,0.022,0.0065,0.01,154.1
"Kerguelen","KER3","CAT2.3A",10,13.7,14.9,14.3,14.3,0.6,1.5,432,169,187,215,0.05008,0.05968,87.8,12.2,0.61,93.55,4.68,54.07,4.68,4.5593,0.6565,0.9407,0.1148,0.0223,0.0057,0.008,138.6
"Kerguelen","KER3","CAT2.3A",11,15.2,16.4,15.8,15.8,0.6,11.2,459,205,216,224,0.05367,0.05763,86.86,13.14,0.66,95.48,4.77,55.19,4.78,4.5593,0.7021,1.0112,0.1329,0.0271,0.0071,0.0091,127.8
"Kerguelen","KER3","CAT2.3A",12,16.6,17.8,17.2,17.2,0.6,18.5,493,232,243,237,0.05096,0.05143,86.39,13.61,0.68,85.53,4.28,49.44,4.28,4.7689,0.7869,0.9889,0.1346,0.0289,0.0069,0.0084,122.4
"Kerguelen","KER3","CAT2.3A",13,18.1,19.3,18.7,18.7,0.6,27.1,542,263,272,258,0.05175,0.05066,86.2,13.8,0.69,85.23,4.26,49.27,4.26,3.7312,0.6306,1.0423,0.1438,0.0315,0.0074,0.0089,119.8
"Kerguelen","KER3","CAT2.3A",14,19.6,20.8,20.2,20.2,0.6,39.1,599,289,301,280,0.05856,0.0562,86.71,13.29,0.66,87.27,4.36,50.45,4.36,4.3544,0.7969,0.9627,0.1279,0.0298,0.0075,0.0089,119.3
"Kerguelen","KER3","CAT2.3A",15,21,22.1,21.6,21.6,0.6,68.9,609,320,325,270,0.05856,0.05019,86.89,13.11,0.66,88.57,4.43,51.2,4.43,4.1793,0.8108,1.0048,0.1317,0.0321,0.0077,0.0085,110.1
"Kerguelen","KER3","CAT2.3A",16,22.4,23.6,23,23,0.6,96.2,626,344,349,265,0.06065,0.04764,86.41,13.59,0.68,87.27,4.36,50.45,4.36,4.1542,0.8392,1.0402,0.1414,0.0356,0.0086,0.0089,103.8
"Kerguelen","KER3","CAT2.3A",17,23.8,25,24.4,24.4,0.6,123.7,640,370,373,258,0.0566,0.04056,85.96,14.04,0.7,81.1,4.06,46.88,4.06,4.1542,0.8807,1.0346,0.1453,0.0381,0.0082,0.008,97.9
"Kerguelen","KER3","CAT2.3A",18,25.3,26.5,25.9,25.9,0.6,146.1,659,400,398,256,0.06065,0.04041,85.63,14.37,0.72,84,4.2,48.55,4.2,4.1542,0.9222,1.033,0.1484,0.0404,0.009,0.0084,93.8
"Kerguelen","KER3","CAT2.3A",19,26.7,27.9,27.3,27.3,0.6,162.5,688,426,422,263,0.0566,0.03647,85.54,14.46,0.72,87.5,4.37,50.58,4.38,4.1542,0.9638,1.1039,0.1597,0.045,0.009,0.0084,92.6
"Kerguelen","KER3","CAT2.3A",20,28.2,29.4,28.8,28.8,0.6,177,716,456,448,269,0.05898,0.03669,85.39,14.61,0.73,90.45,4.52,52.28,4.52,4.3544,1.0581,1.1661,0.1704,0.0499,0.01,0.0092,91.5
"Kerguelen","KER3","CAT2.3A",21,29.6,30.7,30.2,30.2,0.6,198.2,740,480,472,271,0.06044,0.03581,84.39,15.61,0.78,84.71,4.24,48.97,4.24,2.4955,0.6089,1.8588,0.2902,0.0853,0.0175,0.0156,88.6
"Kerguelen","KER3","CAT2.3A",22,31,32.1,31.6,31.6,0.6,235.5,754,500,494,259,0.06261,0.03394,81.06,18.94,0.95,75.61,3.78,43.71,3.78,4.0765,1.0701,1.0782,0.2042,0.0638,0.0128,0.0109,85.5
"Kerguelen","KER3","CAT2.3A",23,32.4,33.6,33,33,0.6,271.7,762,520,517,245,0.06374,0.03135,80.53,19.47,0.97,75.49,3.77,43.64,3.78,4.7689,1.3114,1.0536,0.2052,0.0667,0.0131,0.0107,81.7
"Kerguelen","KER3","CAT2.3A",24,33.8,35,34.4,34.4,0.6,303.7,768,544,540,232,0.0595,0.02662,80.74,19.26,0.96,78.52,3.93,45.39,3.93,4.1542,1.1715,1.1305,0.2178,0.0723,0.013,0.0101,77.9
"Kerguelen","KER3","CAT2.3A",25,35.3,36.5,35.9,35.9,0.6,333.7,781,567,564,224,0.06371,0.02634,79.8,20.2,1.01,96.2,4.81,55.61,4.81,4.1542,1.213,1.1046,0.2232,0.0763,0.0142,0.0107,75.5
"Kerguelen","KER3","CAT2.3A",26,36.7,37.9,37.3,37.3,0.6,359.9,798,591,587,219,0.06154,0.02397,80.37,19.63,0.98,76.7,3.83,44.33,3.84,4.3544,1.3194,1.1022,0.2163,0.0764,0.0133,0.0099,74.2
"Kerguelen","KER3","CAT2.3A",27,38.2,39.3,38.7,38.7,0.6,386.3,816,615,610,215,0.0604,0.02213,80.98,19.02,0.95,79.82,3.99,46.14,3.99,4.1793,1.3123,1.0915,0.2077,0.0756,0.0125,0.0092,73
"Kerguelen","KER3","CAT2.3A",28,39.5,40.7,40.1,40.1,0.6,411.3,843,637,633,216,0.04867,0.01731,74.94,25.06,1.25,61.4,3.07,35.49,3.07,4.9832,1.6245,0.9954,0.2495,0.0938,0.0121,0.0089,73.2
"Kerguelen","KER3","CAT2.3A",29,41,42.1,41.5,41.5,0.6,474.5,851,664,662,188,0.04692,0.01396,79.8,20.2,1.01,77.84,3.89,44.99,3.89,3.9915,1.3292,1.1666,0.2356,0.0903,0.0111,0.0075,68.1
"Kerguelen","KER3","CAT2.3A",30,42.3,43.4,42.9,42.9,0.6,536.3,857,689,691,160,0.04731,0.01159,79.69,20.31,1.02,78.47,3.92,45.36,3.92,3.6289,1.2374,1.2567,0.2552,0.0998,0.0121,0.0077,63.6
"Kerguelen","KER3","CAT2.3B",36,43.7,44.9,44.3,44.3,0.6,599.2,865,714,720,133,0.05185,0.01029,82.35,17.65,0.88,77.95,3.9,45.06,3.9,4.7689,1.9314,0.9956,0.1757,0.0799,0.0091,0.006,65.3
"Kerguelen","KER3","CAT2.3B",37,45,46.3,45.6,45.6,0.6,652.8,873,737,746,110,0.04729,0.00763,81.1,18.9,0.95,75.74,3.79,43.78,3.79,5.1663,2.144,0.9498,0.1795,0.0835,0.0085,0.0053,62.6
"Kerguelen","KER3","CAT2.3B",38,46.4,47.6,47,47,0.6,703.6,884,761,775,90,0.04905,0.00631,81.99,18.01,0.9,76.74,3.84,44.36,3.84,5.6422,2.4261,0.9067,0.1633,0.0784,0.008,0.0049,60.9
"Kerguelen","KER3","CAT2.3B",39,47.7,48.9,48.3,48.3,0.6,737.2,908,788,802,85,0.04641,0.00551,79.86,20.14,1.01,72.6,3.63,41.97,3.63,4.9832,2.1727,1.0621,0.214,0.104,0.0099,0.006,60.5
"Kerguelen","KER3","CAT2.3B",40,49.1,50.3,49.7,49.7,0.6,750.9,950,818,831,100,0.02992,0.00395,80.66,19.34,0.97,77.82,3.89,44.98,3.89,4.5593,2.0243,1.0658,0.2062,0.1018,0.0062,0.0039,62.6
"Kerguelen","KER3","CAT2.3B",41,50.4,51.5,50.9,50.9,0.6,779.4,998,865,874,109,0.02324,0.00316,79.61,20.39,1.02,76.5,3.83,44.22,3.83,4.5679,2.083,1.1317,0.2308,0.1168,0.0054,0.0034,64.2
"Kerguelen","KER3","CAT2.3B",42,51.6,52.7,52.2,52.2,0.6,801.6,1071,924,927,135,0.02518,0.00392,80.8,19.2,0.96,75,3.75,43.35,3.75,4.1793,1.9392,1.1017,0.2115,0.1087,0.0053,0.0036,67
"Kerguelen","KER3","CAT2.3B",43,52.9,54,53.4,53.4,0.6,818.1,1167,973,976,175,0.02324,0.0044,78.21,21.79,1.09,70.22,3.51,40.59,3.51,4.6678,2.2242,1.1491,0.2504,0.1318,0.0058,0.0042,71.6
"Kerguelen","KER3","CAT2.3B",44,54.1,55.2,54.7,54.7,0.6,830.7,1279,1022,1029,224,0.02569,0.00586,72.57,27.43,1.37,54.35,2.72,31.42,2.72,4.6678,2.2709,1.1143,0.3056,0.164,0.0079,0.006,76.5
"Kerguelen","KER3","CAT2.3B",45,55.3,56.5,55.9,55.9,0.6,842.5,1389,1064,1078,273,0.02376,0.00627,70.03,29.97,1.5,44.44,2.22,25.69,2.22,4.3693,2.1584,1.2181,0.3651,0.1986,0.0087,0.007,80.8
"Kerguelen","KER3","CAT2.3B",46,56.6,57.9,57.3,57.3,0.6,853.5,1521,1115,1136,334,0.0242,0.00739,70.3,29.7,1.49,33.5,1.67,19.36,1.68,5.1663,2.609,1.1155,0.3313,0.1839,0.008,0.0069,86
"Kerguelen","KER3","CAT2.3B",47,58.1,59.3,58.7,58.7,0.6,863.7,1651,1168,1193,394,0.02512,0.00854,85.28,14.72,0.74,79.12,3.96,45.73,3.96,5.2022,2.6895,0.916,0.1348,0.0764,0.0034,0.0031,90.7
"Kerguelen","KER3","CAT2.3B",48,59.4,60.6,60,60,0.6,874.5,1766,1216,1246,446,0.03019,0.0111,70.41,29.59,1.48,87.82,4.39,50.76,4.39,5.2022,2.7416,0.5355,0.1584,0.0914,0.0048,0.0045,94.5
