"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.07810102636568,-6.74793914681923,1.47468289857608,-3.7831798039682,2.10892957954756,0.774913182962443,3.44294597613268
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.12049842736349,-6.834791407075,1.18032422455858,-4.59026354410022,2.02558789796882,0.690922231350909,3.36025356458673
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.38277834996271,-6.67457525312098,1.76274342417884,-3.90820335957217,1.51001738469876,0.169966881134836,2.85006788826268
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.14754368823822,-6.77777653151846,2.93429859087982,-1.73473839781915,1.97242432032048,0.637312223645151,3.30753641699581
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.63726262806277,-6.63251712200013,3.23458375089402,-2.37743602876921,2.9754971651629,1.64455588490846,4.30643844541733
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.65380172039836,-6.70916476985254,3.2228939294629,-1.60738806979778,2.94298583818072,1.61205059385213,4.27392108250932
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.70549476118379,-7.28205567810481,2.51898773373569,-2.57524266727526,2.84137147400785,1.51039400767341,4.17234894034228
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.89163590129852,-7.12686545625864,3.42432388757179,-2.09545280050523,2.47546895963096,1.14357305341535,3.80736486584657
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.85645425473815,-6.7174781502092,2.50411667342474,-0.994968632570582,2.544626443723,1.21299601158849,3.87625687585752
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.71086111921764,-6.47779343084146,3.79810302271528,-1.88306784036054,2.83082268346953,1.49983553100806,4.161809835931
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.62176075425489,-7.04608827012503,3.59979513160203,-1.10543315095016,3.00596960451918,1.67501406449292,4.33692514454545
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.37673305190963,-6.84737914405059,3.52824534193737,-3.68312066780009,3.48762697658028,2.15534110096729,4.81991285219328
