"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.82488135966297,4e-05,4.90495174256426,2.246361623,5.83466224016504,4.43015211074699,7.23917236958308
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-8.16738527160999,2.84e-05,4.37935983755429,0.954822132,5.60544199726068,4.19754594396728,7.01333805055408
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.12192657828474,2.97e-05,5.83054549007266,4.893302391,5.63586516138425,4.22845193018946,7.04327839257904
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.15337452706153,7.82e-05,6.97603890594798,10.73236296,6.28406720726697,4.88449938933566,7.68363502519829
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.2382493638717,0.000195327,7.582225674148,30.40726253,6.89651338635385,5.50003105489348,8.29299571781421
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.11465276517421,8.13e-05,7.33838856463051,7.943023099,6.3099816898638,4.91062996447948,7.70933341524812
"Bird Island","BI10","BI10.2",45,44,45,44.5,-6.98774048830874,9.23e-05,8.00856570530786,14.09773486,6.39491754582316,4.99622121055793,7.79361388108839
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-8.08745832433534,3.07e-05,5.70716697941964,3.519876752,5.65893299000512,4.25187904336673,7.06598693664352
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-8.58593787941754,1.87e-05,7.55171928570447,92.77560752,5.3253262757073,3.91250675077293,6.73814580064167
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.40876461286327,0.000164706,5.41898367225024,2.024591047,6.7823963049735,5.38565965097403,8.17913295897297
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.97380320536554,9.36e-05,7.2737868892733,11.02828725,6.40424505207996,5.00561575069096,7.80287435346897
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.89418280315236,0.000101367,6.13538078300935,4.1315028,6.45753088998967,5.05926577771708,7.85579600226225
