Base path:	Sample name:	Section name	User ID
	MI1A_B_C	MI1A__xrf	
Year	Month	Day	Time
2023	08	23	11
Voltage	45	kV	
Current	40	mA	
Exposure time	0	ms	
line camera signal level	148897	at 25 ms	
Step size	1000	microns	
XRF	ON		
XRF exp. time	10	seconds	
Start coordinate	24.0	Stop coordinate	519.0
XRF voltage and current	30	  	30
Tube	Mo		
Optical Start	0.5	Optical End	1723.0
Step size	0.047	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	-94.6	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum		kPa	
