"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"BI10","Ca","Bayes",1,0.825098675983674,0.71849446314204,0.377551919451181,4920.26934220119,0.954003236021566,0.631741835926835,4577
"BI10","Ca","OLS_weighted",2,0.80762326312237,0.60078407376705,0.449611220751241,5620.88386479327,0.689423322901102,0.984923173454271,5017
"BI10","Ca","PLS_LOO",3,0.797102234945923,0.714591218855023,0.380160401230266,5060.00126868248,1,0.492755587364808,4577
"BI10","Ca","PLS_kfold",4,0.797102234945923,0.714591218855023,0.380160401230266,5060.00126868248,1,0.492755587364808,4577
"BI10","Ca","OLS",5,0.703342420155048,0.605349695781694,0.447032844459699,5504.63271481712,0.550924765384859,0.931968902310332,5017
"BI10","Ca","RF",6,0.55481577918628,0.739371873885863,0.363281977243897,4506.9080410246,0.924692965310466,0,4577
"BI10","Ca","WLS_weighted",7,0.401434591830008,0.604732452698864,0.447382293228408,5447.03371534874,0.00396030853295355,0.997646016775588,5017
"BI10","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,5017
"BI10","Fe","OLS_weighted",1,0.945836287685103,0.705011398870254,0.619652240442579,19165.0781241486,1,0.864590719212758,5017
"BI10","Fe","OLS",2,0.630661180785151,0.711860213839782,0.612416695598065,19046.317786508,0.437023640782447,0.921117490789207,5017
"BI10","Fe","PLS_LOO",3,0.449418908714476,0.769588412151896,0.547643031052147,12699.4253247054,0.692637452394,0.0845910931951899,4577
"BI10","Fe","PLS_kfold",4,0.449418908714476,0.769588412151896,0.547643031052147,12699.4253247054,0.692637452394,0.0845910931951899,4577
"BI10","Fe","WLS_weighted",5,0.404310743560733,0.711404682307114,0.612900601250386,19121.2837499281,0.00718457260122083,1,5017
"BI10","Fe","WLS",6,0.399247228987832,0.711426381771426,0.612877558837851,19118.97376675,0,0.998118072469581,5017
"BI10","Fe","Bayes",7,0.391559654689626,0.782666025570093,0.531874559979908,13054.643263387,0.568963761646084,0.125453494254939,4577
"BI10","Fe","RF",8,0.3271274668123,0.80646417107391,0.501910285388067,18226.9640487726,0.545212444687167,0,4577
