"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP_overall","RMSEP","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"KER1","Ca","PLS_LOO",0.816165939783546,0.705122693832022,0.982730808710832,2249,0.714591218855023,0.380160401230266,5060.00126868248,0.391014570914877,2,0.837235427150408,"Acceptable 2","High confidence (signal-dominated)",FALSE,1
"KER1","Ca","PLS_kfold",0.816165939783546,0.705122693832022,0.982730808710832,2249,0.714591218855023,0.380160401230266,5060.00126868248,0.391014570914877,3,0.837235427150408,"Acceptable 3","High confidence (signal-dominated)",FALSE,2
"KER1","Ca","Bayes",0.783284539496383,0.704725349714462,0.901123324169265,2249,0.71849446314204,0.377551919451181,4920.26934220119,0.391342413156401,1,0.89337836429761,"Preferred 1","High confidence (signal-dominated)",FALSE,3
"KER1","Ca","OLS_weighted",0.745933820063054,0.674953830091046,0.852403805021067,2523,0.60078407376705,0.449611220751241,5620.88386479327,NA,5,0.682931997255936,"Unstable","Moderate confidence",FALSE,4
"KER1","Ca","OLS",0.650832319176415,0.534128988002982,0.825887315936563,2523,0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,6,0.612277417462477,"Unstable","Moderate confidence",FALSE,5
"KER1","Ca","RF",0.6,1,0,2249,0.739371873885863,0.363281977243897,4506.9080410246,0.371218256028587,4,0.7,"Unstable","Low confidence (noise-dominated)",FALSE,6
"KER1","Ca","WLS",0.4,0,1,2523,0.604685117514639,0.447409080513934,5446.04597912254,NA,8,0.308444560944566,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"KER1","Ca","WLS_weighted",0.399834722254343,0.00384096488678577,0.993825358305678,2523,0.604732452698864,0.447382293228408,5447.03371534874,NA,7,0.310714594767109,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"KER1","Fe","OLS_weighted",0.936783876548428,1,0.84195969137107,2523,0.705011398870254,0.619652240442579,19165.0781241486,NA,1,0.685764682948298,"Preferred 1","Moderate confidence",FALSE,1
"KER1","Fe","OLS",0.616701376903093,0.43681426246481,0.886532048560518,2523,0.711860213839782,0.612416695598065,19046.317786508,0.619207902382141,6,0.490537268119636,"Unstable","Low confidence",FALSE,2
"KER1","Fe","Bayes",0.588408912011073,0.555135787732706,0.638318598428622,2249,0.782666025570093,0.531874559979908,13054.643263387,0.553367126639677,2,0.562584151391753,"Acceptable 2","Low confidence",FALSE,3
"KER1","Fe","PLS_LOO",0.560865762600538,0.50841272849295,0.639545313761921,2249,0.769588412151896,0.547643031052147,12699.4253247054,0.558876405734737,3,0.539037995940333,"Acceptable 3","Low confidence",FALSE,4
"KER1","Fe","PLS_kfold",0.560865762600538,0.50841272849295,0.639545313761921,2249,0.769588412151896,0.547643031052147,12699.4253247054,0.558876405734737,4,0.539037995940333,"Acceptable 4","Low confidence",FALSE,5
"KER1","Fe","WLS_weighted",0.404299322735023,0.00716553789170452,1,2523,0.711404682307114,0.612900601250386,19121.2837499281,NA,7,0.321781097623359,"Unstable","Low confidence (uncertainty-dominated)",FALSE,6
"KER1","Fe","WLS",0.398925666629687,0,0.997314166574218,2523,0.711426381771426,0.612877558837851,19118.97376675,NA,8,0.318856979630259,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"KER1","Fe","RF",0.344925913211586,0.57487652201931,0,2249,0.80646417107391,0.501910285388067,18226.9640487726,0.516653413340178,5,0.502337918930422,"Unstable","Low confidence (noise-dominated)",FALSE,8
"KER1","Mn","RF",0.971967942375873,0.966340698815966,0.980408807715733,2249,0.693783864178937,0.533068349436722,100.340442065868,0.538666849894129,3,0.767831344333452,"Acceptable 3","High confidence (signal-dominated)",FALSE,1
"KER1","Mn","PLS_LOO",0.917671053996228,0.862785089993714,1,2249,0.652472643614871,0.567888873609633,106.37886834467,0.583845224423336,1,0.790824778954716,"Preferred 1","High confidence (signal-dominated)",FALSE,2
"KER1","Mn","PLS_kfold",0.917671053996228,0.862785089993714,1,2249,0.652472643614871,0.567888873609633,106.37886834467,0.583845224423336,2,0.790824778954716,"Acceptable 2","High confidence (signal-dominated)",FALSE,3
"KER1","Mn","Bayes",0.715526280874906,1,0.288815702187265,2249,0.675458563365959,0.54878715622519,106.167683499791,0.563291283780317,4,0.640092072408385,"Unstable","Low confidence (noise-dominated)",FALSE,4
"KER1","Mn","OLS",0.50773590097268,0.846226501621134,0,2469,0.642325781154841,0.576119639333299,111.776118917736,0.578466614037536,5,0.497410599846452,"Unstable","Low confidence (noise-dominated)",FALSE,5
"KER1","Mn","OLS_weighted",0.165332970266386,0.203343355989487,0.108317391681735,2469,0.621575234052913,0.592595892589243,115.442539169045,NA,6,0.124699404865295,"Unstable","Low confidence (uncertainty-dominated)",FALSE,6
"KER1","Mn","WLS",0.0482351094541899,0.00259036246444216,0.116702229938812,2469,0.64171449487873,0.57661174033931,108.962939644912,NA,8,0.0847062584063581,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"KER1","Mn","WLS_weighted",0.0328661085797698,0,0.0821652714494244,2469,0.642027836746649,0.576359544649593,109.653909631702,NA,7,0.0884422756537995,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"KER1","Sr","PLS_LOO",0.776302813793986,0.898715168428767,0.592684281841814,2249,0.681443929954195,0.349250256346248,60.5526521980026,0.359641666342418,3,0.556069420797394,"Acceptable 3","Low confidence",FALSE,1
"KER1","Sr","PLS_kfold",0.776302813793986,0.898715168428767,0.592684281841814,2249,0.681443929954195,0.349250256346248,60.5526521980026,0.359641666342418,4,0.556069420797394,"Acceptable 4","Low confidence",FALSE,2
"KER1","Sr","OLS",0.754351608533643,0.824424185892234,0.649242742495757,2310,0.605940022011523,0.388440903375382,59.7735590156883,0.391554198151312,5,0.518174469315604,"Unstable","Low confidence",FALSE,3
"KER1","Sr","Bayes",0.691918492894332,0.925785471218428,0.341118025408189,2249,0.719033486991341,0.327997906598047,49.7050467588939,0.346202462486856,2,0.640823117141204,"Unstable","Low confidence (noise-dominated)",FALSE,4
